data,language
ABHA (હેલ્થ ID),gu
ભાષા,gu
ગુજરાતી,gu
મરાઠી,gu
વિશે,gu
સંસાધનો,gu
રસીકરણ શેડ્યૂલ,gu
ડેશબોર્ડ,gu
હેલ્પડેસ્ક,gu
લાભાર્થી અસંતોષ નિવારણ,gu
રાજ્ય હેલ્પડેસ્ક,gu
વારંવાર પૂછાતા પ્રશ્નો,gu
પ્રવેશ,gu
આંગણવાડી કાર્યકરો,gu
પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો,gu
એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો,gu
પોષણ ટ્રેકર પર નવું શું છે,gu
પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી,gu
પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી,gu
વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે,gu
કાર્યક્ષમતા માપવી,gu
પોષણ કેલ્ક્યુલેટર,gu
વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે.,gu
પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?,gu
જાતિ પસંદ કરો,gu
જન્મ તારીખ દાખલ કરો,gu
સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો,gu
કિલોગ્રામમાં વજન દાખલ કરો,gu
પરિણામો બતાવો પર ક્લિક કરો,gu
લિંગ,gu
છોકરો,gu
છોકરી,gu
જન્મ તારીખ,gu
ઊંચાઈ (સે.,gu
મી),gu
*ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ,gu
સે.,gu
મી,gu
વજન (કિલો),gu
*વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ,gu
કિલો,gu
પરિણામો દર્શાવો,gu
ABHA (હેલ્થ ID) અને તેના ફાયદા,gu
ABHA (અગાઉ હેલ્થ ID તરીકે ઓળખાતું) એ આયુષ્માન ભારત હેલ્થ એકાઉન્ટનું ટૂંકું નામ છે.,gu
ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.,gu
"તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે.",gu
વધુ જાણો,gu
બધા,gu
લાભાર્થી નોંધણી,gu
ઘરે રાશન લો,gu
ગરમ રાંધેલું ભોજન,gu
પોશણ અભિયાન એટલે શું?,gu
"બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે.",gu
પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?,gu
"પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે.",gu
"સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.",gu
પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?,gu
પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર,gu
પર ઉપલબ્ધ છે.,gu
શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?,gu
"ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે.",gu
મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?,gu
પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.,gu
તમામ FAQs જુઓ,gu
શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.,gu
હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે,gu
લાભાર્થી કોણ છે?,gu
લાભાર્થીઓ માટે 6 શ્રેણીઓ છે,gu
સગર્ભા સ્ત્રીઓ,gu
સ્તનપાન કરાવતી માતા,gu
0 થી 6 મહિનાના બાળકો,gu
6 મહિનાથી 3 વર્ષ સુધીના બાળકો,gu
3 વર્ષથી 6 વર્ષ સુધીના બાળકો,gu
કિશોરવયની છોકરીઓ,gu
શું લાભાર્થી તેનું AWC બદલી શકે છે?,gu
AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.,gu
લાભાર્થીની લાયકાત શું છે?,gu
એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.,gu
ટેક હોમ રાશન માટે કોણ યોગ્ય છે?,gu
"સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ.",gu
હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?,gu
કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,gu
વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,gu
જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,gu
એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.,gu
ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,gu
3 વર્ષથી 6 વર્ષની વયના બાળકો,gu
હું ગરમ ​​રાંધેલા ભોજન વિશે ક્યાં પૂછપરછ કરી શકું?,gu
કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,gu
વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,gu
અમે હવે વીડિયો કોન્ફરન્સ પર ઉપલબ્ધ છીએ,gu
સ્ટેટ વીડિયો કોન્ફરન્સ,gu
