data,language
ABHA के उपयोग द्वारा आपके और आपके परिवार के लिए (स्वास्थ्य पहचान पत्र) सुरक्षित और सक्षम डिजिटल स्वास्थ्य और अभिलेखों को संरक्षित करने की दिशा में उठाया गया पहला कदम है।,hi
"यह आपके स्वास्थ्य प्रदाता के साथ आपको व्यवहार्य कुशल बनाता है, और आपको सत्यापित स्वास्थ्य पेशवरों और स्वास्थ्य प्रदाताओं से मूल रूप से डिजिटल स्वास्थ्य अभिलेखों, पर्चियों एवं निदानों को प्राप्त करने की अनुमति प्रदान करता है।",hi
"पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।",hi
पोषण ट्रैकर लॉन्च करने का उद्देश्य क्या है?,hi
"पोषण ट्रैकर एप्लिकेशन का उद्देश्य आंगनवाड़ी केंद्र (एडब्ल्यूसी), आंगनवाड़ी कर्मचारी (एडब्ल्यूडब्ल्यू) की सेवा प्रदान करने वाली गतिविधियों और गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों के लिए पूर्ण लाभार्थी प्रबंधन की गतिविधियों का 360 डिग्री दृश्य प्रदान करना है।",hi
"प्रस्तावित प्रणाली को सभी एडब्ल्यूसी, एडब्ल्यू डब्ल्यू और लाभार्थियों को परिभाषित संकेतक पर वास्तविक समय की निगरानी और समझना सक्षम करना चाहिए।",hi
पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?,hi
क्या ऐप्पल आई स्टोर पर भी पोषण ट्रैक ऐप उपलब्ध है?,hi
कोई पोषण ट्रैकर केवल एंड्रॉइड संस्करण के लिए उपलब्ध नहीं है।,hi
मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?,hi
पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।,hi
एक आँगनवाड़ी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाड़ी केंद्र से दूसरे आँगनवाड़ी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।,hi
लाभार्थी की पात्रता क्या है?,hi
एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।,hi
टेक होम राशन के लिए कौन पात्र है?,hi
"गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लड़कियाँ।",hi
मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?,hi
"कृपया, अपने संबंधित आँगनवाड़ी कार्यकर्ता से संपर्क करें।",hi
अतिरिक्त पूरक भोजन के लिए कौन पात्र है।,hi
पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,hi
एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।,hi
गर्म पके हुए भोजन के लिए कौन पात्र है?,hi
"कृपया, अपने संबंधित आँगनवाड़ी केंद्र से संपर्क करें।",hi
अतिरिक्त पूरक आहार के लिए कौन पात्र है?,hi
"पोषण ट्रैकर के तहत प्रौद्यौगिकी का उपयोग स्टंटिंग, वेस्टिंग, कम वजन वाले बच्चों की पहचान और पोषण सेवा के वितरण को गतिशील पहचान देने में किया जा सकता है।",hi
यह पोषण अभियान के तहत महत्वपूर्ण और लाभार्थी केन्द्रित सेवा वितरण एप्लिकेशन है जो वास्तविक समयावधि के साथ विश्लेषण को भी प्रोत्साहित करेगा।,hi
इसका निर्माण केंद्रीकृत आँकड़ों के ढाँचों का उपयोग करके किया जाता है जिसमें अन्य मंत्रालय और उनके कार्यक्रम डिजिटल प्रणाली द्वारा एक संरेखित होते हैं।,hi
