data,language
ABHA (ਸਵਾਸਥ ਆਈ ਡੀ) ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਤੁਹਾਡੇ ਅਤੇ ਤੁਹਾਡੇ ਪਰਿਵਾਰ ਲਈ ਸੁਰੱਖਿਅਤ ਅਤੇ ਕੁਸ਼ਲ ਡਿਜੀਟਲ ਸਿਹਤ ਰਿਕਾਰਡ ਬਣਾਉਣ ਵੱਲ ਪਹਿਲਾ ਕਦਮ ਹੈ।,pa
"ਇਹ ਸਵਾਸਥ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਭਾਗ ਲੈਣ ਵਾਲਿਆਂ ਨਾਲ ਤੁਹਾਡੀ ਗੱਲਬਾਤ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਪ੍ਰਮਾਣਿਤ ਸਵਾਸਥ ਸੇਵਾ ਪੇਸ਼ੇਵਰਾਂ ਅਤੇ ਸਿਹਤ ਸੇਵਾ ਪ੍ਰਦਾਤਾਵਾਂ ਤੋਂ ਤੁਹਾਡੀਆਂ ਡਿਜੀਟਲ ਲੈਬ ਰਿਪੋਰਟਾਂ, ਨੁਸਖ਼ੇ ਅਤੇ ਨਿਰਵਿਘਨ ਰੋਗ ਡੀ ਪਛਾਣ ਕਰਨ ਦੀ ਸਹੁਲਤ ਦਿੰਦਾ ਹੈ।",pa
ਇੱਕ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਇੱਕ ਲਾਭਪਾਤਰੀ ਨੂੰ ਇੱਕ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਤੋਂ ਦੂਜੇ ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ ਵਿੱਚ ਉਹਨਾਂ ਦੇ ਆਧਾਰ ਨੰਬਰ ਦੇ ਆਧਾਰ 'ਤੇ ਮਾਈਗ੍ਰੇਟ ਕਰਨ ਲਈ 'ਮਾਈਗ੍ਰੇਟ ਲਾਭਪਾਤਰੀ' ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦਾ ਹੈ।,pa
ਲਾਭਪਾਤਰੀ ਦੀ ਯੋਗਤਾ ਕੀ ਹੈ?,pa
ਇੱਕ ਲਾਭਪਾਤਰੀ ਇੱਕ ਮਹੀਨੇ ਵਿੱਚ ਘੱਟੋ-ਘੱਟ 21 ਦਿਨਾਂ ਲਈ THR ਲਈ ਯੋਗ ਹੁੰਦਾ ਹੈ।,pa
ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਣ ਲਈ ਕੌਣ ਯੋਗ ਹੈ?,pa
"ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ, 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ ਅਤੇ ਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ।",pa
ਮੈਂ ਘਰ ਰਾਸ਼ਨ ਲਿਜਾਣ ਬਾਰੇ ਕਿੱਥੇ ਪੁੱਛ ਸਕਦਾ ਹਾਂ?,pa
ਕਿਰਪਾ ਕਰਕੇ ਆਪਣੇ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਨਾਲ ਸੰਪਰਕ ਕਰੋ।,pa
ਕੌਣ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹੈ।,pa
"ਜਿਹੜੇ ਬੱਚੇ ਪੋਸ਼ਣ ਦੀ ਘਾਟ ਵਜੋਂ ਪਛਾਣੇ ਗਏ ਹਨ, ਉਹ ਵਾਧੂ ਪੂਰਕ ਆਹਾਰ ਲਈ ਯੋਗ ਹਨ।",pa
