data,language
অসমীয়া,as
ইয়াৰ বিষয়ে,as
সমল,as
টিকাকৰণৰ সূচী,as
ডেশ্ববৰ্ড,as
হিতাধিকাৰীৰ প্ৰতিবিধান,as
ৰাজ্যিক হেল্পডেস্ক,as
সঘনাই সোধা প্ৰশ্ন সমূহ,as
পোষণ কেলকুলেটৰ,as
লগইন কৰক,as
অংগনৱাড়ী কৰ্মী,as
প্লে ষ্টোৰৰ পৰা মোবাইল এপ ডাউনলোড কৰক,as
এপটো ডাউনলোড কৰিবলৈ QR কোডটো স্কেন কৰক,as
পোষণ ট্ৰেকাৰত নতুন কি উপলব্ধ,as
পোশান ট্ৰেকাৰে নতুন এপ্লিকেচন সুবিধা যোগ কৰে,as
পোশান ট্ৰেকাৰে নতুন প্ৰতিবেদন সুবিধা যোগ কৰিছে,as
পোশান ট্ৰেকাৰে ৱেবছাইট সুবিধাত নতুন সমল যোগ কৰে,as
বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ,as
বিকাশ নিৰীক্ষণ চাৰ্ট,as
স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন,as
ম'বাইল এসপ্তাহৰ ভিতৰত বৈধ কৰিব লাগিব,as
অংগনৱাড়ী কৰ্মী প্ৰ'ফাইল পৃষ্ঠা,as
ষ্টান্টিং আৰু কম ওজন বিকাশৰ মাপকাঠি,as
বেনিফিচাৰীৰ স্থিতি পৰিৱৰ্তনৰ জাননী,as
এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা হৈছে,as
বেনিফিচাৰীৰ ৰেকৰ্ড নিষ্ক্ৰিয় হোৱা,as
বেনিফিচাৰীৰ প্ৰব্ৰজন এটা  AWC ৰ পৰা আন  AWC লৈ,as
AWC ৰ দ্বাৰা বেনিফিচাৰী বিলোপ,as
অবিকল্পিত ভাষা নিৰ্বাচন,as
"বেনিফিচাৰীয়ে  AWC লৈ প্ৰৱেশাধিকাৰৰ বিষয়ে চিন্তা কৰে, সমাধান কৰা হৈ পিছত স্থিতি আপডেট",as
সকলো স্বাস্থ্য সূচকৰ বাবে বিকাশ নিৰীক্ষণ প্ৰতিবেদন,as
AWC ৰ দ্বাৰা এপ্লিকেচন ডাউনলোড কৰাৰ স্থিতি,as
বেনিফিচাৰী গণনা প্ৰতিবেদন : নিষ্ক্ৰিয় হৈ পৰা ৰেকৰ্ডৰ সংখ্যা আৰু এটা শ্ৰেণীৰ পৰা আন এটা শ্ৰেণীলৈ প্ৰব্ৰজন কৰা ৰেকৰ্ডৰ সংখ্যা,as
পোষণ কেলকুলেটৰ বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ দ্বাৰা নিৰ্ধাৰিত মানৰ ওপৰত ভিত্তি কৰি শিশুৰ বিকাশ জুখিবলৈ সাজি উলিওৱা হৈছে.,as
পোষণ কেলকুলেটৰ কেনেদৰে ব্যৱহাৰ কৰিব লাগে?,as
লিংগ বাচনি কৰক,as
জন্মৰ তাৰিখ প্ৰদান কৰক,as
উচ্চতা চেন্টিমিটাৰত প্ৰদান কৰক,as
ওজন কিলোগ্ৰামত প্ৰদান কৰক,as
ৰিজাল্ট দেখুৱাওকত ক্লিক কৰক,as
ল’ৰা,as
ছোৱালী,as
জন্মৰ তাৰিখ ,as
*উচ্চতা 38 ৰ পৰা 150 ৰ ভিতৰত হ'ব লাগে,as
*ওজন 0.90 ৰ পৰা 58 ৰ ভিতৰত হ'ব লাগে,as
ফলাফল দেখুৱাওক,as
ABHA (হেল্থ আইডি) আৰু ইয়াৰ সুবিধা,as
ABHA (আগতে হেল্থ আইডি হিচাপে জনা গৈছিল) হৈছে আয়ুষ্মান ভাৰত হেল্থ একাউন্টৰ সংক্ষিপ্ত ৰূপ।,as
ABHA (হেল্থ আইডি) ব্যৱহাৰ কৰাটো হৈছে আপোনাৰ আৰু আপোনাৰ পৰিয়ালৰ বাবে অধিক সুৰক্ষিত আৰু নিপুণ ডিজিটেল হেল্থ ৰেকৰ্ড প্ৰস্তুত কৰিবলৈ প্ৰথম পদক্ষেপ৷।,as
"ই অংশগ্ৰহণকাৰী স্বাস্থ্যসেৱা যোগানকাৰী সকলৰ সৈতে আপোনাৰ ভাৱ-বিনিময় সক্ষম কৰি তোলে, আৰু আপোনাৰ ডিজিটেল লেব ৰিপোৰ্ট, প্ৰেচক্ৰিপচন আৰু ডায়েগনচিছ পৰীক্ষিত স্বাস্থ্যসেৱাৰ লোক আৰু স্বাস্থ্য সেৱা যোগানকাৰীৰ পৰা সুন্দৰভাৱে লাভ কৰিবলৈ সক্ষম কৰি তোলে৷।",as
সকলো,as
হিতাধিকাৰীৰ পঞ্জীয়ন,as
টেক-হোম ৰেচন,as
গৰম ৰন্ধা খাদ্য,as
