data,language
You need to enable JavaScript to run this app.,doi
Poshan Helpline:,doi
JanAndolan,doi
आभा (हेल्थ आई डि),doi
भाषा,doi
English,doi
हिंदी,doi
ગુજરાતી,doi
મરાઠી,doi
ಕನ್ನಡ,doi
മലയാളം,doi
தமிழ்,doi
తెలుగు,doi
বাংলা,doi
অসমীয়া,doi
ਪੰਜਾਬੀ,doi
ଓଡ଼ିଆ,doi
नेपाली,doi
डोगरी,doi
कोंकणी,doi
सिंधी,doi
बोडो,doi
मैथिली,doi
মণিপুরী,doi
संथाली,doi
اردو,doi
کٲشُر,doi
अबाउट,doi
साधन,doi
वक्सीनशन दा सचेडूले,doi
डैशबोर्ड,doi
Mission Utkarsh,doi
हेल्पडेस्क,doi
लाभ लेने अला निवारण,doi
स्टेट दा हेल्पडेस्क,doi
फैक,doi
पोषण कैलकुलेटर,doi
लाग इन करो,doi
आंगनवाड़ी वर्कर्स,doi
मोबाइल ऍप की प्ले स्टोर चों डाउनलोड करो,doi
क्याऊ आर कोड स्कैन करिए ऍप डाउनलोड कार्रो,doi
पोषण ट्रैकर च नाम के ऐ,doi
 Previous,doi
पोशन ट्रैकर नमें एप्लिकेशन सुविधाएं गी जोड़दा ऐ,doi
पोशन ट्रैकर नमें रिपोर्ट्स फीचर गी जोड़दा ऐ,doi
पोशन ट्रैकर वेबसाइट फीचर पर नमें संसाधनें गी जोड़दा ऐ,doi
 Next,doi
Resources for Growth Monitoring and General Awareness,doi
Growth Monitoring Charts,doi
Learning Videos available for all Categories,doi
"New User Interface on Home Page for Beneficiary List, Daily Tracking, Home Visits and Notifications",doi
"Frequently Used Features available for Beneficiary Registration, Aadhar Verification, Beneficiary  Migration",doi
"Dashboard Shortcuts available for Daily Tracking, Home Visits and Growth Monitoring in Real Time",doi
SAM and Underweight Children Report available as of Previous Month,doi
Available in 22 Different Languages,doi
Option to select whether the Beneficiaries in 3-6 Years Category are School Going or not,doi
Option to select Category and Religious Minority(if any) for all Beneficiaries,doi
Update AWC Location in Online Mode,doi
Registration of Beneficiaries and Daily Tracking available in Offline Mode that can store data for 3 days,doi
Expected Date of Delivery is available in Profile Card of Pregnant Women Category,doi
Reproductive and Child Health (RCH) Profile visible for Pregnant Women and Lactating Mother Categories,doi
Three Dots Option available in all Beneficiary categories-,doi
Update Profile,doi
Migrate to Lactating Mother (for Pregnant Women Category),doi
Add Growth and Nutritional Details,doi
Growth Monitoring (for all categories related to Children between 0 month to 6 years),doi
Add Vaccination Details,doi
Beneficiary Dead,doi
"Time Stamp available for  Newly Registered Beneficiaries, Profile Updation/ Growth Monitoring of Beneficiaries",doi
