data,language
You need to enable JavaScript to run this app.,sat
Poshan Helpline:,sat
JanAndolan,sat
आभा (पोहलाङ आई.डी.),sat
पारसी,sat
English,sat
हिंदी,sat
ગુજરાતી,sat
મરાઠી,sat
ಕನ್ನಡ,sat
മലയാളം,sat
தமிழ்,sat
తెలుగు,sat
বাংলা,sat
অসমীয়া,sat
ਪੰਜਾਬੀ,sat
ଓଡ଼ିଆ,sat
नेपाली,sat
डोगरी,sat
कोंकणी,sat
सिंधी,sat
बोडो,sat
मैथिली,sat
মণিপুরী,sat
संथाली,sat
اردو,sat
کٲشُر,sat
बाबोत् ते,sat
सोत को,sat
टिका एम कामी होरा,sat
डेशबोर्ड,sat
Mission Utkarsh,sat
गोड़ो तालमा,sat
लाब ञाम कोवाक् सात होचो,sat
पोनोत हेल्पडेस्क,sat
एफ.ए.क्यू,sat
पोसान कालकुलेटार,sat
लॉगिंन,sat
आंगनबाड़ी कामिया को,sat
प्ले स्टोर खोन मोबाइल ऐप आ़तुर आंड़गोय मे,sat
एप आ़तुर आंड़ो ला़गित् QR कोड एसकेन में,sat
पोसान ट्रकार रे नावानाक् चेत काना,sat
 Previous,sat
पोसान ट्रेकार नावा एपलिकेसान सुविदा सेलेदा,sat
पोसान ट्रेकार नावा रिपोर्ट सुविदा सेलेदा,sat
पोसान ट्रेकार वेबसाइट गुन रे नावा सोत को सेलेदा,sat
 Next,sat
Resources for Growth Monitoring and General Awareness,sat
Growth Monitoring Charts,sat
Learning Videos available for all Categories,sat
"New User Interface on Home Page for Beneficiary List, Daily Tracking, Home Visits and Notifications",sat
"Frequently Used Features available for Beneficiary Registration, Aadhar Verification, Beneficiary  Migration",sat
"Dashboard Shortcuts available for Daily Tracking, Home Visits and Growth Monitoring in Real Time",sat
SAM and Underweight Children Report available as of Previous Month,sat
Available in 22 Different Languages,sat
Option to select whether the Beneficiaries in 3-6 Years Category are School Going or not,sat
Option to select Category and Religious Minority(if any) for all Beneficiaries,sat
Update AWC Location in Online Mode,sat
Registration of Beneficiaries and Daily Tracking available in Offline Mode that can store data for 3 days,sat
Expected Date of Delivery is available in Profile Card of Pregnant Women Category,sat
Reproductive and Child Health (RCH) Profile visible for Pregnant Women and Lactating Mother Categories,sat
Three Dots Option available in all Beneficiary categories-,sat
Update Profile,sat
Migrate to Lactating Mother (for Pregnant Women Category),sat
Add Growth and Nutritional Details,sat
Growth Monitoring (for all categories related to Children between 0 month to 6 years),sat
Add Vaccination Details,sat
Beneficiary Dead,sat
"Time Stamp available for  Newly Registered Beneficiaries, Profile Updation/ Growth Monitoring of Beneficiaries",sat
Beneficiaries status change notification in the bell icon-,sat
Migrated from one category to another,sat
Beneficiary record becoming inactive,sat
AWC Infra removed from Application and added to Master List of the Poshan Tracker Dashboard,sat
Current Month and Monthly Reports available for download in CSV and/or PDF Format,sat
59pm) as well as Day minus 3 (to let offline data sync).,sat
Beneficiaries,sat
नाप रेयाक् खेमोता,sat
AWC Daily Monitoring,sat
AWC Operational Status,sat
"Home Visit, and",sat
Supplementary Nutrition (THR),sat
"Monthly Reports of Supplementary Nutrition provided for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years available with Hyperlinks accessible till AWC level",sat
Anaemia Report available for Pregnant Women and Lactating Mothers on a Monthly basis,sat
Adolescent Girls Report accessible for Aspirational Districts with Hyperlinks accessible till AWC level,sat
"AWC details on Workers, Helpers and their Incentives, Infrastructure, Events, Home Visits and Measuring Efficiency available on a Monthly basis",sat
"Supplementary Nutrition Projection available for Pregnant Women, Lactating Mothers, and Children of 6months to 3 years and 3 to 6 years as well as SAM Children (6 months to 5 years)",sat
"Detailed Growth Monitoring Report available for all health indicators with Hyperlinks accessible till AWC level- Stunting, Wasting and Underweight (for 0-5 Years Category Children) and, Stunting and Underweight (5-6 Years Category Children)",sat
Children Count available till-,sat
 Low Birth Weight of Children between 0-6 months,sat
 Measuring Efficiency for Children between 0-6 years and Health Status of Children between 0-5 years,sat
Beneficiary details available about their Issue Redressal and Activity (till AWC level) as well as Total Registered Active Beneficiary Count (State level),sat
Status of AWCs registered with Poshan Tracker Application and their reporting status available at State level,sat
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,sat
पोसान कालकुलेटार रेयाक् चेत लेका बेभारा?,sat
जानाङ बाछाव मे,sat
जानाम माहित आदेर मे,sat
सेनटी मिटार रे उसुल आदेर मे,sat
किलो ग्राम रे ओजोन आदेर मे,sat
कुड़ाय को दुक् रे ओताय मे,sat
जानाङ ,sat
कोड़ा,sat
कुड़ी,sat
जानाम माहा ,sat
उसुल (सेंटीमिटार) ,sat
*उसुल  38 खोन  150 रेयाक् ताला हुयुक् ला़कती,sat
सेंटी मिटार,sat
ओजोन (किलोग्राम) ,sat
*ओजोन  0.90 खोन 58 रेयाक् ताला हुयुक् ला़कती,sat
किलोग्राम,sat
कुड़ाइ को उदुग मे,sat
आभा(पोहलाङ आइ.डी.) आर ओना रेयाक् लाभ,sat
आभा (ओका दो माड़ाङ पोहलाङ आइ. डी. ञुतुम ते बाडायोक् कान ताहेना) आयुसमान भारोत हेलत एकाउंट रेयाक् खाटो रुप काना।,sat
आभा (पोहलाङ आइ.डी) रेयाक् बेबोहार होचो आमाक् आर आम रिन घारोंज ला़गित् जा़पती आर आ़डी बेस डिजिटाल पोहलांङ रेकोर्ड तेयार होचो नाखा रे पाहिल झांप काना।,sat
"नोवा सामिलातोक् पोहलांङ सेवा एमोक् को सांव आमाक् रोपोड़ को लेख तेयारा, आर आम ञेल मिलाव पोहलांङ का़मी को आर पोहलांङ सेवा एमोक् को सांव आमाक् डिजिटाल लेब रिपोर्ट, सोलाह एम कागोज आर बेस होचो मुल लेका ते ञाम रेयाक् बाताव एमाम।",sat
बाडाय साङ्गे,sat
जावगे कुलियाक् कुकली को,sat
जोतो,sat
लाभ ञाम कोवाक् ञुतुम होचो,sat
ओड़ाक् इदी रासाम,sat
लोलो इसिनाक् जोमाक्,sat
पोसन अभियान चेत् काना?,sat
"पोसन अभियान, मित् जोस नाजेरानाक् आर् पासनाव दारायते गिदराको, सिसुजुवानको पेरेच् होड़मो आयोहोड़को आर पोवाती गोगोको लागित् जोमाक् बाबोत फोलोन रे सुधार लागित् भारोत रेयाक् आसोल कामीहोरा काना।",sat
पोसन ट्रेकर लॉन्च रेयाक् जोस चेत् काना?,sat
"पोसन ट्रेकर एप्लिकेशन रेयाक् जोस आंगनवाड़ी तालमा (एडब्ल्यूसी) रेयाक् कामीकासनी को, आंगनवाड़ी कामीया को (एडब्ल्यूडब्ल्यू) सेवा एमोक् को आर पेरेच् होड़मो होड़ को , पोवाती गोगो को आर गिदरा लागित् पोरहोक् बेबोसता रेयाक् कामीकासनी रेयाक् 360 डिग्री ञेनेल एम काना। प्रस्तावाक् भावाँर दो जोतो एडब्ल्यूसी, एडब्ल्यूडब्ल्यू आर पोरहोक् को गोटावाक् उनुदुक् रे सारीयानाक् ओकते रेयाक् तानखी आर नजोर दोहोय रे सोमोल बेनाव लाकतीया।",sat
पोसन ट्रेकर ऐप ओकालेकाम डाउनलोडा?,sat
पोसन ट्रेकर ऐप गुगल प्लेस्टोर रे मेनाक्आ ,sat
https://play.google.com/store/apps/details?id=com,sat
चेत् ऐप्पल आई स्टोर रे हों पोसन ट्रेकर ऐप मेनाक्आ?,sat
"बाङ, एकेन एण्ड्रॉयड बर्जन लागित् मेनाक्आ।",sat
मोबाइल रे पोसन ट्रेकर ऐप इंस्टॉल लागित् कोमतेत् लाकती चेत् काना।,sat
पोसन ट्रेकर ऐप एण्ड्रॉयड फोन रे एण्ड्रॉयड वर्जन 6.0 आर नोवा तायोम रेयाक् वर्जन रे इंस्टॉल दाड़ेयाक्आ।,sat
जोतो साधारोन कुकली ञेल मे,sat
चेत जाहांये लाभको नेहोर साकाम रेयाक् बेबोहार काते सोझे ञुतुम ओल होचो दाड़ेयाक् आ।,sat
नितोक् मित लाभ ञामिच् ए. डब्लु डब्य. का़मियिजाक् गोड़ो ते ञुतुम ओल होचो दाड़ेयाक्,sat
लाभ ञामिच् ओकोय कानाय?,sat
लाभ ञाम को ला़गित् 6 हा़टिञ को मेनाक् आ,sat
पेरेज होड़मो कुड़ी,sat
तोवा नुनु होचोयिच् आयो,sat
0 खोन 6 चांदो रिन गिदरा़ को,sat
6 चांदो खोन 3 सेरमा हाबिच रिन गिदरा़ को,sat
3 सेरमा खोन 6 सेरमा हाबिच् रिन गिदरा़ को,sat
जुवान कुड़ी गिदरा़ को,sat
चेत् जाहांय लाभ ञाम को आकोवाक् कोड़ा/कुड़ी ए. डब्लु. सी. बोदोल दाड़ेयाक् आ?,sat
मित् ए.डब्लु.डब्लु. आजाक् आधार नोमबोर रेयाक् लेका तेजाहांय लाभ ञाम को मित् ए.डब्लु.सी. खोन एटाक् ए.डब्लु.सी. रे उचाड़ होचो ला़गित् ‘माइग्रेट लाभ ञाम को’ एपेटाक् रेयाक् बेबोहार दाड़ेयाक् आ।,sat
मित् लाभ ञामिजाक् लेकमान दो चेत् काना?,sat
मित् लाभ ञामिच् चांदो रे कोम खोन कोम 21 माहा ला़गित् टी.एच.आर. लागित् लेक हुयुक् आ।,sat
ओड़ाक् इदी रासोन ला़गित् ओकोय लेकमान आ?,sat
"पेरेच् होड़मो कुड़ी, तावा नुनु होचो गोगो को, 6 चांदो खोन 3 सेरमा हाबिच् रिन गिदरा आर जुवान कुड़ी को।",sat
इञ ओड़ाक् इदी ला़गित् रासान बाबोत ते ओकारिञ कुली दाड़ेयाकोवा?,sat
