en,bn
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি)
Language,ভাষা
About,বিষয়
Resources,সংস্থান
Resources,সংস্থান
Vaccination Schedule,টিকা দেওয়ার সময়সূচী
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,সুবিধাভোগী প্রতিকার
State Helpdesk,রাজ্য হেল্পডেস্ক
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন
Poshan Calculator,পোশান ক্যালকুলেটর
Login,লগইন
Anganwadi Workers,অঙ্গনওয়াড়ি কর্মীরা
Download Mobile App from Play Store,প্লে স্টোর থেকে মোবাইল অ্যাপ ডাউনলোড করুন
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে QR কোড স্ক্যান করুন
What’s New on Poshan Tracker,পোশান ট্র্যাকারে নতুন কি আছে
 Previous, Previous
Poshan Tracker adds new application features,পোশান ট্র্যাকার নতুন অ্যাপ্লিকেশন বৈশিষ্ট্য যোগ করে
Poshan Tracker adds new Reports feature,পোশান ট্র্যাকার একটি নতুন রিপোর্ট বৈশিষ্ট্য যোগ করেছে
Poshan Tracker adds new Resources on Website,পোশান ট্র্যাকার ওয়েবসাইট বৈশিষ্ট্যে নতুন সংস্থান যোগ করে
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ
Growth monitoring charts,বৃদ্ধি পর্যবেক্ষণ চার্ট
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন
Mobile number need to be validated within a week,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে
Anganwadi Worker profile page,অঙ্গনওয়াড়ি কর্মীর প্রোফাইল পেজ
Stunting and Underweight Growth Parameters,স্টান্টিং এবং কম ওজন বৃদ্ধির স্থিতিমাপ
Beneficiaries status change notifications,সুবিধাভোগীদের অবস্থা পরিবর্তন বিষয়ক নোটিফিকেশন
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হয়েছে
Beneficiary record becoming inactive,সুবিধাভোগী রেকর্ড নিষ্ক্রিয় হয়ে যাচ্ছে
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর
Beneficiary deletion by AWW,এডাব্লুডাব্লু (AWW) দ্বারা সুবিধাভোগী ডিলিট করা
Default language selection,ডিফল্ট ভাষা নির্বাচন
"Beneficiary concerns accessibility to AWW, along with status update once resolved","সুবিধাভোগী এডব্লিউডব্লিউ (AWW)-তে অ্যাক্সেসযোগ্যতার বিষয়ে উদ্বিগ্ন, স্ট্যাটাস আপডেট সহ একবার সমাধান করা হয়ে গেছে"
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন
Application downloaded status by AWW,এডাব্লুডাব্লু (AWW) দ্বারা অ্যাপ্লিকেশন ডাউনলোড করা স্ট্যাটাস
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,সুবিধাভোগীর সংখ্যা গণনার রিপোর্ট : নিষ্ক্রিয় হওয়া রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ
Growth monitoring charts,বৃদ্ধি পর্যবেক্ষণ চার্ট
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন
Mobile number need to be validated within a week,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে
Anganwadi Worker profile page,অঙ্গনওয়াড়ি কর্মীর প্রোফাইল পেজ
Stunting and Underweight Growth Parameters,স্টান্টিং এবং কম ওজন বৃদ্ধির স্থিতিমাপ
Beneficiaries status change notifications,সুবিধাভোগীদের অবস্থা পরিবর্তন বিষয়ক নোটিফিকেশন
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হয়েছে
Beneficiary record becoming inactive,সুবিধাভোগী রেকর্ড নিষ্ক্রিয় হয়ে যাচ্ছে
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর
Beneficiary deletion by AWW,এডাব্লুডাব্লু (AWW) দ্বারা সুবিধাভোগী ডিলিট করা
Default language selection,ডিফল্ট ভাষা নির্বাচন
"Beneficiary concerns accessibility to AWW, along with status update once resolved","সুবিধাভোগী এডব্লিউডব্লিউ (AWW)-তে অ্যাক্সেসযোগ্যতার বিষয়ে উদ্বিগ্ন, স্ট্যাটাস আপডেট সহ একবার সমাধান করা হয়ে গেছে"
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন
Application downloaded status by AWW,এডাব্লুডাব্লু (AWW) দ্বারা অ্যাপ্লিকেশন ডাউনলোড করা স্ট্যাটাস
