en,gu
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
 Previous, Previous
 Next, Next
Anganwadi Workers,આંગણવાડી કાર્યકરો
Download Mobile App from Play Store,પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો
Scan the QR Code to Download the App,એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો
What’s New on Poshan Tracker,પોષણ ટ્રેકર પર નવું શું છે
 Previous, Previous
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે
 Next, Next
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો
Growth monitoring charts,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા
Mobile number need to be validated within a week,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે
Anganwadi Worker profile page,આંગણવાડી કાર્યકર્તાનું પ્રોફાઈલ પેજ
Stunting and Underweight Growth Parameters,વૃદ્ધિ અટકી જવી અને ઓછા વજન સાથે વૃદ્ધિને લગતા માપદંડો
Beneficiaries status change notifications,લાભાર્થીઓને લગતા દરજ્જામાં ફેરફાર અંગે નોટિફિકેશન્સ
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ
Beneficiary record becoming inactive,લાભાર્થીને લગતો રેકોર્ડ નિષ્ક્રીય બની રહ્યો છે
