en,as
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (হেল্থ আইডি)
Language,ল্যাঙ্গুয়েজে
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ইয়াৰ বিষয়ে
Resources,সমল
Resources,সমল
Vaccination Schedule,টিকাকৰণৰ সূচী
Dashboard,ডেশ্ববৰ্ড
Dashboard,ডেশ্ববৰ্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,হিতাধিকাৰীৰ প্ৰতিবিধান
State Helpdesk,ৰাজ্যিক হেল্পডেস্ক
FAQ,সঘনাই সোধা প্ৰশ্ন সমূহ
Poshan Calculator,পোষণ কেলকুলেটৰ
Login,লগইন কৰক
 Previous, Previous
 Next, Next
Anganwadi Workers,অংগনৱাড়ী কৰ্মী
Download Mobile App from Play Store,প্লে ষ্টোৰৰ পৰা মোবাইল এপ ডাউনলোড কৰক
Scan the QR Code to Download the App,এপটো ডাউনলোড কৰিবলৈ QR কোডটো স্কেন কৰক
What’s New on Poshan Tracker,পোষণ ট্ৰেকাৰত নতুন কি উপলব্ধ
 Previous, Previous
Poshan Tracker adds new application features,পোশান ট্ৰেকাৰে নতুন এপ্লিকেচন সুবিধা যোগ কৰে
Poshan Tracker adds new Reports feature,পোশান ট্ৰেকাৰে নতুন প্ৰতিবেদন সুবিধা যোগ কৰিছে
Poshan Tracker adds new Resources on Website,পোশান ট্ৰেকাৰে ৱেবছাইট সুবিধাত নতুন সমল যোগ কৰে
 Next, Next
Resources for growth monitoring and general awareness,বিকাশ নিৰীক্ষণ আৰু সাধাৰণ সজাগতাৰ বাবে সম্পদ
Growth monitoring charts,বিকাশ নিৰীক্ষণ চাৰ্ট
New beneficiary addition with skip OTP option,স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন
