en,gu
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
State Helpdesk,રાજ્ય હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ
Login,પ્રવેશ
Anganwadi Workers,આંગણવાડી કાર્યકરો
Download Mobile App from Play Store,પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો
Scan the QR Code to Download the App,એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો
What’s New on Poshan Tracker,પોષણ ટ્રેકર પર નવું શું છે
Previous,Previous
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે
Next,Next
Resources for Growth Monitoring and General Awareness,Resources for Growth Monitoring and General Awareness
Growth Monitoring Charts,Growth Monitoring Charts
Learning Videos available for all Categories,Learning Videos available for all Categories
"New User Interface on Home Page for Beneficiary List, Daily Tracking, Home Visits and Notifications","New User Interface on Home Page for Beneficiary List, Daily Tracking, Home Visits and Notifications"
