en,kok
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एभीएचए (हॅल्थ आय डी)
Language,भास
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,ताचे विशीं
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Dashboard,डॅशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,मदत डेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्या आदारकक्ष
FAQ,परतून परतून विचारिल्ले प्रस्न
Poshan Calculator,पोशण कॅल्क्यूटर
Login,लॉग ईन
 Previous, Previous
 Next, Next
Anganwadi Workers,आंगनवाडी कर्मचारी
Download Mobile App from Play Store,प्ले स्टोरांतल्यान मोबायल ऍप्लिकेशन डावनलोड करचें
Scan the QR Code to Download the App,ऍप्लिकेशन डावनलोड करूंक QR कोड स्कॅन करचो
What’s New on Poshan Tracker,पोशण ट्रॅकराचेर नवें कितें आसा
 Previous, Previous
Poshan Tracker adds new application features,पोशण ट्रॅकर नवीं ऍप्लिकेशन खाशेलपणां जोडटा
Poshan Tracker adds new Reports feature,पोशण ट्रॅकर नवीं अहवाल दिवपाचें खाशेलपण जोडटा
Poshan Tracker adds new Resources on Website,पोशण ट्रॅकर वॅबसायट खाशेलपणाचेर नवीं संसाधनां जोडटा
 Next, Next
Resources for growth monitoring and general awareness,वाड टेळणी आनी सामान्य जागृतायेखातीर संसाधनां
Growth monitoring charts,वाड टेळणी तकटे
New beneficiary addition with skip OTP option,OTP गाळचो पर्याया सयत नवी लाभार्थी पुरवणी
Mobile number need to be validated within a week,एके सप्तका भितर मोबायल नंबर सत्यापित करपाची गरज आसतली
Anganwadi Worker profile page,आंगणवाडी कामगाराचें प्रोफायल पान
