en,mai
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदतिकेंद्र
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन करू
 Previous, Previous
 Next, Next
Anganwadi Workers,आंगनवाड़ी कार्यकर्ता
Download Mobile App from Play Store,प्ले स्टोरसँ मोबाइल ऐप डाउनलोड करू
Scan the QR Code to Download the App,ऐप डाउनलोड करबाक लेल क्यूआर कोडकेँ स्कैन करू
What’s New on Poshan Tracker,पोषण ट्रैकरमे नव की अछि
 Previous, Previous
Poshan Tracker adds new application features,पोषण ट्रैकर नव एप्लीकेशन विशेषता सभ जोड़ैत अछि
Poshan Tracker adds new Reports feature,पोषण ट्रैकर नव रिपोर्ट सभक विशेषता जोड़ैत अछि
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर वेबसाइट विशेषता पर नव संसाधन सभ जोड़ैत अछि
 Next, Next
Resources for growth monitoring and general awareness,विकास निगरानी आ सामान्य जागरूकता लेल संसाधन सभ
Growth monitoring charts,विकास निगरानी चार्ट सभ
New beneficiary addition with skip OTP option,OTP मुक्त विकल्प सँ नव लाभार्थी जोड़
Mobile number need to be validated within a week,मोबाइल नंबर केँ एक सप्ताहक अंदर सत्यापित करबाक जरूरत अछि
Anganwadi Worker profile page,आँगनबाड़ी कार्यकर्ता प्रोफाइल पेज
