en,ml
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Language,ഭാഷ
About,കുറിച്
Resources,വിഭവങ്ങൾ
Resources,വിഭവങ്ങൾ
Vaccination Schedule,വാക്സിനേഷൻ ഷെഡ്യൂൾ
Dashboard,ഡാഷ്ബോർഡ്
Dashboard,ഡാഷ്ബോർഡ്
Mission Utkarsh,Mission Utkarsh
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
Beneficiary Redressal,ഗുണഭോക്താക്കളുടെ പരിഹാരം
State Helpdesk,സംസ്ഥാന സഹായകേന്ദ്രം
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Login,ലോഗിൻ
 Previous, Previous
 Next, Next
Anganwadi Workers,അങ്കണവാടി പ്രവർത്തകർ
Download Mobile App from Play Store,പ്ലേ സ്റ്റോറിൽ നിന്ന് മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Scan the QR Code to Download the App,ആപ്പ് ഡൗൺലോഡ് ചെയ്യാൻ QR കോഡ് സ്കാൻ ചെയ്യുക
What’s New on Poshan Tracker,പോഷൻ ട്രാക്കറിൽ എന്താണ് പുതിയത്
 Previous, Previous
Poshan Tracker adds new application features,പോഷണ്‍ട്രാക്കര്‍ പുതിയ ആപ്ലിക്കേഷന്‍ ഫീച്ചറുകള്‍ ചേര്‍ക്കുന്നു
Poshan Tracker adds new Reports feature,പോഷണ്‍പുതിയ റിപ്പോര്‍ട്ട് ഫീച്ചറുകള്‍ ചേര്‍ക്കുന്നു
Poshan Tracker adds new Resources on Website,പോഷണ്‍ട്രക്കര്‍ വെബ്സൈറ്റില്‍ പുതിയ ഉറവിടങ്ങള്‍ ചേര്‍ക്കുന്നു
 Next, Next
Resources for growth monitoring and general awareness,വളര്‍ച്ചാ നിരീക്ഷണത്തിനും പൊതുഅവബോധത്തിനുമുള്ള വിഭവങ്ങള്‍
Growth monitoring charts,വളര്‍ച്ചാ നിരീക്ഷണ ചാര്‍ട്ടുകള്‍
New beneficiary addition with skip OTP option,OTP ഒഴിവാക്കിക്കൊണ്ടുള്ള പുതിയ ഗുണഭോക്താക്കളെ കൂട്ടിച്ചേര്‍ക്കല്‍
Mobile number need to be validated within a week,മൊബൈല്‍ നമ്പര്‍ ഒരാഴ്ചക്കുള്ളില്‍ സാധൂകരിക്കണം
