en,mni
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),এ.বি.ঐচ.এ. (হেল্থ আই.দি.)
Language,লোন
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,মরমদা
Resources,রিসোর্সশিং
Resources,রিসোর্সশিং
Vaccination Schedule,তিকা থাদোকপগী মতম
Dashboard,ড্যাশবোর্ড
Dashboard,ড্যাশবোর্ড
Mission Utkarsh,Mission Utkarsh
Helpdesk,হেল্পডেস্ক
Beneficiary Redressal,বেনিফিসরী রিদ্রেসেল
State Helpdesk,রাজ্যগী হেল্পদেস্ক
FAQ,এফ.এ.ক্যু.
Poshan Calculator,পোশন কেলক্যুলেতর
Login,লগইন
 Previous, Previous
 Next, Next
Anganwadi Workers,অঙ্গনৱাদী ৱার্করশিং
Download Mobile App from Play Store,প্লে স্তোরদগী মোবাইল এপ দাউনলোদ তৌ
Scan the QR Code to Download the App,এপ দাউনলোদ তৌনবা ক্যু.আর. কোদ স্কেন তৌ
What’s New on Poshan Tracker,পোশন ত্রেকরদা করি অনৌবা য়াওবগে
 Previous, Previous
Poshan Tracker adds new application features,পোশন ত্রেকরনা অনৌবা এপ্লিকেসন ফিচরশিং হাপচিল্লে
Poshan Tracker adds new Reports feature,পোশন ত্রেকরনা অনৌবা রিপোর্টশিংগী ফিচর হাপচিল্লে
Poshan Tracker adds new Resources on Website,পোশন ত্রেকরনা ৱেবসাইট ফিচরদা অনৌবা রিসোর্সশিং হাপচিল্লে
 Next, Next
Resources for growth monitoring and general awareness,গ্রোথ মোনিটরিং অমসুং জেনরেল এৱারনেসকী ওইবা রিসোর্সশিং
Growth monitoring charts,গ্রোথ মোনিটরিং চার্টশিং
New beneficiary addition with skip OTP option,স্কিপ OTP ওপসনগা লোয়ননা অনৌবা বেনিফিসরী হাপচিনবা
