en,ne
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),एबीएचए (स्वास्थ्य आईडी)
Language,भाषा
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,को बारेमा
Resources,संसाधन
Resources,संसाधन
Vaccination Schedule,खोप अनुसूची
Dashboard,ड्यासबोर्ड
Dashboard,ड्यासबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,सहायता केन्द्र
Beneficiary Redressal,हितग्राही निवारण
State Helpdesk,राज्य सहायता डेस्क
FAQ,एफएक्यू
Poshan Calculator,पोशन क्याल्कुलेटर
Login,लग-इन
 Previous, Previous
 Next, Next
Anganwadi Workers,आंगनवाड़ी कार्यकर्ताहरू
Download Mobile App from Play Store,प्ले स्टोरबाट मोबाइल एप डाउनलोड गर्नुहोस्
Scan the QR Code to Download the App,एप डाउनलोड गर्न क्यूआर कोड स्क्यान गर्नुहोस्
What’s New on Poshan Tracker,पोशन ट्रयाकर मा नयाँ के छ
 Previous, Previous
Poshan Tracker adds new application features,पोशन ट्र्याकर (Poshan Tracker) ले नयाँ अनुप्रयोग सुविधाहरू थप्छ
Poshan Tracker adds new Reports feature,पोशन ट्र्याकरले नयाँ रिपोर्टहरूको सुविधा थप्छ
Poshan Tracker adds new Resources on Website,पोशन ट्र्याकर ले वेबसाइट सुविधामा नयाँ स्रोतहरू थप्छ
 Next, Next
Resources for growth monitoring and general awareness,वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन
Growth monitoring charts,वृद्धि अनुगमन चार्ट
New beneficiary addition with skip OTP option,नयाँ लाभार्थी थप्दा OTP नलगाई अगाडि जान सकिने विकल्प
Mobile number need to be validated within a week,मोबाइल नम्बर एक हप्ताभित्र प्रमाणीकरण गर्न आवश्यक छ
Anganwadi Worker profile page,आंगनवाडी कार्यकर्ताको प्रोफाइल पेज
