en,pa
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
 Previous, Previous
 Next, Next
Anganwadi Workers,ਆਂਗਣਵਾੜੀ ਵਰਕਰ
Download Mobile App from Play Store,ਪਲੇ ਸਟੋਰ ਤੋਂ ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Scan the QR Code to Download the App,ਐਪ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ
What’s New on Poshan Tracker,ਪੋਸ਼ਣ ਟਰੈਕਰ 'ਤੇ ਨਵਾਂ ਕੀ ਹੈ
 Previous, Previous
Poshan Tracker adds new application features,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਐਪਲੀਕੇਸ਼ਨ ਵਿਸ਼ੇਸ਼ਤਾ ਜੁੜਦੀ ਹੈ
Poshan Tracker adds new Reports feature,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਰਿਪੋਰਟ ਵਿਸ਼ੇਸ਼ਤਾ ਜੁੜਦੀ ਹੈ
Poshan Tracker adds new Resources on Website,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਵੈੱਬਸਾਈਟ ਉੱਤੇ ਸ੍ਰੋਤ ਵਿਸ਼ੇਸ਼ਤਾ ਜੁੜਦੀ ਹੈ
 Next, Next
