en,sd
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (तंदुरुस्ती आईडी)
Language,बो॒ली
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,जे बारे में
Resources,वसीला
Resources,वसीला
Vaccination Schedule,टीकाकरण जो शेड्यूल
Dashboard,डैश्बोर्ड
Dashboard,डैश्बोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,हितभागी जो निस्तार
State Helpdesk,राज्य हेल्पडेस्क
FAQ,घणो करे पूछण वणन वारा सवाल
Poshan Calculator,पोषण कैलकुलेटर
Login,लॉगिन
 Previous, Previous
 Next, Next
Anganwadi Workers,आंगनवाडी कर्मचारी
Download Mobile App from Play Store,प्ले स्टोर खों मोबाइल ऐप डाउनलोड कयो
Scan the QR Code to Download the App,ऐप डाउनलोड करण जे लाये क्यूआर कोड खे स्कैन कयो
What’s New on Poshan Tracker,पोषण ट्रैकर में नयो छा आहे
 Previous, Previous
Poshan Tracker adds new application features,पोशॉन ट्रेकर गंढी आहे नई ऐपलिकेशन कारगुजारी
Poshan Tracker adds new Reports feature,कोशॉन ट्रेकर गंढी आहे नई रिपोर्ट कारगुजारी
Poshan Tracker adds new Resources on Website,पोशॉन ट्रेकर गंढियो आहे नयो वसिलो वेबसाईट कारगुरीअ ते
 Next, Next
Resources for growth monitoring and general awareness,विधारे निगरानी ऐं आम जाणि लाई वसिला
Growth monitoring charts,वाधोरो निगरानी कंदड चार्टअ
New beneficiary addition with skip OTP option,नयो फाईदोवठिंदड गंढायप नजपअंदाज कंदड OTP विकल्प सां
Mobile number need to be validated within a week,मोबाईल नम्बर जे साबित करणो पवंदो हिक हफिते में
Anganwadi Worker profile page,आङनवाडी कारुकनु रुपरेखा सुफो
