en,ur
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
English,English
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
 Previous, Previous
 Next, Next
Anganwadi Workers,آنگن واڑی ورکرز
Download Mobile App from Play Store,پلے اسٹور سے موبائل ایپ ڈاؤن لوڈ کریں۔
Scan the QR Code to Download the App,ایپ ڈاؤن لوڈ کرنے کے لیے کیو آر کوڈ اسکین کریں۔
What’s New on Poshan Tracker,پوشن ٹریکر پر نیا کیا ہے۔
 Previous, Previous
Poshan Tracker adds new application features,پوشن ٹریکر ایپلیکیشن کی نئی خصوصیات شامل کرتا ہے۔
Poshan Tracker adds new Reports feature,پوشن ٹریکر نے رپورٹس کا نیا فیچر شامل کیا۔
Poshan Tracker adds new Resources on Website,پوشن ٹریکر نے ویب سائٹ کی خصوصیت پر نئے وسائل کا اضافہ کیا ہے۔
 Next, Next
Resources for growth monitoring and general awareness,ترقی کی نگرانی اور عمومی آگاہی کے لیے وسائل
Growth monitoring charts,نمو کی نگرانی کے چارٹس
New beneficiary addition with skip OTP option,لیو ون ٹائم پاس ورڈ آپشن کے ساتھ نیا فائدہ اٹھانے والوں کا اضافہ
Mobile number need to be validated within a week,ایک ہفتے کے اندر موبائل نمبر کی توثیق کرنے کی ضرورت ہے۔
