en,hi
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र)
Language,भाषा
About,के बारे में
Resources,स्रोत
Resources,स्रोत
Vaccination Schedule,टीकाकरण सूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
Mission Utkarsh,Mission Utkarsh
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण/उपाय
State Helpdesk,राज्य सहायता केंद्र
FAQ,अक्सर पूछे जाने वाले प्रश्न
Poshan Calculator,पोषण कैल्कुलेटर/ मापक
Login,लॉगिन
 Previous, Previous
 Next, Next
Anganwadi Workers,आँगनवाड़ी कार्यकर्ता
Download Mobile App from Play Store,प्ले स्टोर से मोबाइल एप्प डाउनलोड करें
Scan the QR Code to Download the App,एप्प को डाउनलोड करने के लिए QR कोड को स्कैन करें
What’s New on Poshan Tracker,पोषण ट्रैकर में नया क्या है
 Previous, Previous
Poshan Tracker adds new application features,पोषण ट्रैकर ने नई एप्लिकेशन फीचर जोड़ा है
Poshan Tracker adds new Reports feature,पोषण ट्रैकर ने नई रिकॉर्ड फीचर जोड़ा है
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर ने वेबसाइट सुविधा पर नई संसाधन जोड़ा है
 Next, Next
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन
Growth monitoring charts,विकास पर्यवेक्षण चार्ट
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है
Anganwadi Worker profile page,आंगनवाड़ी कार्यकर्ता प्रोफाइल पेज
Stunting and Underweight Growth Parameters,बौनापन और सामान्य से कम वजन के विकास मानक
Beneficiaries status change notifications,लाभार्थियों की स्थिति परिवर्तन सूचनाएं
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण
Beneficiary record becoming inactive,निष्क्रिय हो रहा लाभार्थी का रिकॉर्ड
Beneficiary migration from one AWC to another AWC,एक AWC से दूसरे AWC में लाभार्थी का स्थानांतरण
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी का विलोपन
Default language selection,डिफ़ॉल्ट भाषा चयन
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थी AWW चिंता अभिगम्यता, एक बार हल हो जाने पर स्थिति अपडेट के साथ"
