en,kn
ABHA (Health ID),ಎಬಿಹೆಚ್ಎ (ಆರೋಗ್ಯ ID)
Language,ಭಾಷೆ
About,ಬಗ್ಗೆ
Resources,ಸಂಪನ್ಮೂಲಗಳು
Vaccination Schedule,ವ್ಯಾಕ್ಸಿನೇಷನ್ ವೇಳಾಪಟ್ಟಿ
Dashboard,ಡ್ಯಾಶ್ ಬೋರ್ಡ್
Helpdesk,ಸಹಾಯವಾಣಿ
Beneficiary Redressal,ಫಲಾನುಭವಿಗಳಿಗೆ ನೀಡುವ ಪರಿಹಾರ
State Helpdesk,ರಾಜ್ಯ ಸಹಾಯವಾಣಿ ಕೇಂದ್ರ
FAQ,ಪದೇ ಪದೇ ಕೇಳಲಾಗುವ ಪ್ರಶ್ನೆಗಳು
Poshan Calculator,ಪೋಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್
Login,ಲಾಗಿನ್
Anganwadi Workers,ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರು
Download Mobile App from Play Store,ಪ್ಲೇ ಸ್ಟೋರ್ ನಿಂದ ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಿ
Scan the QR Code to Download the App,ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ಲೋಡ್ ಮಾಡಲು ಕ್ಯೂಆರ್ ಕೋಡ್ ಸ್ಕ್ಯಾನ್ ಮಾಡಿ
What’s New on Poshan Tracker,ಫೋಷನ್ ಟ್ರಾಕರ್ ನಲ್ಲಿ ಹೊಸದ್ದು ಏನು ಇದೆ
Poshan Tracker adds new application features,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಹೊಸ ಅಪ್ಲಿಕೇಶನ್ ವೈಶಿಷ್ಟ್ಯಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ
Poshan Tracker adds new Reports feature,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಹೊಸ ವರದಿಗಳ ವೈಶಿಷ್ಟ್ಯವನ್ನು ಸೇರಿಸುತ್ತದೆ
Poshan Tracker adds new Resources on Website,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ವೆಬ್‌ಸೈಟ್ ವೈಶಿಷ್ಟ್ಯದಲ್ಲಿ ಹೊಸ ಸಂಪನ್ಮೂಲಗಳನ್ನು ಸೇರಿಸುತ್ತದೆ
Resources for growth monitoring and general awareness,ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣೆ ಮತ್ತು ಸಾಮಾನ್ಯ ಜಾಗೃತಿಗಾಗಿ ಸಂಪನ್ಮೂಲಗಳು
Growth monitoring charts,ಬೆಳವಣಿಗೆಯ ಮಾನಿಟರಿಂಗ್ ಚಾರ್ಟ್‌ಗಳು
New beneficiary addition with skip OTP option,ಸ್ಕಿಪ್ OTP ಆಯ್ಕೆಯೊಂದಿಗೆ ಹೊಸ ಫಲಾನುಭವಿ ಸೇರ್ಪಡೆ
Mobile number need to be validated within a week,ಒಂದು ವಾರದೊಳಗೆ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಮೌಲ್ಯೀಕರಿಸಬೇಕು
Anganwadi Worker profile page,ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತೆಯರ ಪ್ರೊಫೈಲ್ ಪುಟ
Stunting and Underweight Growth Parameters,ಕುಂಠಿತ ಮತ್ತು ಕಡಿಮೆ ತೂಕದ ಬೆಳವಣಿಗೆಯ ನಿಯತಾಂಕಗಳು
Beneficiaries status change notifications,ಫಲಾನುಭವಿಗಳ ಸ್ಥಿತಿ ಬದಲಾವಣೆ ಅಧಿಸೂಚನೆಗಳು
Migrated from one category to another,ಒಂದು ವರ್ಗದಿಂದ ಇನ್ನೊಂದು ವರ್ಗಕ್ಕೆ ವಲಸೆ ಹೋಗಿದ್ದಾರೆ
Beneficiary record becoming inactive,ಫಲಾನುಭವಿ ದಾಖಲೆ ನಿಷ್ಕ್ರಿಯವಾಗುತ್ತಿದೆ
Beneficiary migration from one AWC to another AWC,ಒಂದು ಎಡಬ್ಲ್ಯೂಸಿ ಯಿಂದ ಮತ್ತೊಂದು ಎಡಬ್ಲ್ಯೂಸಿ ಗೆ ಫಲಾನುಭವಿಗಳ ವಲಸೆ
Beneficiary deletion by AWW,ಎಡಬ್ಲ್ಯೂಡಬ್ಲ್ಯೂ ಮೂಲಕ ಫಲಾನುಭವಿ ಅಳಿಸುವಿಕೆ
Default language selection,ಡೀಫಾಲ್ಟ್ ಭಾಷೆಯ ಆಯ್ಕೆ
"Beneficiary concerns accessibility to AWW, along with status update once resolved","ಎಡಬ್ಲ್ಯೂಡಬ್ಲ್ಯೂ ಗೆ ಪ್ರವೇಶಿಸುವಿಕೆಗೆ ಫಲಾನುಭವಿ ಕಾಳಜಿ ವಹಿಸುತ್ತಾನೆ, ಒಮ್ಮೆ ಪರಿಹರಿಸಿದ ಸ್ಥಿತಿಯ ನವೀಕರಣದೊಂದಿಗೆ"
Growth monitoring report for all health indicators,ಎಲ್ಲಾ ಆರೋಗ್ಯ ಸೂಚಕಗಳಿಗೆ ಬೆಳವಣಿಗೆಯ ಮೇಲ್ವಿಚಾರಣಾ ವರದಿ
