en,mr
ABHA (Health ID),आरोग्य आयडी
Language,भाषा
About,विषयी
Resources,संसाधने
Vaccination Schedule,लसीकरण वेळापत्रक
Dashboard,डॅशबोर्ड
Helpdesk,हेल्पडेस्क
Beneficiary Redressal,लाभार्थी निवारण
State Helpdesk,राज्य मदत कक्ष
FAQ,एफएक्यू
Poshan Calculator,पोषण कॅल्क्युलेटर
Login,दाखलन
Anganwadi Workers,अंगणवाडी सेविका
Download Mobile App from Play Store,प्ले स्टोअर वरून मोबाईल ॲप डाउनलोड करा
Scan the QR Code to Download the App,ॲप डाउनलोड करण्यासाठी क्यूआर कोड स्कॅन करा
What’s New on Poshan Tracker,पोषण ट्रॅकर वर नवीन काय आहे
Poshan Tracker adds new application features,पोशन ट्रॅकर नवीन ऍप्लिकेशन वैशिष्ट्ये जोडत आहे
Poshan Tracker adds new Reports feature,पोशन ट्रॅकरने नवीन अहवाल वैशिष्ट्य जोडले आहे
Poshan Tracker adds new Resources on Website,पॉशन ट्रॅकर वेबसाइट वैशिष्ट्यावर नवीन संसाधने जोडते
Resources for growth monitoring and general awareness,ग्रोथ मॉनिटरिंग आणि सामान्य जागरूकता साठी संसाधने
Growth monitoring charts,ग्रोथ मॉनिटरिंग  चार्ट
New beneficiary addition with skip OTP option,"ओटीपी वगळा, पर्यायासह नवीन लाभार्थी जोडणे"
Mobile number need to be validated within a week,एका आठवड्यात मोबाईल क्रमांक सत्यापित करणे आवश्यक आहे
Anganwadi Worker profile page,अंगणवाडी सेविका वर्णन पान
Stunting and Underweight Growth Parameters,खुंटणे आणि कमी वजन वाढीचे मापदंड
Beneficiaries status change notifications,लाभार्थ्यांची स्थिती बदलण्याच्या सूचना
Migrated from one category to another,एका श्रेणीतून दुसऱ्यात स्थलांतरित झाले
Beneficiary record becoming inactive,लाभार्थी रेकॉर्ड निष्क्रिय होत आहे
Beneficiary migration from one AWC to another AWC,एका एडब्ल्यूसी मधून दुसऱ्या एडब्ल्यूसी मध्ये लाभार्थी स्थलांतर
Beneficiary deletion by AWW,एडब्ल्यूसी द्वारे लाभार्थी हटवणे
Default language selection,डीफॉल्ट भाषा निवड
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थी एडब्ल्यूडब्ल्यू च्या प्रवेशयोग्यतेशी संबंधित आहे, निराकरण झाल्यानंतर स्थिती अपडेट सह"
Growth monitoring report for all health indicators,सर्व आरोग्य निर्देशकांसाठी वाढ निरीक्षण अहवाल
Application downloaded status by AWW,सर्व आरोग्य निर्देशकांसाठी(इंडिकेटर)ग्रोथ मॉनिटरिंग अहवाल
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणना अहवाल : निष्क्रीय होणाऱ्या नोंदींची संख्या आणि एका श्रेणीतून दुसऱ्यात स्थलांतरित होणाऱ्या नोंदींची संख्या
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,पोषण कॅल्क्युलेटर हे मुलांची वाढ मोजण्यासाठी डिझाइन केलेले आहे जे जागतिक आरोग्य संघटनेने (डब्ल्यूएचओ) परिभाषित केलेल्या मानकांच्या आधारे मूल्यमापन करते.
How to use Poshan Calculator?,पोषण कॅल्क्युलेटर कसे वापरावे?
Select Gender,लिंग निवडा
Enter Date of Birth,जन्मतारीख प्रविष्ट करा
Enter Height in centimeter,सेंटीमीटरमध्ये उंची प्रविष्ट करा
Enter Weight in kilogram,किलोग्रॅममध्ये वजन प्रविष्ट करा
Click on Show Results,परिणाम दर्शवा वर क्लिक करा
Gender ,लिंग 
*,*
Boy,मुलगा
Girl,मुलगी
Date of Birth ,जन्मतारीख 
Height (CM) ,उंची (सेमी) 
*Height should be between 38 to 150,*उंची 38 ते 150 च्या दरम्यान असावी
CM,सेमी
Weight (KG) ,वजन (किग्रॅ) 
*Weight should be between 0.90 to 58,*वजन 0.90 ते 58 च्या दरम्यान असावे
KG,किग्रॅ
Show Results,परिणाम दर्शवा
ABHA (Health ID) and its Benefits,एबीएचए (आरोग्य आयडी) आणि त्याचे फायदे
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,एबीएचए (पूर्वी आरोग्य आयडी म्हणून ओळखले जाणारे) हे आयुष्मान भारत आरोग्य खात्याचे संक्षिप्त रूप आहे.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,एबीएचए (आरोग्य आयडी) याचा वापर हे तुमच्यासाठी आणि तुमच्या कुटुंबासाठी सुरक्षित आणि कार्यक्षम डिजिटल आरोग्य नोंदी तयार करण्याच्या दिशेने पहिले पाऊल आहे.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","हे सहभागी आरोग्य सेवा प्रदात्यांशी तुमचं एकमेकांशी असलेले संभाषण सक्षम करते आणि तुम्हाला तुमचे डिजिटल लॅब रिपोर्ट्स, प्रिस्क्रिप्शन आणि निदान सत्यापित आरोग्यसेवा व्यावसायिक आणि आरोग्य सेवा प्रदात्यांकडून अखंडपणे प्राप्त करण्यास अनुमती देते."
Know More,अधिक जाणून घ्या
×,×
Frequently Asked Questions,सतत विचारले जाणारे प्रश्न
ALL,सर्व
BENEFICIARY REGISTRATION,लाभार्थी नोंदणी
Take Home Ration,होम रेशन घ्या
Hot Cooked Meal,गरम शिजवलेले जेवण
What is Poshan Abhiyaan?,पोषण अभियान म्हणजे काय?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्‍या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारण्यासाठी पोषण अभियान हा भारताचा प्रमुख कार्यक्रम आहे."
What is the purpose of Launching Poshan Tracker?,पोषण ट्रॅकर लॉन्च करण्याचा हेतू काय आहे ?
