en,or
ABHA (Health ID),ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID)
Language,ଭାଷା
About,ବିଷୟରେ
Resources,ଉତ୍ସଗୁଡ଼ିକ
Vaccination Schedule,ଟୀକାକରଣ ସୂଚୀ
Dashboard,ଡ୍ୟାସବୋର୍ଡ
Helpdesk,ସହାୟତା ଡେସ୍କ
Beneficiary Redressal,ହିତାଧିକାରୀ ପ୍ରତିକାର
State Helpdesk,ରାଜ୍ୟ ସହାୟତା
FAQ,ପ୍ରାୟତଃ ପଚରାଯାଇଥିବା ପ୍ରଶ୍ନ
Poshan Calculator,ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର୍
Login,ଲଗଇନ
Anganwadi Workers,ଅଙ୍ଗନୱାଡି କର୍ମୀ
Download Mobile App from Play Store,ପ୍ଲେ ଷ୍ଟୋରରୁ ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ QR କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ
What’s New on Poshan Tracker,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ରେ କଣ ନୂଆ ଅଛି
Poshan Tracker adds new application features,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ଆପ୍ଲିକେସନ୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ ଯୋଡିଥାଏ
Poshan Tracker adds new Reports feature,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ରିପୋର୍ଟ୍ ବୈଶିଷ୍ଟ୍ୟ ଯୋଡିଥାଏ
Poshan Tracker adds new Resources on Website,ପୋଷଣ ଟ୍ରାକର୍ ୱେବସାଇଟ୍ ବୈଶିଷ୍ଟ୍ୟରେ ନୂତନ ଉତ୍ସ ଯୋଡିଥାଏ
Resources for growth monitoring and general awareness,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଏବଂ ସାଧାରଣ ସଚେତନତା ପାଇଁ ସମ୍ବଳ
Growth monitoring charts,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଚାର୍ଟଗୁଡିକ
New beneficiary addition with skip OTP option,ସ୍କିପ୍ OTP ବିକଳ୍ପ ସହିତ ନୂତନ ହିତାଧିକାରୀ ଯୋଗ
