en,ta
ABHA (Health ID),ABHA (சுகாதார ஐடி)
Language,மொழி
हिंदी,हिंदी
ગુજરાતી,ગુજરાતી
મરાઠી,મરાઠી
ಕನ್ನಡ,ಕನ್ನಡ
മലയാളം,മലയാളം
தமிழ்,தமிழ்
తెలుగు,తెలుగు
বাংলা,বাংলা
অসমীয়া,অসমীয়া
ਪੰਜਾਬੀ,ਪੰਜਾਬੀ
ଓଡ଼ିଆ,ଓଡ଼ିଆ
नेपाली,नेपाली
डोगरी,डोगरी
कोंकणी,कोंकणी
सिंधी,सिंधी
बोडो,बोडो
मैथिली,मैथिली
মণিপুরী,মণিপুরী
संथाली,संथाली
اردو,اردو
کٲشُر,کٲشُر
About,பற்றி
Resources,வளங்கள்
Vaccination Schedule,தடுப்பூசி அட்டவணை
Dashboard,டாஷ்போர்டு
Helpdesk,உதவி மேசை
Beneficiary Redressal,பயனாளிகளின் தீர்வு
State Helpdesk,மாநில உதவி மையம்
FAQ,அடிக்கடி கேட்கப்படும் கேள்விகள்
Poshan Calculator,போஷன் கால்குலேட்டர்
Login,உள்நுழைவு
Anganwadi Workers,அங்கன்வாடி பணியாளர்கள்
Download Mobile App from Play Store,Play Store இலிருந்து மொபைல் பயன்பாட்டைப் பதிவிறக்கவும்
Scan the QR Code to Download the App,பயன்பாட்டைப் பதிவிறக்க QR கோடை ஸ்கேன் செய்யவும்
What’s New on Poshan Tracker,போஷன் டிராக்கரில் புதிதாக என்ன இருக்கிறது
Poshan Tracker adds new application features,ரோஷன் டிராக்கர் புதிய பயன்பாடு அம்சங்களைச் சேர்க்கிறது
Poshan Tracker adds new Reports feature,ரோஷன் டிராக்கர் புதிய அறிக்கைகள் அம்சத்தைச் சேர்க்கிறது
Poshan Tracker adds new Resources on Website,ரோஷன் இணையதள அம்சத்தில் புதிய வளங்களைச் சேர்க்கிறது
Resources for growth monitoring and general awareness,வளர்ச்சியைக் கண்காணித்தல் மற்றும் பொதுவான புரிதலுக்கான வளங்கள்
Growth monitoring charts,வளர்ச்சி கண்காணிப்பு வரைபடங்கள்
New beneficiary addition with skip OTP option,ஓ டி பியைத் தவிர்க்கும் விருப்பத் தேர்வுடனான புதிய பயனாளர் சேர்ப்பு
Mobile number need to be validated within a week,கைபேசி எண் ஒரு வாரத்துக்குள் சரிபார்க்கப்பட வேண்டும்
Anganwadi Worker profile page,அங்கண்வாடி ஊழியர் சுயவிவரப் பக்கம்
