data,language
You need to enable JavaScript to run this app.,en
Poshan Helpline:,en
JanAndolan,en
ABHA (Health ID),en
Language,en
English,en
About,en
Resources,en
Vaccination Schedule,en
Dashboard,en
Mission Utkarsh,en
Helpdesk,en
Beneficiary Redressal,en
State Helpdesk,en
Poshan Calculator,en
 Previous,en
 Next,en
Anganwadi Workers,en
Download Mobile App from Play Store,en
Scan the QR Code to Download the App,en
What’s New on Poshan Tracker,en
Poshan Tracker adds new application features,en
Poshan Tracker adds new Reports feature,en
Poshan Tracker adds new Resources on Website,en
Resources for growth monitoring and general awareness,en
Growth monitoring charts,en
New beneficiary addition with skip OTP option,en
Mobile number need to be validated within a week,en
Anganwadi Worker profile page,en
Stunting and Underweight Growth Parameters,en
Beneficiaries status change notifications,en
Migrated from one category to another,en
Beneficiary record becoming inactive,en
Beneficiary migration from one AWC to another AWC,en
Beneficiary deletion by AWW,en
Default language selection,en
"Beneficiary concerns accessibility to AWW, along with status update once resolved",en
Growth monitoring report for all health indicators,en
Application downloaded status by AWW,en
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,en
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,en
How to use Poshan Calculator?,en
Select Gender,en
Enter Date of Birth,en
Enter Height in centimeter,en
Enter Weight in kilogram,en
Click on Show Results,en
Gender ,en
Boy,en
Girl,en
Date of Birth ,en
*Height should be between 38 to 150,en
Weight (KG) ,en
*Weight should be between 0.90 to 58,en
Show Results,en
ABHA (Health ID) and its Benefits,en
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,en
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,en
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.",en
Know More,en
Frequently Asked Questions,en
Take Home Ration,en
Hot Cooked Meal,en
What is Poshan Abhiyaan?,en
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",en
What is the purpose of Launching Poshan Tracker?,en
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children.",en
"The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",en
How can one Download Poshan Tracker App?,en
Poshan Tracker App is available over Google playstore ,en
https://play. google. com/store/apps/details?,en
 id=com. poshantracker,en
Is poshan trackers app available over Apple I Store also?,en
"No, Poshan Tracker is available only for Android version",en
What is the minimum requirement to install Poshan Tracker App in mobile?,en
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,en
View All FAQs,en
Can a beneficiary register directly using application.,en
Currently a beneficiary can register by the help of an AWW,en
