data,language
પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?,gu
ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.,gu
"તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે.",gu
"બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે.",gu
પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?,gu
"પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે.",gu
"સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.",gu
પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?,gu
શું પોષણ ટ્રેક્સ એપ્લિકેશન એપલ આઇ સ્ટોર ઉપર પણ ઉપલબ્ધ છે?,gu
"ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે.",gu
મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?,gu
પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.,gu
AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.,gu
લાભાર્થીની લાયકાત શું છે?,gu
એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.,gu
ટેક હોમ રાશન માટે કોણ યોગ્ય છે?,gu
"સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ.",gu
હોમ રાશન લેવા વિશે હું ક્યાં પૂછપરછ કરી શકું?,gu
કૃપા કરીને તમારા સંબંધિત આંગણવાડી કાર્યકરનો સંપર્ક કરો.,gu
વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે.,gu
જે બાળકો પોષણની ઉણપ તરીકે ઓળખાય છે તેઓ વધારાના આહાર પૂરવણીઓ માટે પાત્ર છે.,gu
એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે HCM માટે પાત્ર છે.,gu
ગરમ રાંધેલા ભોજન માટે કોણ પાત્ર છે?,gu
કૃપા કરીને તમારા સંબંધિત આંગણવાડી કેન્દ્રનો સંપર્ક કરો.,gu
વધારાના પૂરક ખોરાક માટે કોણ પાત્ર છે?,gu
"પોશાન ટ્રેકર હેઠળની ટેક્નોલોજીનો ઉપયોગ બાળકોમાં સ્ટંટિંગ, વેડિંગ, ઓછા વજનની ગતિશીલ ઓળખ અને પોશાન સેવા વિતરણના છેલ્લા માઇલ ટ્રેકિંગ માટે કરવામાં આવે છે.",gu
પોશન ટ્રેકર એ આંગણવાડી કાર્યકરને તેમના પ્રયત્નોના પ્રતિબિંબ સાથે સેવાઓની કાર્યક્ષમ વિતરણ માટે નોકરી-સહાય છે.,gu
પોશાન અભિયાન હેઠળ તે એક મહત્વપૂર્ણ અને લાભાર્થી-કેન્દ્રિત સેવા વિતરણ એપ્લિકેશન છે જે વિશ્લેષણ સાથે વાસ્તવિક સમયના ડેટાને પ્રોત્સાહન આપશે.,gu
તે કેન્દ્રિય ડેટા આર્કિટેક્ચરનો ઉપયોગ કરીને બનાવવામાં આવ્યું છે જે અન્ય મંત્રાલયો અને પ્રોગ્રામ્સની ડિજિટલ ટેક્નોલોજી સિસ્ટમ્સ સાથે પણ ગોઠવે છે.,gu
"ઉદ્દેશ્ય આંગણવાડી કેન્દ્ર (AWC) ની પ્રવૃત્તિઓ, આંગણવાડી કાર્યકરો (AWWs) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી વ્યવસ્થાપનનો 360-ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે.",gu
સાર્વજનિક ડેશબોર્ડ લાભાર્થીઓને આપવામાં આવતી સેવાઓમાં પારદર્શિતા લાવવામાં મદદ કરે છે.,gu
"ટેક હોમ રાશન (THR) અને હોટ કૂક મીલ(HCM), શિશુઓ અને સગર્ભા સ્ત્રીઓ માટે રસીકરણ જેવી સેવાઓ.",gu
"સ્વાસ્થ્ય સૂચકાંકો જેમ કે સ્ટંટિંગ, વેસ્ટિંગ અને ઓછા વજનનો વ્યાપ WHO ના ધોરણો મુજબ માપવામાં આવે છે.",gu
નિયમિત વૃદ્ધિની દેખરેખ AWW ને બાળકોને સંબંધિત અને સમયસર સહાય પૂરી પાડવામાં મદદ કરે છે.,gu
તે લાભાર્થીઓ અને ફરજ ધારકોની વાસ્તવિક સમયની હાજરીનું દસ્તાવેજીકરણ કરીને ડિલિવરી સિસ્ટમનું કાર્યક્ષમ ઓડિટ પણ સુનિશ્ચિત કરે છે.,gu
"આ વ્યવસ્થાપન માહિતી પ્રણાલી પોષણ કાર્યક્રમને કાર્યક્ષમ રીતે માપવામાં મદદ કરશે, જેનાથી હકારાત્મક અસર પેદા થશે અને તેનું દસ્તાવેજીકરણ થશે.",gu
શું આ એપ્લિકેશનને ઇન્ટરનેટ વિના ચલાવી શકાય છે?,gu
"ના, એપ્લિકેશન માન્ય ઇન્ટરનેટ કનેક્શન વિના કાર્ય કરશે નહીં.",gu
પોષણ ટ્રેકર એપ્લિકેશનના લક્ષ્ય વપરાશકર્તા આધાર કોણ છે?,gu
"ફોર્મમાં લાભાર્થીઓનો ડેટા દાખલ કરવા માટે પોષણ ટ્રેકર એપ્લિકેશન, આંગણવાડી કાર્યકરો, આંગણવાડી કેન્દ્રો માટે છે.",gu
તે સામાન્ય લોકો માટે બિલકુલ વિકસિત નથી.,gu
પોષણ ટ્રેકર એપ્લિકેશનમાં પ્રવેશ કરો કેવી રીતે કરવું?,gu
આંગણ વાડી કાર્યકરોને લૉગિન સ્ક્રીન પર તેમનો મોબાઇલ નંબર દાખલ કરવા માટે વિનંતી કરવામાં આવે છે.,gu
"તમારા નોંધાવેલ મોબાઇલ નંબર પર એક ઓટીપી મોકલવામાં આવશે, ત્યાર પછી કે તમને એમપિન સેટ કરવું પડશે.",gu
એમપિન એટલે શું?,gu
"એમપિન એ 4 અંકનો પાસકોડ છે, જે પોષણ ટ્રેકર એપ પર નોંધણી કરતી વખતે આંગણવાડી કાર્યકર દ્વારા સેટ કરવામાં આવે છે.",gu
એમપિન કેવી રીતે સેટ કરવું?,gu
"સંબંધિત આંગણવાડી કાર્યકરના મોબાઇલ નંબર પર ઓટીપીની વિનંતી કરીને, તેમના દ્વારા એમપિન સેટ કરી શકાય છે.",gu
"જો મોબાઇલ નંબર ડેટાબેસમાં પહેલેથી હાજર હશે, તો સંબંધિત આંગણવાડી વ્યક્તિ નોંધાયેલા મોબાઇલ નંબર પર 4 અંકનો ઓટીપી મેળવશે.",gu
"ઓટીપી દાખલ કર્યા પછી, આંગણવાડી કાર્યકર સરળતાથી કસ્ટમાઇઝ્ડ એમપિન સેટ કરી શકે છે.",gu
એમપિનનો ઉપયોગ ક્યારે અને કેવી રીતે કરવો?,gu
"પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે.",gu
આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.,gu
એમપિન કેવી રીતે ફરીથી સેટ કરવું?,gu
એમપિનને કોઈપણ વપરાશકર્તા જેમ કે આંગણવાડી કાર્યકર/ આંગણવાડી કેન્દ્રો દ્વારા સરળતાથી ફરીથી સેટ કરી શકાય છે.,gu
તમારે ફરગોટ એમપિન પર ક્લિક કરવાની જરૂર છે અને તમારો નોંધાયેલ મોબાઇલ નંબર દાખલ કરવો પડશે.,gu
તમે તમારા નોંધાયેલા મોબાઈલ નંબર પર ઓટીપી પ્રાપ્ત થશે અને તમે તમારો એમપિન સરળતાથી ફરીથી સેટ કરી શકો છો.,gu
પોષણ ટ્રેકર એપ્લિકેશન કેટલી ભાષાઓમાં ઉપલબ્ધ છે?,gu
પોષણ ટ્રેકર એપ્લિકેશન 22 વિવિધ ભાષાઓમાં ઉપલબ્ધ છે.,gu
આંગણવાડી કાર્યકર ફક્ત અંગ્રેજી ભાષામાં જ ફોર્મ ભરી શકે છે.,gu
પોષણ ટ્રેકર એપ્લિકેશનમાં કેટલા વિવિધ ફોર્મ આપેલા છે?,gu
લાભાર્થીઓ માટે 7 વિવિધ પ્રકારનાં ફોર્મ છે.,gu
"આંગણવાડી કાર્યકરોને, એક ચોક્કસ આંગણવાડી કેન્દ્રમાં હાજર માળખા સાથે સંબંધિત વિગતો દાખલ કરવી જરૂરી છે.",gu
"આમાં માળખું, પાયાની સુવિધાઓ, સગવડો, સ્વચ્છતા, પીવાનું પાણી વગેરે શામેલ છે.",gu
જો આંગણવાડી કાર્યકરો તેમના મોબાઇલ નંબર દ્વારા નોંધણી કરવામાં અસમર્થ હોય તો એપ્લિકેશન પર કેવી રીતે સાઇન અપ કરી શકે છે?,gu
તેઓ સિસ્ટમમાં નવા ઉમેરાયા છે અને તેમનો મોબાઈલ નંબર રાજ્ય સેલ દ્વારા એમઓડબ્લ્યુસીડીને હજી પ્રદાન કરવામાં આવ્યો નથી.,gu
ઉપરોક્ત બંને કેસોમાં રાજ્ય નોડલ અધિકારીઓને કોઈપણ આંગણવાડી કાર્યકરને ઉમેરવા / સંપાદન / સક્રિય / નિષ્ક્રિય કરવા માટે સત્તા આપવામાં આવી છે.,gu
પોષણ ટ્રેકર ડેશબોર્ડને કેવી રીતે ચલાવી શકાય છે?,gu
"રાષ્ટ્રીય, રાજ્ય, જિલ્લા, પરિકલ્પના અને ડેશબોર્ડને ચલાવવા માટે સેક્ટર કક્ષાના નોડલ કક્ષાના નામાંકિત અધિકારીઓને જ અનન્ય પ્રમાણપત્ર આપવામાં આવે છે.",gu
આંગણવાડી કાર્યકરોને/આંગણવાડી કેન્દ્રોને કેવી રીતે ઉમેરી શકાય છે?,gu
આંગણવાડી કાર્યકરો/આંગણવાડી કેન્દ્રોને ફક્ત નોડલ કક્ષાના અધિકારી દ્વારા ઉમેરી શકાય છે.,gu
વંશવેલોમાં ઉપરના ભાગમાં જણાવેલ કોઈપણ અધિકારી.,gu
"રાષ્ટ્રીય કક્ષાનો વપરાશકર્તા રાજ્ય, જિલ્લા, પરિયોજના અને ખંડ કક્ષાના વપરાશકર્તા બનાવી શકે છે.",gu
"રાજ્ય કક્ષાનો વપરાશકર્તા જિલ્લા, પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.",gu
જિલ્લા કક્ષાનો વપરાશકર્તા પરિયોજના અને ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.,gu
"પરિયોજના કક્ષાનો વપરાશકર્તા, ખંડ કક્ષાનો વપરાશકર્તા બનાવી શકે છે.",gu
પોષણ ટ્રેકર ડેશબોર્ડ પર કેટલા વિવિધ પ્રકારનાં અહેવાલો ઉત્પન્ન થઈ શકે છે?,gu
ડિલિવરી પછીના વિશેષ કરીને પ્રથમ કલાકમાં કેટલા બાળકોને સ્તનપાન મળ્યું?,gu
કેટલી સ્તનપાન કરાવતી માતાને એચસીએમ આપવામાં આવે છે?,gu
હેન્ડહોલ્ડિંગ અને સહકાર માટે અમે દરરોજ બપોરે 4:15 થી સાંજના 5:15 વાગ્યા સુધી કોન્ફરન્સ દ્વારા પણ ઉપલબ્ધ છીએ.,gu
શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.,gu
"MGRS એ વ્યાપકપણે વિવિધ વંશીય પૃષ્ઠભૂમિ અને સાંસ્કૃતિક સેટિંગ્સ (બ્રાઝિલ, ઘાના, ભારત, નોર્વે, ઓમાન અને યુએસએ) ના આશરે 8500 બાળકો પાસેથી પ્રાથમિક વૃદ્ધિ ડેટા અને સંબંધિત માહિતી એકત્રિત કરી.",gu
નવા વૃદ્ધિ વળાંકો એક આંતરરાષ્ટ્રીય ધોરણ પ્રદાન કરે તેવી અપેક્ષા છે જે જન્મથી પાંચ વર્ષ સુધીના તમામ બાળકો માટે શારીરિક વૃદ્ધિનું શ્રેષ્ઠ વર્ણન રજૂ કરે છે અને સ્તનપાન કરાવતા શિશુને વૃદ્ધિ અને વિકાસ માટે આદર્શ મોડેલ તરીકે સ્થાપિત કરે છે.,gu
તમારા સ્વાસ્થ્યને કેવી રીતે પુનર્જીવિત કરવું?,gu
"સાઇટની મુલાકાત લઈને અથવા તેનો ઉપયોગ કરીને, તમે સ્પષ્ટપણે આ શરતો સાથે સંમત થાઓ છો, જેમ કે સમય સમય પર અપડેટ કરવામાં આવે છે.",gu
"જો તમે આ શરતોના કોઈપણ ભાગ સાથે સંમત નથી, તો સાઇટનો ઉપયોગ કરશો નહીં.",gu
કોઈપણ ફેરફારો અથવા અપડેટ તરત જ અસરકારક રહેશે.,gu
તમે ફેરફારો માટે સમયાંતરે આ ઉપયોગની શરતો તપાસવાની જવાબદારી લો છો.,gu
"જો તમે સાઇટ દ્વારા ઓફર કરવામાં આવતી અમુક સુવિધાઓ અથવા સેવાઓનો ઉપયોગ કરવાનો ઇરાદો ધરાવો છો, તો તમારે તમારા મોબાઇલ નંબર સાથે એકાઉન્ટ માટે નોંધણી કરાવવાની જરૂર પડશે.",gu
"આ શરતોની સ્વીકૃતિ દ્વારા, તમે સ્પષ્ટપણે અમને તમારી ઓળખ માહિતી (આધાર વિગતો સહિત) અને તમારા ખાતામાં નોંધાયેલા અન્ય તમામ સભ્યોનો ઉપયોગ કરવા માટે અધિકૃત કરવા માટે સંમત થાઓ છો.",gu
તમારી અંગત માહિતી અને નોંધણીની પ્રાઇવસી જાળવવા અને આ માહિતીને સુરક્ષિત રાખવામાં તમે નિષ્ફળ જવાથી પરિણમી શકે તેવી તમામ પ્રવૃત્તિઓ માટે તમે સંપૂર્ણપણે જવાબદાર છો.,gu
તમારા એકાઉન્ટ અથવા મોબાઇલ નંબરમાં તે વ્યક્તિનો ઢોંગ કરવાના ઉદ્દેશ્ય સાથે અન્ય વ્યક્તિનું નામ શામેલ હોવું જોઈએ નહીં.,gu
તમે અન્ય વપરાશકર્તાના એકાઉન્ટનો તેમની પરવાનગી વિના ઉપયોગ કરશો નહીં.,gu
જો તમને તમારા એકાઉન્ટનો કોઈપણ અનધિકૃત ઉપયોગ અથવા અન્ય એકાઉન્ટ-સંબંધિત સુરક્ષા ભંગ જણાય તો તમે અમને તરત જ લેખિતમાં જાણ કરશો.,gu
"જો અમને ફરિયાદ મળે છે કે તમારું એકાઉન્ટ કોઈ બીજાના અધિકારોનું ઉલ્લંઘન કરે છે, અથવા અમારી નીતિઓનું ઉલ્લંઘન કરે છે, તો અમે તમારું એકાઉન્ટ રદ અથવા અવરોધિત કરી શકીએ છીએ.",gu
"સાઇટ પર પ્રદર્શિત કોઈપણ કેપ્ચાના સંદર્ભમાં સહિત સામગ્રી અથવા સાઇટની રચના, અથવા પ્રસ્તુતિ.",gu
અમે કોઈપણ સમયે સાઇટની સામગ્રી અને સુવિધાઓ બદલી શકીએ છીએ.,gu
"સાઈટ પર પ્રદર્શિત થયેલ રજિસ્ટર્ડ અને અનરજિસ્ટર્ડ ટ્રેડમાર્ક્સ, લોગો અને સર્વિસ માર્કસ અમારી અથવા અમારા લાઇસન્સર્સની માલિકીના છે.",gu
"તમે અમારી પૂર્વ લેખિત પરવાનગી વિના કોઈપણ રીતે અમારા ટ્રેડમાર્ક, લોગો અને સર્વિસ માર્કસનો ઉપયોગ કરી શકશો નહીં.",gu
આ વેબસાઈટ પર દર્શાવવામાં આવેલી સામગ્રીને મફતમાં પુનઃઉત્પાદિત કરી શકાય છે.,gu
"જો કે, સાઇટના કોઈપણ ભાગ અને કોઈપણ સામગ્રીની નકલ, પુનઃપ્રકાશિત, પુનઃઉત્પાદન, અપલોડ, પોસ્ટ, સાર્વજનિક રૂપે પ્રદર્શિત, એન્કોડેડ, અનુવાદ, પ્રસારિત અથવા કોઈપણ રીતે કોઈપણ અન્ય કમ્પ્યુટર, સર્વર, વેબ સાઇટ અથવા પ્રકાશન માટેના અન્ય માધ્યમ પર વિતરિત કરી શકાશે નહીં.",gu
અપમાનજનક રીતે અથવા ભ્રામક સંદર્ભમાં.,gu
"તમે સાઇટ પર ઉપલબ્ધ માહિતીનો ઉપયોગ કરી શકો છો, જો તમે (1) આવી માહિતીનો ઉપયોગ ફક્ત તમારા વ્યક્તિગત, બિન-વ્યાવસાયિક માહિતીના હેતુ માટે કરશો અને આવી માહિતીને કોઈપણ નેટવર્ક કમ્પ્યુટર પર કૉપિ અથવા પોસ્ટ કરશો નહીં અથવા કોઈપણ મીડિયામાં પ્રસારિત કરશો નહીં, (2) આવી કોઈપણ માહિતી અને આવા દસ્તાવેજો અને સામગ્રીને લગતી કોઈપણ વધારાની રજૂઆતો અથવા વોરંટીઓમાં કોઈ ફેરફાર કરશો નહીં.",gu
"જ્યાં પણ સામગ્રી પ્રકાશિત કરવામાં આવી રહી છે અથવા અન્યને જારી કરવામાં આવી રહી છે, ત્યાં સ્ત્રોતને સ્પષ્ટપણે સ્વીકારવું આવશ્યક છે.",gu
"જ્યારે અનુવાદો શ્રેષ્ઠ પ્રયાસના આધારે કરવામાં આવે છે, ત્યારે કેટલાક ભાગો ખોટા હોઈ શકે છે.",gu
વેબસાઇટ પરની અમુક ફાઇલો અને અન્ય વસ્તુઓનું ભાષાંતર કરી શકાતું નથી.,gu
"વધુમાં, ભાષાંતર પર, કેટલીક એપ્લિકેશનો અને/અથવા સેવાઓ ભાષા અવરોધોને લીધે, અપેક્ષા મુજબ કાર્ય કરી શકશે નહીં.",gu
"હકીકત એ છે કે આ વેબસાઇટ્સ લિંક છે, અમારા તરફથી આ વેબસાઇટ્સનું કોઈ સમર્થન સૂચવતું નથી, કારણ કે આ વેબસાઇટ્સ પર અમારું કોઈ નિયંત્રણ છે.",gu
અમે કોઈપણ સામગ્રી અથવા આ વેબસાઇટ્સની પ્રાઇવસી પ્રથાઓ સહિત આ વેબસાઇટ્સ માટે જવાબદાર નથી.,gu
અમે તમને આ વેબસાઇટ્સના ઉપયોગની શરતોથી પોતાને પરિચિત કરવા માટે ભારપૂર્વક પ્રોત્સાહિત કરીએ છીએ.,gu
આ વેબસાઇટ્સનો તમારો ઉપયોગ તમારા પોતાના જોખમ અને જોખમ પર છે.,gu
"તમે જે લિંક્સ પસંદ કરો છો અથવા તમે ડાઉનલોડ કરી શકો છો તે કોઈપણ સોફ્ટવેર વાયરસ, વોર્મ્સ, ટ્રોજન હોર્સ, ખામીઓ, ડેટ બોમ્બ, ટાઇમ બોમ્બ અને અન્ય અથવા અન્ય કમ્પ્યુટર પ્રોગ્રામિંગ દિનચર્યાઓથી મુક્ત છે તેની ખાતરી કરવા માટે તે ફક્ત તમારા પર નિર્ભર છે.",gu
અમે એવું પ્રતિનિધિત્વ કરતા નથી કે સાઇટ પર અથવા તેના દ્વારા ઉપલબ્ધ સામગ્રી યોગ્ય છે અથવા અન્ય સ્થળોએ ઉપલબ્ધ છે.,gu
અમે કોઈપણ સમયે કોઈપણ વ્યક્તિ અથવા ભૌગોલિક વિસ્તાર માટે સાઇટ અથવા સાઇટ પર વર્ણવેલ કોઈપણ સેવા અથવા ઉત્પાદનની ઉપલબ્ધતાને મર્યાદિત કરી શકીએ છીએ.,gu
અમે કાયદાના અમલીકરણને તમારી કોઈપણ તપાસ અથવા કાર્યવાહીમાં મદદ કરવા માટે તમારા વ્યવહારોથી સંબંધિત તમે અમને પ્રદાન કરેલી માહિતી પ્રદાન કરી શકીએ છીએ.,gu
અમને યોગ્ય લાગે તે અમે કાનૂની પગલાં લઈ શકીએ છીએ.,gu
"પોશન ટ્રેકર પોર્ટલ અથવા એપ ભારત સરકારના મહિલા અને બાળ વિકાસ મંત્રાલય દ્વારા સંચાલિત થાય છે, જેને પછીથી ""MWCD"", ""અમારા"", ""અમે"", ""અમે"" તરીકે ઓળખવામાં આવે છે જેમાં અન્ય વિભાગો અને વિભાગોનો સંદર્ભ શામેલ હશે કાર્યક્રમ/ ઝુંબેશ.",gu
"આ પોલિસીમાં પોશન ટ્રેકર પોર્ટલ અથવા એપના સંદર્ભોમાં પોશન ટ્રેકર અથવા અન્ય કોઈપણ એપ્સ અથવા પોર્ટલનો સમાવેશ થાય છે કે જે APIs/સંબંધિત સાઇટ્સ, એપ્સ, કોમ્યુનિકેશન્સ અને સેવાઓ (""સેવાઓ"") દ્વારા પોશાન ટ્રેકર સાથે સંકલિત કરવામાં આવે છે, જે પછીથી સામૂહિક રીતે ""પોશન ટ્રેકર અથવા સિસ્ટમ"" તરીકે ઓળખવામાં આવે છે.",gu
"આ પ્રાઇવસી પોલિસી અમે કઈ માહિતી એકત્રિત કરીએ છીએ, અમે તેને શા માટે એકત્રિત કરીએ છીએ અને તેનો ઉપયોગ અને શેર કેવી રીતે કરવામાં આવે છે તે સમજવામાં તમને મદદ કરવા માટે છે.",gu
તમારી માહિતીના સંદર્ભમાં એકત્ર કરતી અને જાળવી રાખતી એજન્સી MWCD છે.,gu
અમે તમારી અંગત માહિતીની સુરક્ષા અને તમારી પ્રાઇવસીની સુરક્ષા માટે પ્રતિબદ્ધ છીએ.,gu
"સિસ્ટમ પર કોઈપણ માહિતી અથવા ડેટા એકત્રિત અને પ્રક્રિયા કરવામાં આવે છે તે માહિતી ટેકનોલોજી અધિનિયમ, 2000 ની જોગવાઈઓ અનુસાર તેના નિયમો અને વ્યક્તિગત ડેટાના સંગ્રહ અને પ્રક્રિયાને લગતા અન્ય રાષ્ટ્રીય અને રાજ્ય કાયદાઓ અનુસાર કરવામાં આવે છે.",gu
સિસ્ટમની તમારી ઍક્સેસ અને ઉપયોગ આ પ્રાઇવસી પોલિસી અને સેવાની શરતોની તમારી સ્વીકૃતિ પર શરતી છે.,gu
"સિસ્ટમને ઍક્સેસ કરીને અને/અથવા તેનો ઉપયોગ કરીને, તમે પ્રતિનિધિત્વ કરો છો કે તમે સેવાની શરતો અને આ પ્રાઇવસી પોલિસી વાંચી, સમજ્યા અને તેના દ્વારા બંધાયેલા છો, અને તમે તમારી માહિતી અને ડેટાને એકત્રિત, સંગ્રહિત અને નિર્ધારિત રીતે ઉપયોગમાં લેવા માટે સંમતિ આપો છો.",gu
આ પ્રાઇવસી પોલિસીમાં.,gu
તમે આથી સ્વીકારો છો કે આ પ્રાઇવસી પોલિસી ના ક્લોઝ 1 માં વર્ણવ્યા મુજબ તમારી માહિતીનો સંગ્રહ આ પ્રાઇવસી પોલિસી ના ક્લોઝ 2 અને 3 માં ઉલ્લેખિત હેતુઓને પૂર્ણ કરવા માટે જરૂરી છે.,gu
"જ્યારે તમે અમારી સેવાઓનો ઉપયોગ કરો છો ત્યારે અમે સામગ્રી અને અન્ય માહિતી એકત્રિત કરીએ છીએ, જેમાં તમે એકાઉન્ટ માટે સાઇન અપ કરો ત્યારે પણ સમાવેશ થાય છે.",gu
"જો કે, તમે વ્યક્તિગત ડેટા શેર ન કરવાનું પસંદ કરી શકો છો જ્યાં ડેટા આપવો વૈકલ્પિક હોય.",gu
1.2. સેવાઓના ઉપયોગની માહિતી.,gu
