data,language
ಪೋಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಅನ್ನು ಹೇಗೆ ಬಳಸುವುದು?,kn
 ಮೀ. ತೂಕ (ಕೆ.,kn
 ಬಿ. ಹೆಚ್. ಎ ( ಮುಂಚಿನ ಹೆಸರು ಆರೋಗ್ಯ ಗುರುತಿನ ಚೀಟಿ ) ಪೂರ್ಣ ಹೆಸರು ಆಯುಷ್ಮಾನ್ ಭಾರತ್ ಹೆಲ್ತ್ ಅಕೌಂಟ್ ಆಗಿದೆ.,kn
 ಎ. ಬಿ. ಹೆಚ್. ಎ ಬಳಸುವುದು ( ಆರೋಗ್ಯ ಗುರುತಿನ ಚೀಟಿ) ನಿಮ್ಮ ಮತ್ತು ನಿಮ್ಮ ಕುಟುಂಬಕ್ಕಾಗಿ ಸುರಕ್ಷಿತ ಮತ್ತು ಸಮರ್ಥ ಡಿಜಿಟಲ್ ದಾಖಲೆಗಳನ್ನು ನಿರ್ಮಿಸುವುದರಲ್ಲಿ ಮೊದಲನೇ ಹೆಜ್ಜೆಯಾಗಿದೆ.,kn
"ಇದು ಭಾಗವಹಿಸುವ ಆರೋಗ್ಯ ಪೂರೈಕೆದಾರರೊಂದಿಗೆ ನಿಮ್ಮ ಸಂವಾದವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸುತ್ತದೆ ಮತ್ತು ಅಧಿಕೃತ ಆರೋಗ್ಯ ವೃತ್ತಿಪರರು ಮತ್ತು ಆರೋಗ್ಯ ಪೂರೈಕೆದಾರರಿಂದ ನಿಮ್ಮ ಡಿಜಿಟಲ್ ಲ್ಯಾಬ್ ವರದಿಗಳು, ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್‌ಗಳು ಮತ್ತು ರೋಗನಿರ್ಣಯಗಳನ್ನು ಪಡೆಯಲು ನಿಮಗೆ ಅನುಮತಿಸುತ್ತದೆ.",kn
"ಪೋಷಣ್ ಅಭ್ಯಾನ್ ಭಾರತದಲ್ಲಿ, ಮಕ್ಕಳ, ಹದಿಹರೆಯದವರ, ಗರ್ಭ್ಹಿಣಿಯರ ಹಾಗೂ ಹಾಲುಣಿಸುವ ತಾಯಂದಿರ ಪೋಷಣೆಯ ಫಲಿತಾಂಶವನ್ನು ಸುಧಾರಿಸಲು, ತಾಂತ್ರಿಕವಾಗಿ, ಒಂದು ಉದ್ದೇಶಿತ ವಿಧಾನ ಹಾಗೂ ಒಮ್ಮುಖದಿಂದ ಪ್ರಾರಂಭಿಸಿದ ಒಂದು ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮ.",kn
ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಪ್ರಾರಂಭಿಸಿದ ಉದ್ದೇಶವೇನು?,kn
"ಪೊಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಪ್ಲಿಕೇಷನ್ ನ ಉದ್ದೇಶವು ಅಂಗನವಾಡಿ ಕೇಂದ್ರಗಳ ಚಟುವಟಿಕೆಗಳು, ಅಂಗನವಾಡಿ ಕಾರ್ಯಕರ್ತರ ಸೇವಾ ವಿತರಣೆ ಹಾಗೂ ಗರ್ಭ್ಹಿಣಿಯರು, ಹಾಲುಣಿಸುವ ತಾಯಂದಿರು ಮತ್ತು ಮಕ್ಕಳ ಸಂಪೂರ್ಣ ಫಲಾನುಭವಿ ಉಸ್ತುವಾರಿಯ ೩೬೦-ಡಿಗ್ರೀ ವೀಕ್ಷಣೆ ದೊರಕಿಸುವುದಾಗಿದೆ.",kn
"ಈ ಪ್ರಸ್ತಾಪಿಸಿದ ವ್ಯವಸ್ತೆಯು ಎಲ್ಲಾ ಎ. ಡಬ್ಲ್ಯು. ಸಿ, ಎಡಬ್ಲ್ಯುಡಬ್ಲ್ಯು ಗಳು ಹಾಗೂ ಫಲಾನುಭವಿಗಳ, ವ್ಯಾಖ್ಯಾನಿಸಿದ ಸೂಚಕಗಳಲ್ಲಿ ನೈಜ ಸಮಯ ಉಸ್ತುವಾರಿ ಮತ್ತು ಜಾಡೀಕರಣವನ್ನು ಸಕ್ರೀಯಗೊಳಿಸಬೇಕು.",kn
ಪೋಷಣ್ ತ್ರ್ಯಾಕರ್ ಆಪ್ಪನ್ನು ಹೇಗೆ ಡೌನ್ಲೋಡ್ ಮಾಡಬಹುದು?,kn
