data,language
आभा (स्वास्थ्य आईडी),mai
भाषा,mai
डोगरी,mai
बोडो,mai
मैथिली,mai
लगभग,mai
साधन,mai
टीकाकरण अनुसूची,mai
डैशबोर्ड,mai
हेल्पडेस्क,mai
लाभार्थी निवारण,mai
सदिखन पूछल जाय बला प्रश्न,mai
पोषण कैलकुलेटर,mai
आंगनवाड़ी कार्यकर्ता,mai
प्ले स्टोरसँ मोबाइल ऐप डाउनलोड करू,mai
ऐप डाउनलोड करबाक लेल क्यूआर कोडकेँ स्कैन करू,mai
पोषण ट्रैकर नव एप्लीकेशन विशेषता सभ जोड़ैत अछि,mai
पोषण ट्रैकर नव रिपोर्ट सभक विशेषता जोड़ैत अछि,mai
पोषण ट्रैकर वेबसाइट विशेषता पर नव संसाधन सभ जोड़ैत अछि,mai
विकास निगरानी आ सामान्य जागरूकता लेल संसाधन सभ,mai
विकास निगरानी चार्ट सभ,mai
OTP मुक्त विकल्प सँ नव लाभार्थी जोड़,mai
मोबाइल नंबर केँ एक सप्ताहक अंदर सत्यापित करबाक जरूरत अछि,mai
आँगनबाड़ी कार्यकर्ता प्रोफाइल पेज,mai
स्टंटिंग आ कम वजन वृद्धि केर मापदंड,mai
लाभार्थी सभक स्थिति परिवर्तन अधिसूचना,mai
लाभार्थीक रिकॉर्ड जे निष्क्रिय भए रहल अछि,mai
एक AWC सँ दोसर AWC मे लाभार्थीक प्रवास,mai
AWW द्वारा लाभार्थीक विलोपन,mai
डिफॉल्ट भाषा चयन,mai
"AWW मे लाभार्थीक मामलाक पहुँच, एक बेर समाधान कयल स्थिति अपडेटक संग",mai
सभटा स्वास्थ्य संकेतक लेल विकास निगरानी रिपोर्ट,mai
AWW द्वारा एप्लीकेशन डाउनलोड करबाक स्थिति,mai
पोषण कैलकुलेटरकेँ विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) माध्यमसँ परिभाषित मानक केर आधार पर बच्चाक विकासकेँ नापबाक लेल डिज़ाइन केल गएल अछि.,mai
