data,language
പോഷൻ കാൽക്കുലേറ്റർ എങ്ങനെ ഉപയോഗിക്കാം?,ml
നിങ്ങൾക്കും നിങ്ങളുടെ കുടുംബത്തിനും സുരക്ഷിതവും കാര്യക്ഷമവുമായ ഡിജിറ്റൽ ഹെൽത്ത് റെക്കോർഡുകൾ സൃഷ്‌ടിക്കുന്നതിനുള്ള ആദ്യപടിയാണ് ABHA (ഹെൽത്ത് ഐഡി) ഉപയോഗിക്കുന്നത്.,ml
"പങ്കെടുക്കുന്ന ഹെൽത്ത് കെയർ പ്രൊവൈഡർമാരുമായുള്ള നിങ്ങളുടെ ആശയവിനിമയം ഇത് പ്രാപ്തമാക്കുന്നു, കൂടാതെ നിങ്ങളുടെ ഡിജിറ്റൽ ലാബ് റിപ്പോർട്ടുകൾ, കുറിപ്പടികൾ, രോഗനിർണയം എന്നിവ പരിശോധിച്ചുറപ്പിച്ച ഹെൽത്ത് കെയർ പ്രൊഫഷണലുകളിൽ നിന്നും ആരോഗ്യ സേവന ദാതാക്കളിൽ നിന്നും പരിധികളില്ലാതെ സ്വീകരിക്കാനും നിങ്ങളെ അനുവദിക്കുന്നു.",ml
കുട്ടികൾ‌ക്കും ക o മാരക്കാർ‌ക്കും മുൻ‌ഗണനകൾ‌ക്കുമുള്ള പോഷക ഫലങ്ങൾ‌ മെച്ചപ്പെടുത്തുന്നതിനുള്ള ഇന്ത്യയുടെ മുൻ‌നിര പദ്ധതിയാണ് പോഷൻ‌ അഭിയാൻ.,ml
"അംഗൻവാടി സെന്ററിന്റെ (എഡബ്ല്യുസി) പ്രവർത്തനങ്ങൾ, അംഗൻവാടി വർക്കേഴ്സിന്റെ (എഡബ്ല്യുഡബ്ല്യു) സേവന ഡെലിവറികൾ, ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, കുട്ടികൾ എന്നിവരുടെ സമ്പൂർണ്ണ ഗുണഭോക്തൃ മാനേജുമെന്റ് എന്നിവയെക്കുറിച്ച് 360 ഡിഗ്രി കാഴ്ച നൽകുക എന്നതാണ് പോഷാൻ ട്രാക്കർ ആപ്ലിക്കേഷന്റെ ലക്ഷ്യം.",ml
"നിർ‌ദ്ദിഷ്‌ട സൂചകങ്ങളിൽ‌ എല്ലാ എ‌ഡബ്ല്യുസി, എ‌ഡബ്ല്യുഡബ്ല്യു, ഗുണഭോക്താക്കൾ എന്നിവരുടെ തത്സമയ നിരീക്ഷണവും ട്രാക്കുചെയ്യലും നിർദ്ദിഷ്ട സംവിധാനം പ്രാപ്തമാക്കണം.",ml
ഒരാൾക്ക് എങ്ങനെ പോഷാൻ ട്രാക്കർ എ. പി. പി ഡൗൺലോഡുചെയ്യാനാകും?,ml
"ഇല്ല, പോഷൻ ട്രാക്കർ പതിപ്പിന് മാത്രം ലഭ്യമാണ്.",ml
മൊബൈലിൽ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യുന്നതിനുള്ള ഏറ്റവും കുറഞ്ഞ ആവശ്യകത എന്താണ്?,ml
ആൻഡ്രോയിഡ് പതിപ്പ് 6.0 ഉം അതിന് മുകളിലുള്ളതുമായ ആൻഡ്രോയിഡ് ഫോണിൽ മാത്രമേ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയൂ.,ml
