data,language
पोषण कॅल्क्युलेटर कसे वापरावे?,mr
एबीएचए (आरोग्य आयडी) याचा वापर हे तुमच्यासाठी आणि तुमच्या कुटुंबासाठी सुरक्षित आणि कार्यक्षम डिजिटल आरोग्य नोंदी तयार करण्याच्या दिशेने पहिले पाऊल आहे.,mr
"हे सहभागी आरोग्य सेवा प्रदात्यांशी तुमचं एकमेकांशी असलेले संभाषण सक्षम करते आणि तुम्हाला तुमचे डिजिटल लॅब रिपोर्ट्स, प्रिस्क्रिप्शन आणि निदान सत्यापित आरोग्यसेवा व्यावसायिक आणि आरोग्य सेवा प्रदात्यांकडून अखंडपणे प्राप्त करण्यास अनुमती देते.",mr
"मुले, किशोरवयीन मुले, गर्भवती महिला आणि स्तनपान करणार्‍या मातांना तंत्रज्ञानाचा लाभ देऊन, लक्ष्यित दृष्टिकोन आणि अभिसरण देऊन पौष्टिक परिणाम सुधारण्यासाठी पोषण अभियान हा भारताचा प्रमुख कार्यक्रम आहे.",mr
पोषण ट्रॅकर लॉन्च करण्याचा हेतू काय आहे ?,mr
"पोषण ट्रॅकर अँप्लिकेशनचा उद्देश आहे की त्यातून अंगणवाडी सेंटर (एडब्ल्यूसी), अंगणवाडी सेविकांची सेवा पुरवठा (एडब्ल्यूडब्ल्यू ), गर्भवती महिला, स्तनपान करणारी माता व मुले यांचे संपूर्ण लाभार्थी व्यवस्थापन, अशा सगळ्याचा एक ३६०°आढावा घेऊ शकतो.",mr
"प्रस्तावित प्रणाली आपल्याला परिभाषित निर्देशकांवर सर्व एडब्ल्यूसी, एडब्ल्यूडब्ल्यू आणि लाभार्थ्यांचे वास्तविक-वेळ देखरेख आणि ट्रॅक करण्यास सक्षम करेल.",mr
आपण पोशन ट्रॅकर अ‍ॅप डाउनलोड कसे करू शकतो?,mr
पोषण ट्रॅकर केवळ अँड्रॉइड आवृत्तीसाठी उपलब्ध आहे.,mr
मोबाइलमध्ये पोषण ट्रॅकर अॅप स्थापित करण्यासाठी किमान आवश्यक काय आहे?,mr
पॉशन ट्रॅकर अॅप केवळ अँड्रॉइड फोन ६.० आणि त्यावरील आवृत्तीसह स्थापित केला जाऊ शकतो.,mr
एक अंगणवाडी सेविका लाभार्थी एका अंगणवाडी केंद्र मधून दुसर्‍या अंगणवाडी केंद्र मध्ये त्यांच्या आधार क्रमांकाच्या आधारे स्थलांतरित करण्यासाठी ‘माइग्रेट लाभार्थी’ पर्याय वापरू शकतो.,mr
लाभार्थीची पात्रता काय आहे?,mr
एक लाभार्थी महिन्यातून किमान 21 दिवस टीएचआर साठी पात्र आहे.,mr
होम रेशनसाठी कोण पात्र आहे?,mr
"गरोदर महिला, स्तनपान करणार्‍या माता, 6 महिने ते 3 वर्षे वयोगटातील मुले आणि किशोरवयीन मुली.",mr
होम रेशनबद्दल मी कुठे चौकशी करू शकतो?,mr
कृपया तुमच्या संबंधित अंगणवाडी सेविकेशी संपर्क साधा.,mr
अतिरिक्त पूरक आहारासाठी कोण पात्र आहे.,mr
पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.,mr
एक लाभार्थी एका महिन्यात किमान 21 दिवस एचसीएम साठी पात्र असतो.,mr
गरम शिजवलेल्या जेवणासाठी कोण पात्र आहे?,mr
