data,language
नेपाली,ne
संथाली,ne
को बारेमा,ne
प्ले स्टोरबाट मोबाइल एप डाउनलोड गर्नुहोस्,ne
एप डाउनलोड गर्न क्यूआर कोड स्क्यान गर्नुहोस्,ne
पोशन ट्र्याकर (Poshan Tracker) ले नयाँ अनुप्रयोग सुविधाहरू थप्छ,ne
पोशन ट्र्याकरले नयाँ रिपोर्टहरूको सुविधा थप्छ,ne
पोशन ट्र्याकर ले वेबसाइट सुविधामा नयाँ स्रोतहरू थप्छ,ne
वृद्धि अनुगमन र सामान्य जागरूकताका लागि संसाधन,ne
नयाँ लाभार्थी थप्दा OTP नलगाई अगाडि जान सकिने विकल्प,ne
आंगनवाडी कार्यकर्ताको प्रोफाइल पेज,ne
स्टंटिङ र कम वजन वृद्धिका प्यारामिटरहरू,ne
लाभार्थीको स्थिति परिवर्तन गर्ने सूचनाहरू,ne
एक श्रेणीबाट अर्को श्रेणीमा सरेको छ,ne
लाभार्थीको रेकर्ड निष्क्रिय हुँदैछ,ne
एक AWC बाट अर्को AWC मा लाभार्थीको स्थानांतरण,ne
पूर्वनिर्धारित भाषाको चयन,ne
"लाभार्थीको AWW को पहुँच नभएको चिन्ता, एक पटक समाधान भएपछि अद्यावधिक स्थितिमा आउने",ne
सबै स्वास्थ्य सूचकहरूका लागि वृद्धि अनुगमन रिपोर्ट,ne
AWW द्वारा आवेदन डाउनलोड गरिएको स्थिति,ne
लाभार्थी गणनाको रिपोर्ट : निष्क्रिय हुने रेकर्डहरूको संख्या र एक श्रेणीबाट अर्को श्रेणीमा सर्ने रेकर्डहरूको संख्या,ne
पोशन क्याल्कुलेटर कसरी प्रयोग गर्ने?,ne
लिङ्ग चयन गर्नुहोस्,ne
जन्म मिति प्रविष्ट गर्नुहोस्,ne
सेन्टिमिटर मा उचाई प्रविष्ट गर्नुहोस्,ne
किलोग्राम मा तौल प्रविष्ट गर्नुहोस्,ne
नतिजाहरू देखाउने मा क्लिक गर्नुहोस्,ne
जन्ममिति ,ne
उचाई (सेमी) ,ne
*उचाई 38 देखि 150 का बीच हुनुपर्छ,ne
*वजन 0.90 देखि 58 का बीच हुनुपर्छ,ne
परिणामहरू देखाउनुहोस्,ne
एबीएचए (स्वास्थ्य आईडी) र यसका फाइदाहरू,ne
एबीएचए (पहिले स्वास्थ्य आईडी भनेर चिनिन्थ्यो) आयुष्मान भारत स्वास्थ्य खाताको संक्षिप्त रूप हो।,ne
एबीएचए (स्वास्थ्य आईडी) को प्रयोग गर्नु भएको मा तपाईं र तपाईंको परिवारको लागि सुरक्षित र प्रभावकारी डिजिटल स्वास्थ्य अभिलेख सिर्जना गर्ने पहिलो कदम हो।,ne
"यसले सहभागी स्वास्थ्य सेवा प्रदायकहरूसँग तपाइँको अन्तरक्रियालाई सक्षम बनाउँछ, र तपाइँलाई प्रमाणित स्वास्थ्य सेवा पेशेवरहरू र स्वास्थ्य सेवा प्रदायकहरूबाट तपाइँको डिजिटल ल्याब रिपोर्टहरू, नुस्खाहरू र निदान प्राप्त गर्न अनुमति दिन्छ।",ne
अधिक जान्नुहोस्,ne
प्रायः सोधिने प्रश्नहरू,ne
घरको राशन लिनुहोस्,ne
तातो पकाएको खाना,ne
"पोषण अभियान भनेको बच्चा, किशोरकिशोरी, गर्भिणीहरूका लागि पोषण परिणामहरू सुधार गर्ने भारतको प्रमुख कार्यक्रम हो।",ne
पोषण ट्र्याकर सुरू गर्नुको उद्देश्य के हो?,ne
"पोषण ट्र्याकर एपको उद्देश्य आंगनवाडी केन्द्र (AWC) को गतिविधि र गर्भवती महिला, स्तनपान गराउने आमाहरू र बच्चाहरूका लागि पूर्ण लाभार्थीको व्यवस्थापनलाई ३६० डिग्री दृष्टिकोणमा प्रदान गर्नु हो। प्रस्तावित प्रणालीले परिभाषित संकेतकहरूमा सबै AWCहरू, AWWहरू र लाभार्थीहरूको वास्तविक समयको अनुगमन र ट्र्याकिंग सक्षम पार्नु पर्दछ।",ne
कसैले पोषण ट्र्याकर एप कसरी डाउनलोड गर्न सक्छन्?,ne
 मा उपलब्ध छ।,ne
"छैन, पोषण ट्र्याकर एन्ड्रोइड संस्करणका लागि मात्र उपलब्ध छ।",ne
पोषण ट्र्याकर एप केवल एन्ड्रोइड फोनमा एन्ड्रोइड संस्करण ६.० र माथिकोसँग मात्र स्थापना गर्न सकिन्छ।,ne
प्रायजसो सोधिने प्रश्नहरू हेर्नुहोस्,ne
एउटा लाभार्थी सिधै आवेदन प्रयोग गरेर पंजीकरण गर्न सक्नुहुन्छ।,ne
हाल एउटा लाभार्थीले एडब्ल्यूडब्ल्यू को मद्दतले पंजीकरण गर्न सक्छ,ne
लाभार्थीहरूको लागि 6 वर्गहरू छन्,ne
स्तनपान गराउने आमा,ne
0 देखि 6 महिना सम्मका बालबालिका,ne
6 महिनादेखि 3 वर्षसम्मका बालबालिका,ne
3 वर्ष देखि 6 वर्ष सम्मका बालबालिका,ne
किशोरी केटीहरु,ne
के लाभार्थीले आफ्नो एडब्ल्यूसी परिवर्तन गर्न सक्नुहुन्छ?,ne
एउटा एडब्ल्यूडब्ल्यू ले आधार संख्याको आधारमा एउटा एडब्ल्यूसी बाट अर्को एडब्ल्यूसी मा लाभार्थी स्थानान्तरण गर्न 'स्थानान्तरण लाभार्थी' विकल्प प्रयोग गर्न सक्छ।,ne
एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि टीएचआर को लागि योग्य हुन्छ।,ne
घरको राशन लिनुको लागि को योग्य छ?,ne
"गर्भवती महिला, स्तनपान गराउने आमाहरू, 6 महिनादेखि 3 वर्षसम्मका बालबालिका र किशोरी केटीहरु।",ne
मैले घरमा रासन लैजाने बारेमा कहाँ सोध्न सक्छु?,ne
कृपया आफ्नो सम्बन्धित आंगनवाडी कार्यकर्तालाई सम्पर्क गर्नुहोस्।,ne
पोषणमा कमीको रूपमा पहिचान गरिएका बालबालिकाहरू थप खाद्य पूरकहरूका लागि योग्य छन्।,ne
एउटा लाभार्थी एक महिनामा कम्तिमा 21 दिनको लागि एचसीएम को लागी योग्य हुन्छ।,ne
तातो पकाएको खानाको लागि को योग्य छ?,ne
3 वर्ष देखि 6 वर्ष सम्मको उमेर समूहका बालबालिका,ne
तातो पकाएको खानाको बारेमा मैले कहाँ सोधपुछ गर्न सक्छु?,ne
कृपया आफ्नो सम्बन्धित आंगनवाडी केन्द्रमा सम्पर्क गर्नुहोस्।,ne
थप पूरक खानाको लागि को योग्य छ?,ne
हामी अब भिडियो कन्फरेन्समा उपलब्ध छौं,ne
राज्यको भिडियो सम्मेलन,ne
सोमबारदेखि शुक्रवार ,ne
अहिले सामेल हुनुहोस,ne
आंगनवाडी कार्यकर्ताको प्रशिक्षण,ne
मोबाइल एप डाउनलोड गर्नुहोस्,ne
सेवाका सर्तहरु,ne
पेशाहरु,ne
पोशन ट्र्याकर को बारेमा,ne
"‘पोशन ट्र्याकर’ एउटा मोबाइल आधारित एप्लिकेसन हो जुन महिला तथा बाल विकास मन्त्रालय, भारत सरकारको 1 मार्च 2021 मा राष्ट्रिय ई-गभर्नेन्स डिभिजन (एनईजीडी), MyGov मार्फत एउटा महत्त्वपूर्ण शासन उपकरणको रूपमा रोल आउट गरिएको हो। पोशन ट्रयाकर अन्तर्गतको प्रविधिलाई बालबालिकामा स्टन्टिङ, बर्बादी, कम तौलको प्रचलन र पोषण सेवा वितरणको अन्तिम माइल ट्र्याकिङको गतिशील पहिचानको लागि प्रयोग गरिएको छ।.",ne
