data,language
"ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀମାନଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ପରିଣାମକୁ ସୁଦୃଢ଼ କରିବା ପାଇଁ ପୋଷନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଏକ ପ୍ରମୂଖ କାର୍ଯ୍ୟକ୍ରମ ।",or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆରମ୍ଭ କରିବାର ଉଦ୍ଦେଶ୍ୟ କଣ?,or
"ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର (ଏଡବ୍ଲ୍ୟୁସି)ର କାର୍ଯ୍ୟକଳାପ, ଅଙ୍ଗନୱାଡି କର୍ମୀ (ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ)ର ସେବା ବିତରଣ ଏବଂ ଗର୍ଭବତୀ ମହିଳା, ସ୍ତନପାନ କରାଉଥିବା ମାଆ ଏବଂ ଶିଶୁମାନଙ୍କ ପାଇଁ ସମ୍ପୂର୍ଣ୍ଣ ହିତାଧିକାରୀ ପରିଚାଳନା ବିଷୟରେ 360-ଡିଗ୍ରୀ ଦୃଶ୍ୟ ପ୍ରଦାନ କରିବା ହେୁଛି ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ଲିକେସନ୍‌ର ଉଦ୍ଦେଶ୍ୟ ।",or
"ପ୍ରସ୍ତାବିତ ପ୍ରଣାଳୀ ନିର୍ଦ୍ଦିଷ୍ଟ ସଙ୍କେତ ଉପରେ ସମସ୍ତ ଏଡବ୍ଲ୍ୟୁସି, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ ଏବଂ ହିତାଧିକାରୀଙ୍କ ପ୍ରକୃତ ନୀରିକ୍ଷଣ ଏବଂ ଟ୍ରାକିଂକୁ ସକ୍ଷମ କରିବା ଉଚିତ ।",or
ଜଣେ କିପରି ଭାବେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ ଡାଉନଲୋଡ୍ କରିପାରିବେ?,or
"ନା, କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍‌ ପାଇଁ ପୋଷନ୍ ଟ୍ରାକର୍ ଉପଲବ୍ଧ ।",or
ମୋବାଇଲରେ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଇନଷ୍ଟଲ୍‌ କରିବାର ସର୍ବନିମ୍ନ ଆବଶ୍ୟକତା କଣ କଣ ରହିଛି?,or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌କୁ କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ 6.0 ଏବଂ ତଦୁର୍ଦ୍ଧ ସହିତ ଆଣ୍ଡ୍ରଏଡ୍ ଫୋନରେ ଇନ୍‌ଷ୍ଟଲ୍‌ ହୋଇପାରିବ ।,or
ଇଣ୍ଟରନେଟ୍ ବିନା ଆପ୍‌କୁ ବ୍ୟବହାର କରାଯାଇପାରିବ କି?,or
"ନା, ବୈଧ ଇଣ୍ଟରନେଟ୍ ସଂଯୋଗ ବିନା ଆପ୍ କାମ କରିବ ନାହିଁ ।",or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ର ଲକ୍ଷ୍ୟ ରଖିଥିବା ବ୍ୟବହାରକାରୀ କିଏ ଅଟନ୍ତି?,or
"ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଆଙ୍ଗାନୱାଡି କର୍ମକର୍ତ୍ତା, ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ରଗୁଡିକ ପାଇଁ ଫର୍ମରେ ହିତାଧିକାରୀଙ୍କ ତଥ୍ୟ ପ୍ରବେଶ କରିବା ପାଇଁ ଉଦ୍ଦିଷ୍ଟ ।",or
ଏହା ସାଧାରଣ ଜନତାଙ୍କ ପାଇଁ ଏହା ବିକାଶ କରାଯାଇ ନାହିଁ ।,or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ରେ କିପରି ଭାବେ ଲଗ୍ଇନ୍ କରିପାରିବେ?,or
ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନଙ୍କୁ ଲଗଇନ୍ ସ୍କ୍ରିନରେ ନିଜର ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରିବାକୁ ଅନୁରୋଧ କରାଯାଇଛି ।,or
"ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରକୁ ଏକ ଓଟିପି ପଠାଯିବ, ଯାହାପରେ ଆପଣଙ୍କୁ ଏମ୍‌ପିଆଇଏନ୍‌ ସେଟ୍ କରିବାକୁ ପଡ଼ିବ ।",or
ଏମ୍‌ପିଆଇଏନ୍‌ କଣ?,or
ଏମ୍‌ପିଆଇଏନ୍‌ ହେଉଛି ଏକ 4 ଅଙ୍କ ବିଶିଷ୍ଟ ପାସକୋଡ୍ ଯାହା ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ରେ ପଞ୍ଜୀକରଣ କରିବା ସମୟରେ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଛି ।,or
ଏମ୍‌ପିଆଇଏନ୍‌କୁ କିପରି ଭାବେ ସେଟ୍ କରାଯାଇପାରିବ?,or
ସମ୍ପୃକ୍ତ ଅଙ୍ଗନୱାଡି କର୍ମୀଙ୍କ ଦ୍ୱାରା ମୋବାଇଲ୍ ନମ୍ବର ପାଇଁ ଓଟିପି ଅନୁରୋଧ କରି ଏମ୍‌ପିଆଇଏନ୍‌ ସେଟ୍ କରାଯାଇପାରିବ ।,or
"ଯଦି ଡାଟାବେସ୍‌ରେ ମୋବାଇଲ୍ ନମ୍ବର ପୂର୍ବରୁରହିଥାଏ, ସଂପୃକ୍ତ ଅଙ୍ଗନୱାଡି ବ୍ୟକ୍ତି ଜଣକ ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରରେ 4 ଅଙ୍କ ବିଶିଷ୍ଟ ଏକ ଓଟିପି ପ୍ରାପ୍ତ କରିବେ ।",or
"ଓଟିପି ପ୍ରବେଶ କରିବା ପରେ, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ସହଜରେ କଷ୍ଟୋମାଇଜ୍ ଏମ୍‌ପିଆଇଏନ୍‌ ସେଟ୍ କରିପାରିବେ ।",or
ଏମ୍‌ପିଆଇଏନ୍‌କୁ କେବେ ଏବଂ କିପରି ଭାବେ ବ୍ୟବହାର କରିବେ?,or
"ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ରେ ଲଗ୍ଇନ୍ କରିବା ସମୟରେ, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ସେମାନଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଥିବା ପ୍ରବେଶ କରିବାକୁ ଆବଶ୍ୟକ କରିଥାନ୍ତି ।",or
ଏହି ଏମ୍‌ପିଆଇଏନ୍‌ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଚଲାଇବା ଏବଂ ହିତାଧିକାରୀ ଫର୍ମରେ ସୂଚନା ପ୍ରବେଶ କରିବା ପାଇଁ ଏକ ପାସକୋଡ୍ ଭାବରେ କାମ କରିବ ।,or
ଏମ୍‌ପିଆଇଏନ୍‌କୁ କିପରି ଭାବେ ପୁନଃସେଟ୍ କରାଯାଇ ପାରିବ?,or
ଯେକୌଣସି ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ / ଏଡବ୍ଲ୍ୟୁସି ବ୍ୟବହାରକାରୀଙ୍କ ଦ୍ୱାରା ଏମ୍‌ପିଆଇଏନ୍‌କୁ ସହଜରେ ପୁନଃସେଟ୍ କରାଯାଇପାରିବ ।,or
ଆପମହ୍କୁ ଭୁଲିଯାଇଥିବା ଏମ୍‌ପିଆଇଏନ୍‌ ଉପରେ କ୍ଲିକ୍ କରିବାକୁ ଏବଂ ଆପଣଙ୍କର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବର ପ୍ରବେଶ କରିବାକୁ ପଡ଼ିବ ।,or
ଆପଣ ନିଜର ପଞ୍ଜୀକୃତ ମୋବାଇଲ୍ ନମ୍ବରରେ ଓଟିପି ପାଇବେ ଏବଂ ଆପଣ ଏମ୍‌ପିଆଇଏନ୍‌କୁ ସହଜରେ ପୁନଃସେଟ୍ କରିପାରିବେ ।,or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ କେତୋଟି ଭାଷାରେ ଉପଲବ୍ଧ ରହିଛି?,or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ 22 ଗୋଟି ବିଭିନ୍ନ ଭାଷାରେ ଉପଲବ୍ଧ ।,or
ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁ କେବଳ ଇଂରାଜୀ ଭାଷାରେ ଫର୍ମ ପୂରଣ କରିପାରିବ ।,or
ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍‌ରେ କେତେଗୋଟି ଫର୍ମ ରହିଥାଏ?,or
ହିତାଧିକାରୀଙ୍କ ପାଇଁ 7ଟି ବିଭିନ୍ନ ପ୍ରକାରର ଫର୍ମ ରହିଛି ।,or
