data,language
போஷன் கால்குலேட்டரை எவ்வாறு பயன்படுத்துவது?,ta
 மீ. எடை (கி.,ta
உங்களுக்கும் உங்கள் குடும்பத்துக்கும் பாதுகாப்பான மற்றும் திறமையான டிஜிட்டல் ஹெல்த் ரெக்கார்டுகளை உருவாக்குவதற்கான முதல் படி ABHA (ஹெல்த் ஐடி) ஐப் பயன்படுத்துவது தான்.,ta
"இது சுகாதார வழங்குநர்களுடன் உங்கள் தொடர்புகளை செயல்படுத்துகிறது, மேலும் சுகாதார நிபுணர்கள் மற்றும் சுகாதார சேவை வழங்குநர்களிடமிருந்து உங்கள் டிஜிட்டல் ஆய்வக அறிக்கைகள், மருந்துச்சீட்டுகள் மற்றும் நோயறிதல் ஆகியவற்றை தடையின்றி பெற அனுமதிக்கிறது.",ta
"போஷன் அபியான் என்பது குழந்தைகள், இளம் பருவத்தினர், முன்னுரிமைக்கான ஊட்டச்சத்து விளைவுகளை மேம்படுத்துவதற்கான இந்தியாவின் முதன்மை திட்டமாகும்.",ta
போஷன் டிராக்கரைத் தொடங்குவதன் நோக்கம் என்ன?,ta
"போஷான் டிராக்கர் பயன்பாட்டின் நோக்கம் அங்கன்வாடி மையத்தின் (ஏ. டபிள்யூ. சி) செயல்பாடுகள், அங்கன்வாடி தொழிலாளர்களின் சேவை வழங்கல்கள் (ஏ.",ta
" டபிள்யூ. டபிள்யூ) மற்றும் கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளுக்கான முழுமையான பயனாளி மேலாண்மை பற்றிய 360 டிகிரி பார்வையை வழங்குவதாகும்.",ta
"முன்மொழியப்பட்ட அமைப்பு வரையறுக்கப்பட்ட குறிகாட்டிகளில் அனைத்து AWC கள், AWW கள் மற்றும் பயனாளிகளின் நிகழ்நேர கண்காணிப்பு மற்றும் கண்காணிப்பை செயல்படுத்த வேண்டும்.",ta
போஷன் டிராக்கர் அபிபி ஐ எவ்வாறு பதிவிறக்கம் செய்யலாம்?,ta
போஷான் டிராக்கர் பயன்பாட்டை ஆண்ட்ராய்டு பதிப்பு 6.0 மற்றும் அதற்கு மேற்பட்ட ஆண்ட்ராய்டு தொலைபேசியில் மட்டுமே நிறுவ முடியும்.,ta
AWW ஆனது ஒரு பயனாளியை அவர்களின் ஆதார் எண்ணின் அடிப்படையில் ஒரு AWC இலிருந்து மற்றொரு AWC க்கு நகர்த்துவதற்கு 'Migrate Beneficiary' விருப்பத்தைப் பயன்படுத்தலாம்.,ta
ஒரு பயனாளியின் தகுதி என்ன?,ta
ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு THRக்கு தகுதியுடையவர்.,ta
வீட்டுக்கு ரேஷன் எடுத்துச் செல்ல யார் தகுதியானவர்?,ta
"கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள், 6 மாதங்கள் முதல் 3 வயது வரையிலான குழந்தைகள் மற்றும் பருவப் பெண்கள்.",ta
வீட்டிற்கு எடுத்துச் செல்லும் ரேஷன் பற்றி நான் எங்கே கேட்கலாம்?,ta
உங்கள் அங்கன்வாடி பணியாளரை தொடர்பு கொள்ளவும்.,ta
கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்.,ta
ஊட்டச்சத்து குறைபாடு உள்ள குழந்தைகள் கூடுதல் உணவுப் பொருட்களுக்கு தகுதியுடையவர்கள்.,ta
ஒரு பயனாளி ஒரு மாதத்தில் குறைந்தது 21 நாட்களுக்கு HCM க்கு தகுதியுடையவர்.,ta
சூடான சமைத்த உணவுக்கு யார் தகுதியானவர்?,ta
உங்கள் அங்கன்வாடி மையத்தைத் தொடர்பு கொள்ளவும்.,ta
கூடுதல் துணை உணவுக்கு யார் தகுதியானவர்?,ta
"போஷான் டிராக்கரின் கீழ் உள்ள தொழில்நுட்பம், குழந்தைகளிடையே வளர்ச்சி குன்றிய நிலை, உடல் எடை குறைதல், உடல் எடை குறைவாக இருப்பது மற்றும் ஊட்டச்சத்து சேவை விநியோகத்தின் கடைசி மைல் கண்காணிப்பு போன்றவற்றின் ஆற்றல்மிக்க அடையாளத்திற்காக பயன்படுத்தப்படுகிறது.",ta
போஷன் டிராக்கர் என்பது அங்கன்வாடி பணியாளர்களின் முயற்சியின் பிரதிபலிப்புடன் சேவைகளை திறம்பட வழங்க உதவுகிறது.,ta
"இது போஷன் அபியான் கீழ் முக்கியமான மற்றும் பயனாளிகளை மையமாகக் கொண்ட சேவை வழங்கல் விண்ணப்பமாகும், இது பகுப்பாய்வுகளுடன் நிகழ் நேரத் தரவை ஊக்குவிக்கும்.",ta
இது மற்ற அமைச்சகங்கள் மற்றும் திட்டங்களின் டிஜிட்டல் தொழில்நுட்ப அமைப்புகளுடன் இணைந்த மையப்படுத்தப்பட்ட தரவு கட்டமைப்பைப் பயன்படுத்தி கட்டமைக்கப்பட்டுள்ளது.,ta
"அங்கன்வாடி மையத்தின் (AWC) செயல்பாடுகள், அங்கன்வாடி பணியாளர்களின் (AWWs) சேவை வழங்கல்கள் மற்றும் கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளுக்கான முழுமையான பயனாளிகள் மேலாண்மை ஆகியவற்றின் 360 டிகிரி பார்வையை வழங்குவதே இதன் நோக்கமாகும்.",ta
public dashboard பயனாளிகளுக்கு வழங்கப்படும் சேவைகளில் வெளிப்படைத்தன்மையை வழங்க உதவுகிறது.,ta
"டேக் ஹோம் ரேஷன் (THR) மற்றும் சூடான சமைத்த உணவு (HCM), கைக்குழந்தைகள் மற்றும் கர்ப்பிணிப் பெண்களுக்கு தடுப்பூசி போடுதல் போன்ற சேவைகள்.",ta
"உடல் வளர்ச்சி குன்றிய நிலை, உடல் தேய்மானம் மற்றும் எடை குறைவாக இருப்பது போன்ற சுகாதார குறிகாட்டிகள் WHO தரத்தின்படி அளவிடப்படுகிறது.",ta
வளர்ச்சி கண்காணிப்பு AWW கள் குழந்தைகளுக்கு பொருத்தமான மற்றும் சரியான நேரத்தில் உதவி வழங்க உதவுகிறது.,ta
பயனாளிகள் மற்றும் கடமை தாங்குபவர்களின் உண்மையான நேர வருகையை ஆவணப்படுத்துவதன் மூலம் திறமையான தணிக்கையையும் இது உறுதி செய்கிறது.,ta
"இந்த மேலாண்மை தகவல் அமைப்பு ஊட்டச்சத்து திட்டத்தை திறம்பட அளவிடுவதற்கும், நேர்மறையான தாக்கத்தை உருவாக்கி ஆவணப்படுத்துவதற்கும் உதவும்.",ta
இணையம் இல்லாமல் அபிபி ஐ அணுக முடியுமா?,ta
"இல்லை, சரியான இணைய இணைப்பு இல்லாமல் பயன்பாடு செயல்படாது.",ta
போஷன் டிராக்கர் பயன்பாட்டின் இலக்கு பயனர் தளம் யார்?,ta
"போஷன் டிராக்கர் ஆப் என்பது ஆங்கன்வாடி தொழிலாளர்கள், அங்கன்வாடி மையங்கள் பயனாளிகளின் தரவை படிவங்களில் உள்ளிடுவதற்கானது.",ta
இது பொது மக்களுக்காக உருவாக்கப்படவில்லை.,ta
போஷன் டிராக்கர் பயன்பாட்டில் உள்நுழைவது எப்படி?,ta
அங்கன்வாடி ஊழியர்கள் உள்நுழைவுத் திரையில் தங்கள் மொபைல் எண்களை உள்ளிடுமாறு கேட்டுகொள்ளப்படுகின்றனர்.,ta
"உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணுக்கு ஒரு OTP அனுப்பப்படும்,அதற்கு பிறகு உங்கள் எம்பின் ஐ அமைக்கவும்.",ta
எம்பின் என்றால் என்ன?,ta
"எம்பின் என்பது 4 இலக்க கடவுக்குறியீடாகும், இது போஷன் டிராக்கர் ஆப் இல் பதிவு செய்யும் போது ஒரு அங்கன்வாடி தொழிலாளியால் அமைக்கப்படுகிறது.",ta
எம்பின் அமைப்பது எப்படி?,ta
அந்தந்த அங்கன்வாடி ஊழியரால் அவரது / அவள் மொபைல் எண்ணுக்கு எதிராக OTP கோருவதன் மூலம் எம்பின் ஐ அமைக்கலாம்.,ta
"மொபைல் எண் ஏற்கனவே தரவுத்தளத்தில் இருந்தால், அந்தந்த அங்கன்வாடி நபர் பதிவு செய்யப்பட்ட மொபைல் எண்ணில் 4 இலக்க OTP ஐப் பெறுவார்.",ta
"OTP க்குள் நுழைந்த பின், அங்கன்வாடி ஊழியர்கள் தனிப்பயனாக்கப்பட்ட எம்பின் ஐ எளிதாக அமைக்க முடியும்.",ta
"எம்பின் ஐ எப்போது, ​​எப்படிப் பயன்படுத்துவது?",ta
"போஷன் ட்ராக்ஜெர் பயன்பாட்டில் உள்நுழையும்போது, அங்கன்வாடி ஊழியர்கள் அவர்கள் அமைத்த எம்பின் ஐ உள்ளிட வேண்டும்.",ta
இந்த எம்பிநான்என் போஷன் டிராக்கர் பயன்பாட்டை இயக்குவதற்கான கடவுக்குறியீடாக செயல்படும் மற்றும் பயனாளிகளின் படிவங்களில் தகவல்களை உள்ளிடும்.,ta
எம்பின் ஐ மீட்டமைப்பது எப்படி?,ta
எந்த அடபிள்யூடபிள்யூ / அடபிள்யூசி பயனரால் எம்பின் ஐ எளிதாக மீட்டமைக்க முடியும்.,ta
"மறந்துவிட்ட எம்பின் ஐக் கிளிக் செய்து, உங்கள் பதிவுசெய்த மொபைல் எண்ணை உள்ளிடவும்.",ta
"உங்கள் பதிவுசெய்யப்பட்ட மொபைல் எண்ணில் நீங்கள் பெறுவீர்கள் மற்றும் OTP பெறுவீர்கள், மேலும் உங்கள் எம்பின் ஐ நீங்கள் எளிதாக மீட்டமைக்கலாம்.",ta
போஷன் டிராக்கர் பயன்பாடு எத்தனை மொழிகளில் கிடைக்கிறது?,ta
அடபிள்யூடபிள்யூ படிவத்தை நிரப்புவதை ஆங்கில மொழியில் மட்டுமே செய்ய முடியும்.,ta
போஷன் டிராக்கர் பயன்பாட்டில் எத்தனை வெவ்வேறு வடிவங்கள் உள்ளன?,ta
பயனாளிகளுக்கு 7 வெவ்வேறு வகையான படிவங்கள் உள்ளன.,ta
ஒரு குறிப்பிட்ட அங்கன்வாடி மையத்தில் இருக்கும் உள்கட்டமைப்பு தொடர்பான விவரங்களை அடபிள்யூடபிள்யூ உள்ளிட வேண்டும்.,ta
