data,language
పోషణ కాలిక్యులేటర్ ను ఎలా ఉపయోగించాలి?,te
ABHA (హెల్త్ ఐడి) ఉపయోగించడం అనేది మీకు మరియు మీ కుటుంబానికి సురక్షితమైన మరియు సమర్థవంతమైన డిజిటల్ ఆరోగ్య రికార్డులను సృష్టించే దిశగా మొదటి దశ.,te
"ఇది ఆరోగ్య సంరక్షణ ప్రదాతలతో మీ పరస్పర చర్యకు వీలు కల్పిస్తుంది, మరియు ధృవీకరించబడిన ఆరోగ్య సంరక్షణ నిపుణులు మరియు ఆరోగ్య సేవా ప్రదాతల నుండి మీ డిజిటల్ ల్యాబ్ రిపోర్టులు, ప్రిస్క్రిప్షన్లు మరియు రోగనిర్ధారణను నిరంతరాయంగా అందుకోవడానికి మిమ్మల్ని అనుమతిస్తుంది.",te
"సాంకేతిక పరిజ్ఞానం, లక్ష్యంగా ఉన్న విధానం మరియు కలయిక ద్వారా పిల్లలు, కౌమారదశలు, గర్భిణీ స్త్రీలు మరియు పాలిచ్చే తల్లులకు పోషక ఫలితాలను మెరుగుపరిచేందుకు భారతదేశం యొక్క ప్రధాన కార్యక్రమం పోషన్ అభియాన్.",te
పోషన్ ట్రాకర్‌ను ప్రారంభించడం యొక్క ఉద్దేశ్యం ఏమిటి?,te
"పోషన్ ట్రాకర్ అప్లికేషన్ యొక్క ఉద్దేశ్యం అంగన్వాడీ సెంటర్ (ఎడబ్ల్యుసి), అంగన్వాడీ వర్కర్స్ (ఎడబ్ల్యుడబ్ల్యు) యొక్క సర్వీస్ డెలివరీలు మరియు గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లలకు పూర్తి లబ్ధిదారుల నిర్వహణ గురించి 360 డిగ్రీల వీక్షణను అందించడం.",te
"ప్రతిపాదిత వ్యవస్థ నిర్వచించిన సూచికలపై అన్ని (ఎడబ్ల్యుసి), (ఎడబ్ల్యుడబ్ల్యు) మరియు లబ్ధిదారుల యొక్క రియల్ -టైమ్ పర్యవేక్షణ మరియు ట్రాకింగ్‌ను ప్రారంభించాలి.",te
పోషన్ ట్రాకర్ యాప్ ని ఎలా డౌన్‌లోడ్ చేసుకోవచ్చు?,te
ఆండ్రాయిడ్ వెర్షన్ కోసం మాత్రమే పోషన్ ట్రాకర్ అందుబాటులో ఉంది.,te
మొబైల్‌లో పోషన్ ట్రాకర్ యాప్‌ను ఇన్‌స్టాల్ చేయడానికి కనీస అవసరం ఏమిటి?,te
పోషన్ ట్రాకర్ యాప్‌ను ఆండ్రాయిడ్ ఫోన్‌లో ఆండ్రాయిడ్ వెర్షన్ 6.0 మరియు అంతకంటే ఎక్కువ ఉంటే ఇన్‌స్టాల్ చేయవచ్చు.,te
ఒక AWC నుంచి మరో AWCకి వారి ఆధార్ నెంబరు ఆధారంగా లబ్ధిదారుడిని మైగ్రేట్ చేయడం కొరకు 'మైగ్రేట్ బెనిఫిషియరీ' ఆప్షన్ ని AWW ఉపయోగించుకోవచ్చు.,te
లబ్ధిదారుని యొక్క అర్హత ఏమిటి?,te
లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు THR పొందడానికి అర్హులు.,te
టేక్ హోమ్ రేషన్ కు ఎవరు అర్హులు?,te
"గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు, 6 నెలల నుండి 3 సంవత్సరాల వరకు పిల్లలు మరియు కౌమార బాలికలు.",te
టేక్ హోమ్ రేషన్ గురించి నేను ఎక్కడ విచారించగలను?,te
దయచేసి మీ సంబంధిత అంగన్ వాడీ వర్కర్ ని సంప్రదించండి.,te
అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు.,te
పోషకాహార లోపంగా గుర్తించిన పిల్లలు అదనపు ఆహార అనుబంధాలకు అర్హులు.,te
లబ్ధిదారుడు నెలలో కనీసం 21 రోజులపాటు HCMకు అర్హత కలిగి ఉంటాడు.,te
హాట్ కూకేడ్ మిల్ ఎవరు అర్హులు?,te
దయచేసి మీ సంబంధిత అంగన్ వాడీ కేంద్రాన్ని సంప్రదించండి.,te
అదనపు అనుబంధ ఆహారానికి ఎవరు అర్హులు?,te
