data,language
You need to enable JavaScript to run this app.,kok
Poshan Helpline:,kok
JanAndolan,kok
एभीएचए (हॅल्थ आय डी),kok
भास,kok
English,kok
हिंदी,kok
ગુજરાતી,kok
મરાઠી,kok
ಕನ್ನಡ,kok
മലയാളം,kok
தமிழ்,kok
తెలుగు,kok
বাংলা,kok
অসমীয়া,kok
ਪੰਜਾਬੀ,kok
ଓଡ଼ିଆ,kok
नेपाली,kok
डोगरी,kok
कोंकणी,kok
सिंधी,kok
बोडो,kok
मैथिली,kok
মণিপুরী,kok
संथाली,kok
اردو,kok
کٲشُر,kok
ताचे विशीं,kok
संसाधन,kok
लसीकरण वेळापत्रक,kok
डॅशबोर्ड,kok
Mission Utkarsh,kok
मदत डेस्क,kok
लाभार्थी निवारण,kok
राज्या आदारकक्ष,kok
परतून परतून विचारिल्ले प्रस्न,kok
पोशण कॅल्क्यूटर,kok
लॉग ईन,kok
 Previous,kok
 Next,kok
आंगनवाडी कर्मचारी,kok
प्ले स्टोरांतल्यान मोबायल ऍप्लिकेशन डावनलोड करचें,kok
ऍप्लिकेशन डावनलोड करूंक QR कोड स्कॅन करचो,kok
पोशण ट्रॅकराचेर नवें कितें आसा,kok
पोशण ट्रॅकर नवीं ऍप्लिकेशन खाशेलपणां जोडटा,kok
पोशण ट्रॅकर नवीं अहवाल दिवपाचें खाशेलपण जोडटा,kok
पोशण ट्रॅकर वॅबसायट खाशेलपणाचेर नवीं संसाधनां जोडटा,kok
वाड टेळणी आनी सामान्य जागृतायेखातीर संसाधनां,kok
वाड टेळणी तकटे,kok
OTP गाळचो पर्याया सयत नवी लाभार्थी पुरवणी,kok
एके सप्तका भितर मोबायल नंबर सत्यापित करपाची गरज आसतली,kok
आंगणवाडी कामगाराचें प्रोफायल पान,kok
मोटवें आनी कमी वजनाच्या विकासाचे पॅरामिटर्स,kok
लाभार्थी स्थिती बदल अधिसुचोवण्यो,kok
एके वर्गातल्यान दुसरे वर्गांत स्थलांतरण केलां,kok
लाभार्थी नोंद निश्क्रीय जाता,kok
लाभार्थ्याचें एके आंगणवाडीतल्यान दुसरे आंगणवाडीत स्थलांतरण,kok
आंगणवाडी कर्मचा-याकडल्यान लाभार्थ्याची वगळावणी,kok
डिफॉल्ट भास विभाग,kok
"आंगणवाडी कर्मचा-याक लाभार्थ्याची चवकशीखातीर वासपूस, सुटावी जातकच स्थिती अपडेटी सयत",kok
सगल्या भलायकी दर्शकां खातीर वाड टेळणी अहवाल,kok
आंगणवाडी कर्मचा-या कडल्यान डावनलोड केल्ली ऍप्लिकेशन स्थिती,kok
लाभार्थी मेजणी अहवाल : निश्क्रीय जावप्यांची नोंदींची संख्या आनी एके वर्गातल्यान दुसरे वर्गात वचपींच्या नोंदीची संख्या,kok
विश्व भलायकी संघटनेन (WHO) परिभाशीत केल्ल्या मानकां प्रमाण भुरग्याची वाड मापपा खातीर पोशन ट्रॅकर डिजायन केला.,kok
पोशण ट्रॅकर कसो वापरचो?,kok
लिंग निवडात,kok
जल्म तारीख प्रवेश करात,kok
उंचाय सेंटीमिटरांत प्रवेश करची,kok
वजन किलोग्रामांत प्रवेश करचें,kok
परिणाम दाखयात हाचेर क्लिक करात,kok
लिंग ,kok
चलो,kok
चली,kok
जल्म तारीख ,kok
उंची (सेमी) (CM) ,kok
*उंची 38 ते 150 मजगतीं आसूंक जाय,kok
सेमी,kok
वजन (किलो) (KG) ,kok
*वजन 0.90 ते 58 मजगतीं आसूंक जाय,kok
किलो,kok
निकाल दाखोवचे,kok
ABHA (एभीएचए आभा) (हॅल्थ आय डी) आनी ताचे लाभ,kok
ABHA (जाका आदीं हॅल्थ आय डी म्हणटालें) हें आयुश्मान भारत हॅल्थ खातें हाचें परिवर्णी उतर.,kok
ABHA (हॅल्थ आयडी) वापरप हें तुमकां आनी तुमच्या कुटुंबाक सुरक्षीत आनी कार्यक्षम डिजिटल भलायकी रेकॉर्ड तयार करपाचे दिकेन पयलें पावल.,kok
"तो सहभागी भलायकी सेवा पुरवणदारां कडेन तुमची परस्परक्रिया सक्षम करता, आनी तुमकां सत्यापीत भलायकी जतनाय वेवसायीक आनी भलायकी सेवा पुरवणदारांकडल्यान तुमचे डिजिटल लॅब अहवाल, नुस्खे आनी निदान रोगपारखणी मेळोवपाक परवानगी दिता.",kok
अदीक जाणून घेयात,kok
नित्यान विचारिल्ले प्रस्न,kok
सगळें,kok
लावार्थी नोंदणीकरण,kok
घरांत रेशन घेवचें,kok
गरम शिजयल्लें जेवण,kok
पोशन अभियान म्हळ्यार कितें?,kok
"पोशन अभियान हो भारताचो प्रमुख कार्यक्रम जो भुरग्यांक, किशोऱ्यांक आनी गुरवार बायलांच्या पोशण संबंदीत परिणामांत सुधारणा हाडपाचें कार्य करता.",kok
पोशन ट्रॅकर स्थापीत करपाचो उद्देश कितें?,kok
"पोशन ट्रॅकर अॅपलीकेशनाचो उद्देश आंगनवाडी (आंगनवाडी केंद्र) केंद्राचे कार्यांचो, आंगनवाडी कार्यकर्त्यांची (आंगनवाडी कर्मचारी) डिलिवरी सेवा आनी गुरवार बायलां खातीर, दुग्धधारण करपी आवयां खातीर आनी भुरग्यां खातीर पूर्ण लाभार्थी वेवस्थेचो 360-डिग्री दृश्य दिवपाचो आसा. प्रस्थापीत वेवस्था परिभाशीत संकेतकाचेर सगळ्या आंगनवाडी केंद्र, आंगनवाडी कर्मचारी आनी लाभार्थीची ट्रॅकींग आनी मोनिटरींग करपाक समर्थ आसूंक जाय.",kok
पोशन ट्रॅकर अॅप कशें डावनलोड करतले?,kok
पोशन ट्रॅकर अॅप गुगल प्लॅस्टोरार उपलब्ध आसा ,kok
https://play.google.com/store/apps/details?id=com.poshantracker,kok
अॅप्पल आय स्टोरांत पोशन ट्रॅकर अॅप उपलब्ध आसा?,kok
"ना, पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड यूजरां खातीर उपलबध्द आसा.",kok
मोबायलार पोशन ट्रॅकर अॅप इंस्टॉल करपा खातीर किमान आवश्यकता कितें?,kok
पोशन ट्रॅकर अॅप फकत एन्ड्रॉयड वर्जन 6.0 आनी ताच्या उपरांतच्या वर्जन आशिल्ल्या एन्ड्रॉयड फोनाचेर इंस्टॉल करूं येता.,kok
सगले एफएक्युएस दृश्य करचे,kok
अर्ज वापरून लावार्थी थेट नोंदणी करूंक शकता.,kok
सद्या लावार्थी एडब्ल्यूडब्ल्यूच्या आदारान नोंदणी करूंक शकता,kok
लावार्थी म्हळ्यार कोण?,kok
लावार्थ्यां खातीर 6 वर्ग आसात,kok
गुरवार बायलो,kok
दुदाक धरपी आवय,kok
0 ते 6 म्हयन्यांचीं भुरगीं,kok
6 म्हयन्यां सावन 3 वर्सां मेरेनचीं भुरगीं,kok
3 वर्सां ते 6 वर्सां मेरेनचीं भुरगीं,kok
किशोरवयीन चलयो,kok
लावार्थी आपलो/आपलें एडब्ल्यूसी बदलूंक शकता?,kok
एक एडब्ल्यूडब्ल्यू तांच्या आधार क्रमांकाचेर आदारून एका एडब्ल्यूसींतल्यान दुसऱ्या एडब्ल्यूसींत लावार्थी स्थलांतरीत करपाक ‘लावार्थी स्थलांतरीत करचो’ पर्याय वापरूं येता.,kok
लावार्थ्याची पात्रताय कितें?,kok
लावार्थी एका म्हयन्यांत उण्यांत उणे 21 दीस टीएचआर मेळोवपाक पात्र आसता.,kok
टेक होम रेशन खातीर कोण पात्र आसा?,kok
"गुरवार बायलो, दुदाक धरपी आवयो, 6 म्हयने ते 3 वर्सां पिरायेचीं भुरगीं आनी किशोरवयीन चलयो.",kok
टेक होम रेशन विशीं खंय चवकशी करूं येता?,kok
तुमच्या संबंदीत आंगनवाडी कार्यकर्त्या कडेन संपर्क सादचो.,kok
अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा.,kok
पोशणाचो उणाव आसा अशें वळखून घेतिल्लीं भुरगीं अतिरिक्त अन्न पूरक आहारां खातीर पात्र थारतात.,kok
लावार्थी म्हयन्यांत उण्यांत उणे 21 दीस एचसीएम मेळोवपाक पात्र आसता.,kok
गरम शिजयल्लें जेवणा खातीर पात्र आसा?,kok
3 वर्सां ते 6 वर्सां पिरायेच्या गटांतलीं भुरगीं,kok
गरम शिजयल्ल्या जेवणाची खंय चवकशी करूं येता?,kok
उपकार करून तुमच्या संबंदीत आंगनवाडी केंद्रा कडेन संपर्क सादचो.,kok
अतिरिक्त पूरक अन्न मेळोवपाक कोण पात्र आसा?,kok
आमी व्हिडियो परिशदे वरवीं उपलब्ध आसात.,kok
राज्य व्हिडियो कॉन्फरन्स,kok
सोमार ते शुक्रार ,kok
4:15 PM to 5:15 PM,kok
आतां सामील जावचें,kok
आंगणवाडी कर्मचा-याक प्रशिक्षण,kok
3:00 PM to 4:00 PM,kok
तेंको,kok
 14408,kok
 support-poshantrackr@gov.in,kok
मोबायल ऍप्लिकेशन डावनलोड करचें,kok
Powered By,kok
सेवा अटी,kok
गुप्तताय धोरण,kok
करियर,kok
Copyright@2023  Poshan Tracker. All rights reserved,kok
 You need to enable JavaScript to run this app.,kok
पोशान ट्रॅकर विशीं,kok
पोशण ट्रॅकर अॅप,kok
