en,bn,translated_helsinki
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি),ABHA (Health ID)
Language,ভাষা,Language
About,বিষয়,Subject
Resources,সংস্থান,Organisation
Vaccination Schedule,টিকা দেওয়ার সময়সূচী,Typing Time
Dashboard,ড্যাশবোর্ড,Dashboard
Helpdesk,হেল্পডেস্ক,Helpdesk
Beneficiary Redressal,সুবিধাভোগী প্রতিকার,Happy Responsibilities
State Helpdesk,রাজ্য হেল্পডেস্ক,The Kingdom Hall of Jehovah’s Witnesses
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন,"The question is, What will we do if we have a tendency to be critical of others?"
Poshan Calculator,পোশান ক্যালকুলেটর,Cannot initialise Evolution's mail component.
Login,লগইন,Login
Anganwadi Workers,অঙ্গনওয়াড়ি কর্মীরা,Publishers
Download Mobile App from Play Store,প্লে স্টোর থেকে মোবাইল অ্যাপ ডাউনলোড করুন,Download Mobile Up From Game Store
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে QR কোড স্ক্যান করুন,QR code scan to download the app
What’s New on Poshan Tracker,পোশান ট্র্যাকারে নতুন কি আছে,The new key has new keys in the wallet
Poshan Tracker adds new application features,পোশান ট্র্যাকার নতুন অ্যাপ্লিকেশন বৈশিষ্ট্য যোগ করে,Adds new application properties to the clipboard
Poshan Tracker adds new Reports feature,পোশান ট্র্যাকার একটি নতুন রিপোর্ট বৈশিষ্ট্য যোগ করেছে,Adds a new report feature to the post office
Poshan Tracker adds new Resources on Website,পোশান ট্র্যাকার ওয়েবসাইট বৈশিষ্ট্যে নতুন সংস্থান যোগ করে,Adds new installations to the Posian Tracker website properties
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ,Advanced monitoring and general monitoring tools
Growth monitoring charts,বৃদ্ধি পর্যবেক্ষণ চার্ট,Up-to-date review chart
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন,Add new license with the skip OTP option
Mobile number need to be validated within a week,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে,The cell number to check for in a week
Anganwadi Worker profile page,অঙ্গনওয়াড়ি কর্মীর প্রোফাইল পেজ,Angular Worker's Profile Page
Stunting and Underweight Growth Parameters,স্টান্টিং এবং কম ওজন বৃদ্ধির স্থিতিমাপ,Stanting and Reduced Zoom Rate
Beneficiaries status change notifications,সুবিধাভোগীদের অবস্থা পরিবর্তন বিষয়ক নোটিফিকেশন,Notification for accelerator changes
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হয়েছে,Moved from one class to another
Beneficiary record becoming inactive,সুবিধাভোগী রেকর্ড নিষ্ক্রিয় হয়ে যাচ্ছে,Disable arbitrary records
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর,Transfer from one adublusci (AWC) to another adublusci (AWC)
Beneficiary deletion by AWW,এডাব্লুডাব্লু (AWW) দ্বারা সুবিধাভোগী ডিলিট করা,Delegates by Adblu (AWW)
Default language selection,ডিফল্ট ভাষা নির্বাচন,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","সুবিধাভোগী এডব্লিউডব্লিউ (AWW)-তে অ্যাক্সেসযোগ্যতার বিষয়ে উদ্বিগ্ন, স্ট্যাটাস আপডেট সহ একবার সমাধান করা হয়ে গেছে",The issue of accessibility at AWW has been resolved once and for all with the status update.
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন,Increased monitoring reports for all health alerts
Application downloaded status by AWW,এডাব্লুডাব্লু (AWW) দ্বারা অ্যাপ্লিকেশন ডাউনলোড করা স্ট্যাটাস,Applications that did not fit in other categories
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,সুবিধাভোগীর সংখ্যা গণনার রিপোর্ট : নিষ্ক্রিয় হওয়া রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা,Number of license numbers: Number of records disabled and number of records transferred from one category to another
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থা (WHO) দ্বারা সংজ্ঞায়িত মানগুলির উপর ভিত্তি করে শিশুদের বৃদ্ধি পরিমাপ করার জন্য ডিজাইন করা হয়েছে।.,"Based on the values defined by the World Health Organization (WHO), Posian calculator is designed to measure children's growth."
How to use Poshan Calculator?,পোষান ক্যালকুলেটর কিভাবে ব্যবহার করবেন?,How to use the Posan calculator?
Select Gender,লিংগ নির্বাচন করুন,Select Link
Enter Date of Birth,জন্মের তারিখ লিখুন,Enter the date of your birth
Enter Height in centimeter,সেন্টিমিটারে উচ্চতা লিখুন,Centimeter-to-cubic-inch conversion factor
Enter Weight in kilogram,কিলোগ্রামে ওজন লিখুন,Write your answers on the kilograms
Click on Show Results,রেজাল্ট দেখান-এ ক্লিক করুন,Click to view your appointments and tasks
Gender ,লিঙ্গ ,link
Boy,ছেলে,Son
Girl,মেয়ে,Girl
Date of Birth ,জন্ম তারিখ ,_Other Organiser
Height (CM) ,উচ্চতা (সেমি) ,Height (semi)
*Height should be between 38 to 150,*উচ্চতা 38 থেকে 150-এর মধ্যে হওয়া উচিত,* Height should be between 38 and 150
CM,সেন্টিমিটার,Centimetres
Weight (KG) ,ওজন (কেজি) ,Oz (Kez)
*Weight should be between 0.90 to 58,*ওজন 0.90 থেকে 58-এর মধ্যে হওয়া উচিত,* The other must be between 0.90 and 58
KG,কেজি,Kaji
Show Results,ফলাফল প্রদর্শন করুন,Display probabilities
ABHA (Health ID) and its Benefits,ABHA (স্বাস্থ্য আইডি) এবং এর সুবিধা,ABHA (health ID) and permission
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (যা আগে স্বাস্থ্য আইডি নামে পরিচিত ছিল) হল আয়ুষ্মান ভারত স্বাস্থ্য অ্যাকাউন্টের সংক্ষিপ্ত রূপ।,ABHA (formerly known as Health Aid) is a short form of health account in modern India.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (স্বাস্থ্য আইডি) ব্যবহার করা আপনার এবং আপনার পরিবারের জন্য নিরাপদ এবং এটি দক্ষ ডিজিটাল স্বাস্থ্য রেকর্ড তৈরি করার জন্য প্রথম পদক্ষেপ।,Safe for you and your family using ABHA (health ID) and the first step to make a digital health record.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","এটি অংশগ্রহণকারী স্বাস্থ্যসেবা প্রদানকারীদের সাথে আপনার মিথস্ক্রিয়াকে সক্ষম করে এবং আপনাকে আপনার ডিজিটাল ল্যাব রিপোর্ট, প্রেসক্রিপশন এবং নির্ণয়ের যাচাইকৃত স্বাস্থ্যসেবা পেশাদার এবং স্বাস্থ্য পরিষেবা প্রদানকারীদের কাছ থেকে নির্বিঘ্নে পেতে অনুমতি দেয়।","It enables you to make a good deal with participants in health services and allows you to receive free access to your digital lab report, subscriptions and selected health service providers."
Know More,আরও জানুন,Learn More
Frequently Asked Questions,সচরাচর জিজ্ঞাস্য প্রশ্ন,"The question is, What will we do if we have a tendency to be critical of others?"
ALL,সব,All
BENEFICIARY REGISTRATION,সুবিধাভোগীর নিবন্ধন,Credits to the translators. This string should be marked as translatable
Take Home Ration,বাড়িতে নিয়ে যাওয়ার জন্য রেশন,The Retirement to Go Home
Hot Cooked Meal,গরম রান্না করা খাবার,Heat - fed food
What is Poshan Abhiyaan?,পশান অভিযান কি?,What's the animal practice?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","পশান অভিযান হ'ল শিশু, কিশোর, গর্ভবতীদের পুষ্টির ফলাফল উন্নত করার জন্য ভারতের এক নিজস্ব কর্মসূচি।","The campaign was an Indian own initiative to improve the results of abortions for children, children, children, and pregnant women."
What is the purpose of Launching Poshan Tracker?,পশান ট্র্যাকার চালু করার উদ্দেশ্য কী?,What is the purpose of running the animal traffic?
