en,gu,translated_helsinki
ABHA (Health ID),ABHA (હેલ્થ ID),ABHA (hell ID)
Language,ભાષા,Language
About,વિશે,About
Resources,સંસાધનો,_Other Organiser
Vaccination Schedule,રસીકરણ શેડ્યૂલ,Receipt Scheduler
Dashboard,ડેશબોર્ડ,Dashboard
Helpdesk,હેલ્પડેસ્ક,Helpdesk
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ,Labyrinth’s Infamous Exclusion
State Helpdesk,રાજ્ય હેલ્પડેસ્ક,Kingdom Helpadesk
FAQ,વારંવાર પૂછાતા પ્રશ્નો,Questions From Readers
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ,Labyrinth’s Infamous Exclusion
Login,પ્રવેશ,Login
Anganwadi Workers,આંગણવાડી કાર્યકરો,_Other Organiser
Download Mobile App from Play Store,પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો,Download mobile app from game store
Scan the QR Code to Download the App,એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો,Scan QR code to download an app
What’s New on Poshan Tracker,પોષણ ટ્રેકર પર નવું શું છે,What's new on the human track
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી,The human tracker added details of the new application
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી,The human track added no new report
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે,The details of the website add the human tracker to new features
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો,Ways to observe the age and the general public
Growth monitoring charts,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો,The table of contents at the beginning of the month
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા,Add new fetcher with OTP option
Mobile number need to be validated within a week,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે,A cell number is required to allow one week
Anganwadi Worker profile page,આંગણવાડી કાર્યકર્તાનું પ્રોફાઈલ પેજ,The page profile of the provider
Stunting and Underweight Growth Parameters,વૃદ્ધિ અટકી જવી અને ઓછા વજન સાથે વૃદ્ધિને લગતા માપદંડો,Stop ageing and measure the age associated with less weight
Beneficiaries status change notifications,લાભાર્થીઓને લગતા દરજ્જામાં ફેરફાર અંગે નોટિફિકેશન્સ,Change sign [c] in case there is no search engine
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ,Moved from one category to another
Beneficiary record becoming inactive,લાભાર્થીને લગતો રેકોર્ડ નિષ્ક્રીય બની રહ્યો છે,Labyrinth records are being disabled
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ,Transfer from Labyrinth to Another AWC from AWC
Beneficiary deletion by AWW,AWW દ્વારા લાભાર્થી મિટાવવા,Meet With Labyrinth by AWW
Default language selection,ડિફોલ્ટ ભાષાની પસંદગી,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","આંગણવાડી કાર્યકર્તા (AWW) સુધી લાભાર્થીની પહોંચ સંબંધિત, એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ",The access to Labyrinth to the abbreviated operator (AWW) is one of the state updates
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ,Monitor a report about your home directory
Application downloaded status by AWW,AWW દ્વારા અરજી ડાઉનલોડ કરવામાં આવી તેને લગતી સ્થિતિ,The mode of attaching the requested download by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,લાભાર્થી ગણતરી અહેવાલ : સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે,Labyrinth Accounting Report: The related records are being disabled and the related records are being moved from one category to another
Poshan Calculator,પોષણ કેલ્ક્યુલેટર,Human Calculator
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,વર્લ્ડ હેલ્થ ઓર્ગનાઈઝેશન(WHO) દ્વારા નિર્ધારિત ધોરણોના આધારે બાળકના વિકાસને માપવા માટે પોષણ કેલ્ક્યુલેટર ની રચના કરવામાં આવેલ છે.,Human calculator is designed to measure the child's development based on the values determined by the World Health Organization (WHO).
How to use Poshan Calculator?,પોષણ કેલ્ક્યુલેટરનો ઉપયોગ કેવી રીતે કરવો?,How can you use your personal calculator?
Select Gender,જાતિ પસંદ કરો,Select a Category
Enter Date of Birth,જન્મ તારીખ દાખલ કરો,Enter Birthday
Enter Height in centimeter,સેન્ટીમીટરમાં ઊંચાઈ દાખલ કરો,Enter height in centimetre
Enter Weight in kilogram,કિલોગ્રામમાં વજન દાખલ કરો,Insert a gear into a kilogram
Click on Show Results,પરિણામો બતાવો પર ક્લિક કરો,Click to show results
Gender ,લિંગ ,Ling
*,*,* (See footnote.)
Boy,છોકરો,Boys
Girl,છોકરી,Girl
Date of Birth ,જન્મ તારીખ ,_Other Organiser
Height (CM) ,ઊંચાઈ (સે.મી) ,Height (mm)
*Height should be between 38 to 150,*ઊંચાઈ 38 થી 150 વચ્ચે હોવી જોઈએ,* Height must be between 38 and 150
CM,સે.મી,S. M.
Weight (KG) ,વજન (કિલો) ,Vegetable (kilo)
*Weight should be between 0.90 to 58,*વજન 0.90 થી 58 વચ્ચે હોવી જોઈએ,* must be between 0.90 and 58
KG,કિલો,Kilo
Show Results,પરિણામો દર્શાવો,Show results
ABHA (Health ID) and its Benefits,ABHA (હેલ્થ ID) અને તેના ફાયદા,ABHA (Halth ID) and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (અગાઉ હેલ્થ ID તરીકે ઓળખાતું) એ આયુષ્માન ભારત હેલ્થ એકાઉન્ટનું ટૂંકું નામ છે.,ABHA (known as Agaw Helth ID) is a short name for the Indian Helth account.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (હેલ્થ ID) નો ઉપયોગ કરવો એ તમારા અને તમારા પરિવાર માટે સુરક્ષિત અને કાર્યક્ષમ ડિજિટલ હેલ્થ રેકોર્ડ બનાવવા તરફનું પ્રથમ પગલું છે.,Using ABHA (Helth ID) is the first step towards creating a secure and effective digital hero record for you and your family.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","તે સહભાગી આરોગ્યસંભાળ રાખનારાઓ સાથે તમારી ક્રિયાપ્રતિક્રિયાને સક્ષમ કરે છે, અને તમને તમારા ડિજિટલ લેબ રિપોર્ટ્સ, પ્રિસ્ક્રિપ્શન્સ અને નિદાન ચકાસાયેલ આરોગ્યસંભાળ વ્યાવસાયિકો અને આરોગ્ય સેવા આપનારાઓ પાસેથી એકીકૃત રીતે પ્રાપ્ત કરવાની મંજૂરી આપે છે.","It enables you to work with those who are involved in health care, and requires you to obtain your digital lab reports, prescriptives and guided health care providers."
Know More,વધુ જાણો,Learn More
×,×,x
Frequently Asked Questions,વારંવાર પૂછાતા પ્રશ્નો,Questions From Readers
ALL,બધા,All
BENEFICIARY REGISTRATION,લાભાર્થી નોંધણી,Labyrinth Note
Take Home Ration,ઘરે રાશન લો,Go to the home location
Hot Cooked Meal,ગરમ રાંધેલું ભોજન,Grained Food
What is Poshan Abhiyaan?,પોશણ અભિયાન એટલે શું?,What does it mean to have our perceptive powers trained to distinguish right from wrong?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","બાળકો, કિશોરો, સગર્ભાઓ માટેના પોષક પરિણામોને સુધારવા માટે, પોશણ અભિયાન એ ભારતનો મુખ્ય કાર્યક્રમ છે.","In order to improve the physical results of child labor, child abuse, child abuse, and child abuse, this is India’s main program."
What is the purpose of Launching Poshan Tracker?,પોશણ ટ્રેકર શરૂ કરવાનો હેતુ શું છે?,What is the purpose of starting a new track?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","પોશણ ટ્રેકર એપ્લિકેશનનો હેતુ આંગણવાડી કેન્દ્ર (એડબ્લ્યુસી) ની પ્રવૃત્તિઓ, આંગણવાડી કામદારો (એડબ્લ્યુડબ્લ્યુ) ની સેવા વિતરણ અને સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ અને બાળકો માટે સંપૂર્ણ લાભાર્થી સંચાલનનો 360 ડિગ્રી દૃશ્ય પ્રદાન કરવાનો છે. સૂચિત સિસ્ટમમાં બધા આંગણવાડી કેન્દ્રો, આંગણવાડી કામદારો અને લાભાર્થીઓને નિર્ધારિત સૂચકાંકો પર રીઅલ-ટાઇમ મોનિટરિંગ અને ટ્રેકિંગને સક્ષમ બનાવવું જોઈએ.","The purpose of the post-tracker application is to provide 360 degrees of full-time management for children. The system enables all weekly day-to-day centres, day-to-day centres and providers to be able to control real-time monitoring and tracking on indicators determined by day-to-day operators."
How can one Download Poshan Tracker App?,પોષણ ટ્રેકર એપ્લિકેશન કેવી રીતે ડાઉનલોડ કરી શકાય છે?,How can you download the human tracker application?
Poshan Tracker App is available over Google playstore ,પોષણ ટ્રેકર એપ્લિકેશન ગૂગલ પ્લે સ્ટોર ,Human Tracker Application Google Game Store
Is poshan trackers app available over Apple I Store also?, પર ઉપલબ્ધ છે.,Available on.
"No, Poshan Tracker is available only for Android version","ના, પોષણ ટ્રેકર ફક્ત એન્ડ્રોઇડ સંસ્કરણ માટે ઉપલબ્ધ છે.","No, the human tracker is only available for the Android version."
What is the minimum requirement to install Poshan Tracker App in mobile?,મોબાઈલમાં પોષણ ટ્રેકર એપ ઇન્સ્ટોલ કરવા માટે ન્યૂનતમ આવશ્યકતા શું છે?,What is the minimum speed to install human trackers into mobile phones?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.,The human tracker application can only be installed on Android 6.0 and more easily installed on the phone.
View All FAQs,તમામ FAQs જુઓ,View your FAQs
Can a beneficiary register directly using application.,શું લાભાર્થી અરજીનો ઉપયોગ કરીને સીધી નોંધણી કરાવી શકે છે.,Whether to provide a direct recording using a tearoff menu item.
Currently a beneficiary can register by the help of an AWW,હાલમાં લાભાર્થી AWW ની મદદ દ્વારા નોંધણી કરાવી શકે છે,"At present, Labyrinth AWW can be registered with the help of AWW"
Who is a beneficiary?,લાભાર્થી કોણ છે?,Who Is From Labyrinth?
There are 6 categories for beneficiaries,લાભાર્થીઓ માટે 6 શ્રેણીઓ છે,There are 6 classes for Labyrinths
Pregnant Women,સગર્ભા સ્ત્રીઓ,Difficulty Women
Lactating Mother,સ્તનપાન કરાવતી માતા,Mothers who are breast - feeding
Children from 0 to 6 months,0 થી 6 મહિનાના બાળકો,Children aged 0 to 6 months
Children from 6 months to 3 years,6 મહિનાથી 3 વર્ષ સુધીના બાળકો,Children from 6 months to 3 years of age
Children from 3 years to 6 years,3 વર્ષથી 6 વર્ષ સુધીના બાળકો,Children between 3 and 6 years of age
Adolescent girls,કિશોરવયની છોકરીઓ,Girls of Kisherawa
Can a beneficiary change his/her AWC?,શું લાભાર્થી તેનું AWC બદલી શકે છે?,Can the AWC be changed from Labyrinth to Labyrinth?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW લાભાર્થીને તેમના આધાર નંબરના આધારે એક AWCમાંથી બીજા AWCમાં સ્થાનાંતરિત કરવા માટે 'માઇગ્રેટ બેનિફિશરી' વિકલ્પનો ઉપયોગ કરી શકે છે.,AWW Labberth can use the 'Migrate Beneficiary' option to move from one AWC to another from one AWC based on its base number.
What is the eligibility of a beneficiary?,લાભાર્થીની લાયકાત શું છે?,What is Labyrinth’s experience?
A beneficiary is eligible for THR for at least 21 days in a month.,એક લાભાર્થી મહિનામાં ઓછામાં ઓછા 21 દિવસ માટે THR માટે પાત્ર છે.,"For at least 21 days in less than one laboratory month, THR has a dose of THR."
Who is eligible for Take Home Ration?,ટેક હોમ રાશન માટે કોણ યોગ્ય છે?,Who Is Qualified to Rule?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","સગર્ભા સ્ત્રીઓ, સ્તનપાન કરાવતી માતાઓ, 6 મહિનાથી 3 વર્ષ સુધીના બાળકો અને કિશોરીઓ.","For example, many pregnant women, pregnant mothers, children between the ages of 6 and 3 years of age."
