en,hi,translated_helsinki
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र),ABHA (own ID card)
Language,भाषा,Language
About,के बारे में,About
Resources,स्रोत,Source
Vaccination Schedule,टीकाकरण सूची,_Other Organiser
Dashboard,डैशबोर्ड,Dashboard
Helpdesk,हेल्पडेस्क,Helpdesk
Beneficiary Redressal,लाभार्थी निवारण/उपाय,Free/Busy
State Helpdesk,राज्य सहायता केंद्र,The Kingdom Aid Center
FAQ,अक्सर पूछे जाने वाले प्रश्न,Frequently Asked Questions
Poshan Calculator,पोषण कैल्कुलेटर/ मापक,Boiling calculator/ scale
Login,लॉगिन,Login
Anganwadi Workers,आँगनवाड़ी कार्यकर्ता,Calendar Event: It has no summary.
Download Mobile App from Play Store,प्ले स्टोर से मोबाइल एप्प डाउनलोड करें,Download Mobile Up From Game Store
Scan the QR Code to Download the App,एप्प को डाउनलोड करने के लिए QR कोड को स्कैन करें,Scan QR code to download up
What’s New on Poshan Tracker,पोषण ट्रैकर में नया क्या है,What new items are in the trash bin
Poshan Tracker adds new application features,पोषण ट्रैकर ने नई एप्लिकेशन फीचर जोड़ा है,Fishing wire makes bad dental floss
Poshan Tracker adds new Reports feature,पोषण ट्रैकर ने नई रिकॉर्ड फीचर जोड़ा है,Fishing wire makes bad dental floss
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर ने वेबसाइट सुविधा पर नई संसाधन जोड़ा है,Querying tracker has added new resources to the web site
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन,A resource for development monitoring and general vigilance
Growth monitoring charts,विकास पर्यवेक्षण चार्ट,Development monitor chart
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन,New delivery configuration with skip OTP options
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है,Mobile number must be authenticated within a week
Anganwadi Worker profile page,आंगनवाड़ी कार्यकर्ता प्रोफाइल पेज,Hobbies Worker's Profile Page
Stunting and Underweight Growth Parameters,बौनापन और सामान्य से कम वजन के विकास मानक,Standardised development of less than one input and less than normal output
Beneficiaries status change notifications,लाभार्थियों की स्थिति परिवर्तन सूचनाएं,The status information for the vendors
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण,Move from one class to another
Beneficiary record becoming inactive,निष्क्रिय हो रहा लाभार्थी का रिकॉर्ड,The battery is now inactive
Beneficiary migration from one AWC to another AWC,एक AWC से दूसरे AWC में लाभार्थी का स्थानांतरण,Transfer from one AWC to another AWC
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी का विलोपन,Destroyed by AWW
Default language selection,डिफ़ॉल्ट भाषा चयन,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","लाभार्थी AWW चिंता अभिगम्यता, एक बार हल हो जाने पर स्थिति अपडेट के साथ","Assistive AWW anxiety accessibility, with status update whenever possible"
Growth monitoring report for all health indicators,सभी स्वास्थ्य संकेतकों के लिए विकास निगरानी रिपोर्ट,Development monitoring report for all health indicators
Application downloaded status by AWW,आंगनवाड़ी कार्यकर्ता द्वारा एप्लीकेशन डाउनलोड की स्थिति,The status of the applet being downloaded by the organizer
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,लाभार्थी गणना रिपोर्ट : निष्क्रिय होने वाले रिकॉर्डों  की संख्या और एक श्रेणी से दूसरी श्रेणी में जाने वाले रिकॉर्डों  की संख्या,Product Count Report: Number of accounts to be disabled and number of accounts to be sent from one category to another
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,विश्व स्वास्थ्य संगठन द्वारा परिभाषित मानकों के आधार पर बच्चों के विकास को मापने के लिए पोषण मापक का निर्माण किया गया।.,The World Health Organization has designed a pollutant scale to measure children's development on the basis of standards defined by the World Health Organization.
How to use Poshan Calculator?,पोषण मापक का उपयोग कैसे करें?,How to use the dust measure?
Select Gender,लिंग का चयन करें,Select Link
Enter Date of Birth,जन्म तिथि दर्ज करें,_Other Organiser
Enter Height in centimeter,सेंटीमीटर में ऊँचाई दर्ज करें,Centimeter-to-centimeter-to-inch conversion factor
Enter Weight in kilogram,किलोग्राम में वजन दर्ज करें,Load Average in kilograms
Click on Show Results,परिणाम दिखाएँ पर क्लिक करें,Click to show results
Gender ,लिंग ,Ling
*,*,* (See footnote.)
Boy,लड़का,Boys
Girl,लड़की,Girls
Date of Birth ,जन्म तिथि ,_Other Organiser
Height (CM) ,ऊँचाई (सें.मी.) ,Height (cm)
*Height should be between 38 to 150,*ऊँचाई 38 सँ 150 केर बीच होयबाक चाही,* Height should be between 38 and 150
CM,सें.मी.,"S. M., United States"
Weight (KG) ,वजन (कि.ग्रा.) ,Vega (k.a.)
*Weight should be between 0.90 to 58,*वजन 0.90 सँ 58 केर बीच होयबाक चाही,* must be between 0.90 and 58
KG,कि.ग्रा.,"K., United States"
Show Results,परिणाम सभ देखाउ,Show all results
ABHA (Health ID) and its Benefits,ABHA (स्वास्थ्य पहचान पत्र) और इसके लाभ,ABHA and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (पहले स्वास्थ्य पहचान पत्र के नाम से जाना जाता था) आयुष्मान भारत का संक्षिप्त रूप है।,ABHA (formerly known as the previous health certificate) is a summary of age India.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA के उपयोग द्वारा आपके और आपके परिवार के लिए (स्वास्थ्य पहचान पत्र) सुरक्षित और सक्षम डिजिटल स्वास्थ्य और अभिलेखों को संरक्षित करने की दिशा में उठाया गया पहला कदम है।,Using ABHA is the first step that has been taken to protect your and your family's safety and digital health and archives.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","यह आपके स्वास्थ्य प्रदाता के साथ आपको व्यवहार्य कुशल बनाता है, और आपको सत्यापित स्वास्थ्य पेशवरों और स्वास्थ्य प्रदाताओं से मूल रूप से डिजिटल स्वास्थ्य अभिलेखों, पर्चियों एवं निदानों को प्राप्त करने की अनुमति प्रदान करता है।","This enables you to work with your health care provider, and allows you access to digital health archives, parties and services from certified health providers and health providers."
Know More,अधिक जानें,Go To
×,×,x
Frequently Asked Questions,अक्सर पूछे जाने वाले प्रश्न,Frequently Asked Questions
ALL,सभी,All
BENEFICIARY REGISTRATION,लाभार्थी का पंजीकरण,Registering of Providers
Take Home Ration,घर ले जाने वाला राशन,Home Retirement
Hot Cooked Meal,हॉट कूक्ड मील,Hot-Cooked Mail
What is Poshan Abhiyaan?,पोषण अभियान क्या है?,What is “the spirit of the world ”?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","पोषण अभियान, एक लक्षित दृष्टिकोण और अभिसरण द्वारा बच्चों, किशोरों, गर्भवती महिलाओं और स्तनपान कराने वाली माताओं के लिए पोषण संबंधी परिणामों में सुधार करने के लिए भारत का प्रमुख कार्यक्रम है।","India’s main programme is to improve nutrition outcomes for children, young people, pregnant women and pregnant mothers by focusing attention and study."
What is the purpose of Launching Poshan Tracker?,पोषण ट्रैकर लॉन्च करने का उद्देश्य क्या है?,What is the purpose of starting a pollutant?
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.","पोषण ट्रैकर एप्लिकेशन का उद्देश्य आंगनवाड़ी केंद्र (एडब्ल्यूसी), आंगनवाड़ी कर्मचारी (एडब्ल्यूडब्ल्यू) की सेवा प्रदान करने वाली गतिविधियों और गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों के लिए पूर्ण लाभार्थी प्रबंधन की गतिविधियों का 360 डिग्री दृश्य प्रदान करना है। प्रस्तावित प्रणाली को सभी एडब्ल्यूसी, एडब्ल्यू डब्ल्यू और लाभार्थियों को परिभाषित संकेतक पर वास्तविक समय की निगरानी और समझना सक्षम करना चाहिए।","The purpose of the polling trucker application is to provide 360 degrees of performance management for drivers and pregnant women who provide services for the assembly workers (adBluctures), mothers who are pregnant and children. The proposed system should be able to monitor and understand the real-time indicators for all ADBLUS, ADBLU and suppliers."
How can one Download Poshan Tracker App?,पोषण ट्रैकर ऐप को कैसे डाउनलोड किया जा सकता है?,How can you download the feed tracker up?
Poshan Tracker App is available over Google playstore ,पोषण ट्रैकर ऐप गूगल प्ले स्टोर ,Fishing wire makes bad dental floss
Is poshan trackers app available over Apple I Store also?, पर उपलब्ध है।,But it's available.
"No, Poshan Tracker is available only for Android version",कोई पोषण ट्रैकर केवल एंड्रॉइड संस्करण के लिए उपलब्ध नहीं है।,No query tracker is available for an Andrew only version.
What is the minimum requirement to install Poshan Tracker App in mobile?,मोबाइल में पोषण ट्रैकर ऐप इंस्टॉल करने के लिए न्यूनतम आवश्यकता क्या है?,What is the minimum required to install feed tracker up in the mobile?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।,The feed tracker up can only be installed in the Android version 6.0 on the Android phone and later on.
View All FAQs,सभी FAQs देखें,View All FAQs
Can a beneficiary register directly using application.,क्या कोई लाभार्थी आवेदन के उपयोग द्वारा सीधे पंजीकरण कर सकता है।,Whether to register directly with a provider request.
Currently a beneficiary can register by the help of an AWW,"वर्तमान में, एक लाभार्थी आँगनवाड़ी कार्यकर्ता की सहायता से पंजीकरण करा सकता है","Currently, a profitable search engine can be registered with the help of an operator"
Who is a beneficiary?,लाभार्थी कौन है?,Who is the deliverer?
There are 6 categories for beneficiaries,यहाँ लाभार्थियों की 6 श्रेणियाँ हैं,There are 6 groups of suppliers here.
Pregnant Women,गर्भवती महिला,pregnant woman
Lactating Mother,स्तनपान कराने वाली माता,Mothers Stamping
Children from 0 to 6 months,0-6 माह तक के बच्चे,Children aged 0-6 months
Children from 6 months to 3 years,6 माह - 3 वर्ष तक के बच्चे,6 Months - Three Years - Old
Children from 3 years to 6 years,6 वर्ष - 3 वर्ष तक के बच्चे,From 6 Years to 3 Years
Adolescent girls,किशोरी लड़कियाँ/बालिकाएँ,Young People/Kidneys
Can a beneficiary change his/her AWC?,क्या कोई लाभार्थी अपना आँगनवाड़ी केंद्र परिवर्तित कर सकता है?,Can a supplier change its engine center?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,एक आँगनवाड़ी कार्यकर्ता अपनी आधार संख्या के आधार पर किसी लाभार्थी को एक आँगनवाड़ी केंद्र से दूसरे आँगनवाड़ी केंद्र में स्थानांतरित करने के लिए 'माइग्रेट लाभार्थी' के विकल्प का उपयोग कर सकता है।,"On the basis of its base number, a search engine may use the 'Migret lab' option to move a search centre from one search center to another."
What is the eligibility of a beneficiary?,लाभार्थी की पात्रता क्या है?,What is Labyrinth’s origin?
A beneficiary is eligible for THR for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए THR के लिए पात्र है।,There's at least 21 days a month for THR.
Who is eligible for Take Home Ration?,टेक होम राशन के लिए कौन पात्र है?,What's the card for the tek home run?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","गर्भवती महिलाएँ, स्तनपान कराने वाली माताएँ, 6 महीने से 3 वर्ष तक के बच्चे और किशोर लड़कियाँ।","pregnant women, pregnant mothers, children from 6 months to 3 years of age and young girls."
Where can I enquire about take home ration?,मैं टेक होम राशन के बारे में कहाँ पूछ सकता हूँ?,Where can I ask about the tek home crash?
Please contact your respective Anganwadi worker.,"कृपया, अपने संबंधित आँगनवाड़ी कार्यकर्ता से संपर्क करें।",Please contact your provider.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक भोजन के लिए कौन पात्र है।,What's the paper for extra food?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषण की कमी वाले बच्चों के रूप में पहचाना जाने वाले बच्चे अतिरिक्त पूरक आहार के लिए पात्र हैं।,Children who are known to be undernourished as children have additional food supplements.
A beneficiary is eligible for HCM for at least 21 days in a month.,एक लाभार्थी महीने में कम से कम 21 दिनों के लिए HCM के लिए पात्र है।,There's at least 21 days a month for HCM.
Who is eligible for Hot Cooked Meal?,गर्म पके हुए भोजन के लिए कौन पात्र है?,What is the recipe for a hot meal?
Children in the age group of 3 years to 6 years,3-6 वर्ष तक की आयु वाले बच्चे,Children 3-6 years of age
Where can I enquire about Hot Cooked Meal?,मैं गर्म पके हुए भोजन के बारे में कहाँ से पूछताछ कर सकता हूँ?,Where can I ask you about hot food?
Please contact your respective Anganwadi Centre.,"कृपया, अपने संबंधित आँगनवाड़ी केंद्र से संपर्क करें।",Please contact your connected identifier centre.
Who is eligible for additional supplementary food?,अतिरिक्त पूरक आहार के लिए कौन पात्र है?,What is the key to food supplements?
We are now available on Video Conference,अब हम वीडियो कॉन्फ्रेंस पर उपलब्ध हैं,We are now available at video conferences
State Video Conference,राज्य वीडियो सम्मेलन,Kingdom Video Conferencing
Monday to Friday ,सोमवार से शुक्रवार ,From Monday to Friday
Join Now,अभी जुड़ें,Connect Now
Anganwadi Worker Training,आंगनबाडी कार्यकर्ता प्रशिक्षण,Ordinance Processor Training
Support,सहायता,Help
 14408, 14408,14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in,support-posthantrackr@gov.in
Download Mobile App,मोबाइल एप्प डाउनलोड करें,Download Mobile Up
Terms of Service,सेवा की शर्तें,Conditions of Service
Privacy Policy,गोपनियता नीति,Privacy Policy
Careers,अवसर,Organisation
About Poshan Tracker,पोषण ट्रैकर के बारे में,About Compulsory Tracker
Poshan Tracker App,पोषण ट्रैकर एप्प,Question Tracker Up
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","1 मार्च 2021 को राष्ट्रीय e-शासन विभाग के महिल एवं बाल विकास मंत्रालय, भारत द्वारा सरकार एप्प एक मोबाइल आधारित आवेदन ""पोषण ट्रैकर"" का पदार्पण मेरी सरकार नामक एक महत्वपूर्ण टूल के माध्यम से किया गया। पोषण ट्रैकर के तहत प्रौद्यौगिकी का उपयोग स्टंटिंग, वेस्टिंग, कम वजन वाले बच्चों की पहचान और पोषण सेवा के वितरण को गतिशील पहचान देने में किया जा सकता है।.","On 1 March 2021, a woman and a child development department of the National e-government Department, India, made the provision of a mobile application ""pollution tractor"" by the government through an important tool known as my government tool. The use of education trainer's technology can be quickly identified by standing, Westing, the identification and distribution of low-income children."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,पोषण ट्रैकर को आँगनवाड़ी कार्यकर्ताओं के उत्तम सेवा वितरण के साथ कार्यों के बेहतर प्रदर्शन के लिए प्रदान किया गया है। यह पोषण अभियान के तहत महत्वपूर्ण और लाभार्थी केन्द्रित सेवा वितरण एप्लिकेशन है जो वास्तविक समयावधि के साथ विश्लेषण को भी प्रोत्साहित करेगा।.,The polling truck has been provided for a better performance of the work with the best distribution of service providers. This is an important and profitable central service distribution application that will also encourage analysis with real-time.
WHAT ARE,क्या हैं,What's up?
Poshan Tracker Features,पोषण ट्रैकर की विशेषताएँ,Power Tracker Properties
Real time recording and Monitoring,वास्तविक समयावधि की रिकॉर्डिंग और निगरानी,Real-time recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","यह पोषण ट्रैकर परिभाषित संकेतकों के आधार पर वास्तविक समयावधि और सभी आँगनवाड़ी कार्यकर्ताओं के साथ-साथ लाभार्थियों की ट्रैकिंग और निगरानी सक्षम बनाता है। इसका निर्माण केंद्रीकृत आँकड़ों के ढाँचों का उपयोग करके किया जाता है जिसमें अन्य मंत्रालय और उनके कार्यक्रम डिजिटल प्रणाली द्वारा एक संरेखित होते हैं। इसका उद्देश आँगनवाड़ी केन्द्रों की गतिविधियों, आँगनवाड़ी कार्यकर्ताओं की सेवा वितरण, और गर्भवती महिलाओं, स्तनपान कराने वाली महिलाओं और बच्चों के सम्पूर्ण लाभार्थी प्रबंधन का 360 डिग्री अर्थात चौतरफा दृष्टिकोण प्रदान करना है। पब्लिक डैसबोर्ड का प्रमुख कार्य लाभार्थी को प्रदत सेवा में पारदर्शिता को बनाए रखने में सहायता प्रदान करना है।.","This setting enables the actual duration and monitoring of the tracker on the basis of the indicators defined by the tracker, along with all the generator operators. It is used to build blocks of centralised data, where other software and their programs are coordinated by their digital system. Its purpose is to provide information on the methods of distribution of the engine centres, the services of the engine operators, and pregnant women, women and children. The results of the entire laboratory are described in a 360 degree description."
Services Delivered,प्रदत सेवा,Assigned Service
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","एक बटन के क्लिक द्वारा लाभार्थी के साथ-साथ सेवाओं की अंतिम रूप से ट्रैकिंग करना। टेक होम राशन, हॉट कुक्ड मील, गर्भवती महिलाओं और बच्चों के टीकाकरण जैसी सेवाएँ-.","By clicking on a button, you'll be able to track services with your partner. Tek home resolution, hotcut miles, pregnant women and children's criticism services."
Growth Measurement,वृद्धि/विकास माप,Size of the expander arrow
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","AWW द्वारा मासिक आधार पर विभिन्न आयु वाले बच्चों की निगरानी करना। स्वास्थ्य संकेतक जैसे-स्टंटिंग, वेस्टिंगऔर कम वजन से संबंधित मामलों को विश्व स्वास्थ्य संगठन के मानक के अनुसार मापा जाता है। बच्चों को प्रासंगिक और आवधिक सहायता प्रदान करने में नियमित विकास निगरानी आँगनवाड़ी कार्यकर्ताओं को सक्षम बनाता है।.",Monitoring children of different ages on a monthly basis by AWW. Health indicators are measured according to the standards of the World Health Organization. They enable regular development monitor operators to provide administrative and periodic assistance to children.
Home Visit Alerts,गृह-यात्रा संकेतक,_Home Page:
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.",पोषण ट्रैकर लाभार्थियों के महत्वपूर्ण स्व-चालित संकेतकों का निर्माण करता है। यह लाभार्थियों और कर्तव्य धारकों की वास्तविक सामयिक उपस्थिति का दस्तावेजीकरण करके वितरण प्रणाली की कुशल लेखा परीक्षा की भी सुनिश्चितता करता है। यह प्रबंधन सूचना प्रणाली पोषण कार्यक्रम और उससे संबंधित दस्तावेजीकरण की कुशलता से वृद्धि करते हुए सकारात्मक प्रभाव को उत्पन्न करने में सहायता करेगी।.,Determines whether to create important autostart indicators for the forwarding of developers. This also ensures that the distribution system's convenient documentation is documented by documenting the actual presence of the developers and the task manager. This feature will help you to generate a positive effect by increasing your system's browsing capacity and related documentation.
Learning Videos,विडियो से सीखना,Learn From the Video
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु मदर केयर के साथ अपने कमजोर नवजात बच्चों की देखभाल कैसे करें,How to take care of your weak newborn children with kangaroo metro Cairo
Preventing illnesses to avert Malnutrition and Death,कुपोषण और मृत्यु पर रोक के संदर्भ में बीमारियों से बचाव,Protection From Diseases With regard to the Prevention of Cosmosis and Death
Prevention of Anemia in children and adolescents girls,बच्चों और किशोरियों में होने वाली रक्त की कमी से बचाव,Avoid lower blood pressure in children and adolescents
Birth Preparedness- For Institutional and Home Delivery,जन्म से पूर्व तैयारी-नैदानिकों और गृह प्रसव के संदर्भ में,In connection with pre-birth preparations and house-to-house celebrations
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर नवजात शिशु की देखभाल- हमारे द्वारा कितने कमजोर शिशुओं की अनदेखी हुई है?,How many weak children have we had to care for?
Feeding During Illness,बीमारी के दौरान स्तनपान,"When I was sick, I had to go to a hospital."
Preparation During Pregnancy - For NewBorn Care & Family Planning,गर्भावस्था के दौरान की जाने वाली तैयारी- नवजातों की देखभाल और परिवार नियोजन के संदर्भ में,Caring for preparations for pregnancy and family planning
Ensuring Exclusive Breastfeeding,त्वरित रूप से स्तनपान को सुनिश्चित करना,Confirm expeditiously Column
Assessment of growth in children,बच्चों में विकास का मूल्यांकन,The Value of Development in Children
Preventing anemia in women,महिलाओं का एनीमिया से बचाव,Protection From Women’s Anonymity
Complementary Feeding - Diet Diversity,पूरक स्तनपान-विविधता पूर्ण आहार,Complete column header-diversity complete
Identification and care of a Weak Newborn baby,कमजोर नवजात शिशु की पहचान और देखभाल,"The New World Translation of the Holy Scriptures — With References states: “The sons of the true God began to notice the daughters of men, that they were good - looking; and they went taking wives for themselves, namely, all whom they chose. ”"
Observing Breastfeeding In Newborn Babies,नवजात शिशुओं के स्तनपान संबंधी मामलों पर ध्यान देना,Focusing on New Children’s Stimulating Matters
Planning And Organising Community Based Events At AWC,आँगनवाड़ी केंद्र पर सामुदायिक आधार पर कार्यक्रमों की योजना बनाना एवं उसे व्यवस्थित करना,Design and organise programs on a social basis at the center of the calendar
Making or Updating Home Visit Planner and Initiating home visits,देखभाल कर्ता की गृह यात्रा संबंधी योजनाओं का निर्माण करना और उन्हें अद्यतित करते रहना,Create and update caret travel plans
Ensuring that complementary feeding improves over time,समय के साथ पूरक आधार की सुनिश्चिता करना,Assurance of full - time support
How to ensure timely initiation of complementary feeding,पूरक पोषण की आवधिक सुनिश्चितता कैसे करें,How to provide long-term confirmation of complete submission
Identifying and preventing Severe Acute Malnutrition,गंभीर कुपोषण की पहचान और बचाव,Recognizing and Safeguarding Serious Confusion
Identification & Referral of Sick Newborn,संदर्भित बीमार नवजात की पहचान,Recognizing the Consequences of Disease
Supporting mothers with issues in Breastfeeding,स्तनपान कराने में अक्षम महिलाओं के लिए सहायता प्रदान करने वाली माताएँ,Mothers who are unable to cook help for women who are unable to cook
Why this Monthly Meeting?,मासिक बैठक की अनिवार्यता? (इस मासिक बैठक की आवश्यकता क्यों हैं?),Disability of a monthly meeting? (Why does this monthly meeting need?)
Awareness,जागरूकता,Brightness
ALL ,सभी ,All
GENERAL ,सामान्य ,General
Pregnant Women ,गर्भवती महिलाएं ,pregnant women
Lactating Mothers ,स्तनपान कराने वाली महिलाएँ ,Women Who Stood Up
CHILD CARE ,बाल देखभाल ,Child Care
General,आम,General
Download PDF,PDF डाउनलोड करें,Download PDF
General Awareness about Growth Monitoring of Children,बच्चों के विकास से संबंधित निगरानी के बारे में सामान्य जागरूकता,General Watch for Children’s Development
General Awareness about preventing illness in Children,बच्चों में बीमारियों से बचाव के बारे में सामान्य जागरूकता,Common Caution to Protect Children From Diseases
