en,or,translated_helsinki
ABHA (Health ID),ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID),ABHA (Saudi ID)
Language,ଭାଷା,Language
About,ବିଷୟରେ,About
Resources,ଉତ୍ସଗୁଡ଼ିକ,Sources
Vaccination Schedule,ଟୀକାକରଣ ସୂଚୀ,Can not open message
Dashboard,ଡ୍ୟାସବୋର୍ଡ,Dashboard
Helpdesk,ସହାୟତା ଡେସ୍କ,Help Disk
Beneficiary Redressal,ହିତାଧିକାରୀ ପ୍ରତିକାର,Could not close temporary folder: %s
State Helpdesk,ରାଜ୍ୟ ସହାୟତା,Could not close temporary folder: %s
FAQ,ପ୍ରାୟତଃ ପଚରାଯାଇଥିବା ପ୍ରଶ୍ନ,Prompted Questions
Poshan Calculator,ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର୍,Peripherals Calculator
Login,ଲଗଇନ,Login
Anganwadi Workers,ଅଙ୍ଗନୱାଡି କର୍ମୀ,Angwadi Work
Download Mobile App from Play Store,ପ୍ଲେ ଷ୍ଟୋରରୁ ମୋବାଇଲ୍ ଆପ୍ ଡାଉନଲୋଡ୍ କରନ୍ତୁ,Download mobiles from the play store
Scan the QR Code to Download the App,ଆପ୍ ଡାଉନଲୋଡ୍ କରିବାକୁ QR କୋଡ୍ ସ୍କାନ୍ କରନ୍ତୁ,QR code scan for downloading
What’s New on Poshan Tracker,ପୃଷ୍ଟିକର ଟ୍ରାକର୍ ରେ କଣ ନୂଆ ଅଛି,What new track the mouse has
Poshan Tracker adds new application features,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ଆପ୍ଲିକେସନ୍ ବୈଶିଷ୍ଟ୍ୟଗୁଡିକ ଯୋଡିଥାଏ,Adds a new application attribute
Poshan Tracker adds new Reports feature,ପୋଷଣ ଟ୍ରାକର୍ ନୂତନ ରିପୋର୍ଟ୍ ବୈଶିଷ୍ଟ୍ୟ ଯୋଡିଥାଏ,Adds a new report to the report's list
Poshan Tracker adds new Resources on Website,ପୋଷଣ ଟ୍ରାକର୍ ୱେବସାଇଟ୍ ବୈଶିଷ୍ଟ୍ୟରେ ନୂତନ ଉତ୍ସ ଯୋଡିଥାଏ,Adds a new source to the website properties of the query tracker
Resources for growth monitoring and general awareness,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଏବଂ ସାଧାରଣ ସଚେତନତା ପାଇଁ ସମ୍ବଳ,Watching for extra monitors and general warnings
Growth monitoring charts,ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ଚାର୍ଟଗୁଡିକ,Enhanced monitoring chats
New beneficiary addition with skip OTP option,ସ୍କିପ୍ OTP ବିକଳ୍ପ ସହିତ ନୂତନ ହିତାଧିକାରୀ ଯୋଗ,Add new authorization with the Script OTP option
Mobile number need to be validated within a week,ଏକ ସପ୍ତାହ ମଧ୍ୟରେ ମୋବାଇଲ୍ ନମ୍ଵର୍ ବୈଧ ହେବା ଆବଶ୍ୟକ,Mobile minimum must be valid within a week
Anganwadi Worker profile page,ଅଙ୍ଗନୱାଡି ୱାର୍କର ପ୍ରୋଫାଇଲ୍ ପୃଷ୍ଠା,Angwadi Worker's Profile Page
Stunting and Underweight Growth Parameters,ଷ୍ଟଣ୍ଟିଂ ଏବଂ କମ୍ ଓଜନ ଅଭିବୃଦ୍ଧି ପାରାମିଟର୍,STDIFIC AND MEDICAL DEVELOPMENT POLICY Parametres
Beneficiaries status change notifications,ହିତାଧିକାରୀଙ୍କ ସ୍ଥିତି ପରିବର୍ତ୍ତନ ବିଜ୍ଞପ୍ତିଗୁଡିକ,Could not close temporary folder: %s
Migrated from one category to another,ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ହୋଇଛି,Another class is replaced by another class
Beneficiary record becoming inactive,ହିତାଧିକାରୀ ରେକର୍ଡ ନିଷ୍କ୍ରିୟ ହେବା,Disable arbitrary records
Beneficiary migration from one AWC to another AWC,ହିତାଧିକାରୀ ଗୋଟିଏ ଏଡବ୍ଲୁସିରୁ ଅନ୍ୟ ଏକ ଏଡବ୍ଲୁସିକୁ ସ୍ଥାନାନ୍ତର,Can not initialise the Ximian Evolution shell.
Beneficiary deletion by AWW,ଏଡବ୍ଲୁଡବ୍ଲୁ ଦ୍ୱାରା ହିତାଧିକାରୀ ବିଲୋପ,Credits to the translators. This string should be marked as translatable
Default language selection,ଡିଫଲ୍ଟ ଭାଷା ଚୟନ,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","ହିତାଧିକାରୀ ଏଡବ୍ଲୁଡବ୍ଲୁକୁ ପ୍ରବେଶଯୋଗ୍ୟତା ବିଷୟରେ ଚିନ୍ତା କରନ୍ତି, ଥରେ ସମାଧାନ ହେବା ପରେ ସ୍ଥିତି ଅପଡେଟ୍ ସହ","Handles the accessibility policy, including status updates after a settlement"
Growth monitoring report for all health indicators,ସମସ୍ତ ସ୍ୱାସ୍ଥ୍ୟ ସୂଚକ ପାଇଁ ଅଭିବୃଦ୍ଧି ମନିଟରିଂ ରିପୋର୍ଟ,enhanced monitoring report for all static markers
Application downloaded status by AWW,ଏଡବ୍ଲୁଡବ୍ଲୁ ଦ୍ୱାରା ଆପ୍ଲିକେସନ୍ ଡାଉନଲୋଡ୍ ସ୍ଥିତି,Status of application download by debug
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,ହିତାଧିକାରୀ ଗଣନା ରିପୋର୍ଟ : ରେକର୍ଡଗୁଡିକର ସଂଖ୍ୟା ନିଷ୍କ୍ରିୟ ହେବା ଏବଂ ଗୋଟିଏ ବର୍ଗରୁ ଅନ୍ୟ ବର୍ଗକୁ ସ୍ଥାନାନ୍ତରିତ ରେକର୍ଡ୍ ସଂଖ୍ୟା,Credits to the translators. This string should be marked as translatable
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ଦ୍ୱାରା ବ୍ୟାଖ୍ୟା କରାଯାଇଥିବା ମାନାଙ୍କ ଉପରେ ଆଧାର କରି ଶିଶୁର ଅଭିବୃଦ୍ଧି ମାପିବା ପାଇଁ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଡିଜାଇନ୍ କରାଯାଇଛି.,The peer's calculator is designed to measure the child's growth based on the manna defined by WHO.
How to use Poshan Calculator?,ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର କିପରି ବ୍ୟବହାର କରିବେ?,How to use peer's calculator?
Select Gender,ଲିଙ୍ଗ ଚୟନ କରନ୍ତୁ |,Select Link 7
Enter Date of Birth,ଜନ୍ମ ତାରିଖ ପ୍ରବେଶ କରନ୍ତୁ |,Enter _Birthday:
Enter Height in centimeter,ସେଣ୍ଟିମିଟରରେ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |,Enter height in centimetres
Enter Weight in kilogram,କିଲୋଗ୍ରାମରେ ଓଜନ ପ୍ରବେଶ କରନ୍ତୁ |,Get speed in kilograms
Click on Show Results,ଶୋ' ଫଳାଫଳ ଉପରେ କ୍ଲିକ୍ କରନ୍ତୁ |,Click to deal a new hand
Gender,ଲିଙ୍ଗ,Ling
Boy,ବାଳକ,Organisation
Girl,ବାଳିକା,Baltic
Date of Birth,ଜନ୍ମ ତାରିଖ,_Other Organiser
Height (CM),ଉଚ୍ଚତା (ସେମି),Height (Semi)
*Height should be between 38 to 150,*ଉଚ୍ଚତା 38 ରୁ 150 ମଧ୍ୟରେ ହେବା ଉଚିତ୍,* Height should be between 38 and 150
CM,ସେମି,Semy
Weight (KG),ଓଜନ (କେଜି),Warning (Casey)
*Weight should be between 0.90 to 58,*ଓଜନ 0.90 ରୁ 58 ମଧ୍ୟରେ ହେବା ଉଚିତ୍,* Age must be between 0.90 and 58
KG,କେଜି,Caji
Show Results,ଫଳାଫଳଗୁଡିକ ଦେଖାନ୍ତୁ,Show _Effects
ABHA (Health ID) and its Benefits,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ଏବଂ ଏହାର ଉପକାରିତା,ABA (valid ID) and its utility
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ପୂର୍ବରୁ ସ୍ୱାସ୍ଥ୍ୟ ID ଭାବରେ ଜଣାଶୁଣା) ଆୟୁଷ୍ମାନ ଭାରତ ସ୍ବାସ୍ଥ୍ୟ ଖାତା ପାଇଁ ଏକ ସଂକ୍ଷିପ୍ତ ଶବ୍ଦ |,Abha (formerly known as a security ID) is a short word for an Indian public account.
Using ABHA (Health ID) is the first step towards creating safer and efficient digital health records for you and your family.,ABHA (ସ୍ୱାସ୍ଥ୍ୟ ID) ବ୍ୟବହାର କରିବା ଆପଣଙ୍କ ଏବଂ ଆପଣଙ୍କ ପରିବାର ପାଇଁ ନିରାପଦ ଏବଂ ଦକ୍ଷ ଡିଜିଟାଲ୍ ସ୍ୱାସ୍ଥ୍ୟ ରେକର୍ଡ ସୃଷ୍ଟି କରିବାର ପ୍ରଥମ ପଦକ୍ଷେପ |,The first way to create free and low-digital security records for you and your family is to use ABHA.
"It enables your interaction with participating healthcare providers, and allows you to receive your digital lab reports, prescriptions and diagnosis seamlessly from verified healthcare professionals and health service providers.","ଏହା ଅଂଶଗ୍ରହଣକାରୀ ସ୍ୱାସ୍ଥ୍ୟସେବା ପ୍ରଦାନକାରୀଙ୍କ ସହିତ ଆପଣଙ୍କର ପାରସ୍ପରିକ କ୍ରିୟାକୁ ସକ୍ଷମ କରିଥାଏ ଏବଂ ଯାଞ୍ଚ ହୋଇଥିବା ସ୍ୱାସ୍ଥ୍ୟ ସେବା ବୃତ୍ତିଗତ ଏବଂ ସ୍ୱାସ୍ଥ୍ୟ ସେବା ପ୍ରଦାନକାରୀଙ୍କ ଠାରୁ ଆପଣଙ୍କର ଡିଜିଟାଲ୍ ଲ୍ୟାବ୍ ରିପୋର୍ଟ, ପ୍ରେସକ୍ରିପସନ୍ ଏବଂ ନିରାକରଣକୁ ନିରନ୍ତର ଭାବରେ ଗ୍ରହଣ କରିବାକୁ ଅନୁମତି ଦେଇଥାଏ |","This enables you to work with the Participant and allows you to receive your digital library reports, transcripts and structures from your digital service provider."
Know More,ଅଧିକ ଜାଣନ୍ତୁ,Learn More
Frequently Asked Questions,ପ୍ରାୟତଃ ପଚରାଯାଇଥିବା ପ୍ରଶ୍ନ,Prompted Questions
ALL,ସମସ୍ତ,All
BENEFICIARY REGISTRATION,ହିତାଧିକାରୀ ପଞ୍ଜିକରଣ,Could not close temporary folder: %s
Take Home Ration,ଘର ରାସନ ନିଅନ୍ତୁ,Home Retrieval
Hot Cooked Meal,ଗରମ ରନ୍ଧା ଖାଦ୍ୟ,Gram-to-ounce Depreciation
What is Poshan Abhiyaan?,ପୋଷନ୍ ଅଭିଯାନ କଣ ଅଟେ?,What is the last statement?
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ଶିଶୁ, କିଶୋର, ଗର୍ଭବତୀମାନଙ୍କ ପାଇଁ ପୁଷ୍ଟିକର ପରିଣାମକୁ ସୁଦୃଢ଼ କରିବା ପାଇଁ ପୋଷନ୍ ଅଭିଆନ୍ ହେଉଛି ଭାରତର ଏକ ପ୍ରମୂଖ କାର୍ଯ୍ୟକ୍ରମ ।","A major event in India is asked to improve the growth of rice for the Shichu, Kishur, and the poor."
What is the purpose of Launching Poshan Tracker?,ପୋଷନ୍ ଟ୍ରାକର୍ ଆରମ୍ଭ କରିବାର ଉଦ୍ଦେଶ୍ୟ କଣ?,What is the goal of the track start?
