en,pa,translated_helsinki
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ),ABHA (Tribe of Judah)
Language,ਭਾਸ਼ਾ,Language
About,ਦੇ ਬਾਰੇ,About
Resources,ਸਰੋਤ,Source
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ,_Other Organiser
Dashboard,ਡੈਸ਼ਬੋਰਡ,Dashboard
Helpdesk,ਹੈਲਪਡੈਸਕ,_Helpdisk
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ,Useful links
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ,State Help Disk
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ,Frequently Asked Questions
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ),Cannot initialise Evolution's mail component.
Login,ਲਾਗਇਨ,Login
Anganwadi Workers,ਆਂਗਣਵਾੜੀ ਵਰਕਰ,Fireworks
Download Mobile App from Play Store,ਪਲੇ ਸਟੋਰ ਤੋਂ ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ,Download Mobile Up From Game Store
Scan the QR Code to Download the App,ਐਪ ਡਾਊਨਲੋਡ ਕਰਨ ਲਈ ਕਿਊਆਰ ਕੋਡ ਨੂੰ ਸਕੈਨ ਕਰੋ,Scan the queue code to download
What’s New on Poshan Tracker,ਪੋਸ਼ਣ ਟਰੈਕਰ 'ਤੇ ਨਵਾਂ ਕੀ ਹੈ,What's New in Search Tracker
Poshan Tracker adds new application features,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਐਪਲੀਕੇਸ਼ਨ ਵਿਸ਼ੇਸ਼ਤਾ ਜੁੜਦੀ ਹੈ,Adds a new application attribute to the search tracker
Poshan Tracker adds new Reports feature,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਰਿਪੋਰਟ ਵਿਸ਼ੇਸ਼ਤਾ ਜੁੜਦੀ ਹੈ,Adds a new report property to the search tracker
Poshan Tracker adds new Resources on Website,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਵਿੱਚ ਨਵੀਂ ਵੈੱਬਸਾਈਟ ਉੱਤੇ ਸ੍ਰੋਤ ਵਿਸ਼ੇਸ਼ਤਾ ਜੁੜਦੀ ਹੈ,Adds a new source attribute to the search tracker
Resources for growth monitoring and general awareness,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਅਤੇ ਆਮ ਜਾਗਰੂਕਤਾ ਲਈ ਸ੍ਰੋਤ,A Source of Growth and Common Watchfulness
Growth monitoring charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਚਾਰਟ,Cannot initialise Evolution's mail component.
New beneficiary addition with skip OTP option,OTP ਛੱਡੋ ਵਿਕਲਪ ਦੇ ਨਾਲ ਨਵਾਂ ਲਾਭਪਾਤਰੀ ਐਡੀਸ਼ਨ,New utility edit with OTP Leave Option
Mobile number need to be validated within a week,ਮੋਬਾਇਲ ਨੰਬਰ ਦਾ ਹਫਤੇ ਵਿੱਚ ਵੈਧ ਕਰਾਉਣ ਦੀ ਲੋੜ ਹੈ,Mobile number must be valid weekly
Anganwadi Worker profile page,ਆਂਗਣਵਾੜੀ ਕਰਮਚਾਰੀ ਪ੍ਰੋਫ਼ਾਈਲ ਪੇਜ,Paragraph Work Profile Page
Stunting and Underweight Growth Parameters,ਸਟੰਟਿੰਗ ਅਤੇ ਘੱਟ ਭਾਰ ਵਿਕਾਸ ਮਾਪਦੰਡ,Pauses and lowers the volume of the volume
Beneficiaries status change notifications,ਲਾਭਪਾਤਰੀਆਂ ਦਾ ਸਟੇਟਸ ਨੋਟੀਫਿਕੇਸ਼ਨਾਂ ਬਦਲਦਾ ਹੈ,Changing the state of the user notifications
Migrated from one category to another,ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,Switching From one topic to another
Beneficiary record becoming inactive,ਲਾਭਪਾਤਰੀ ਰਿਕਾਰਡ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ,The Affliction of a Useful Record
Beneficiary migration from one AWC to another AWC,ਇੱਕ AWC ਤੋਂ ਦੂਸਰੇ AWC ਤੱਕ ਲਾਭਪਾਤਰੀ ਮਾਈਗ੍ਰੇਸ਼ਨ,Useful migration from one AWC to another AWC
Beneficiary deletion by AWW,AWW ਦੁਆਰਾ ਲਾਭਪਾਤਰੀ ਮਿਟਾਉਣਾ,Benefiting From AWWW
Default language selection,ਮੂਲ ਭਾਸ਼ਾ ਚੋਣ,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","ਲਾਭਪਾਤਰੀ AWW ਤੋਂ ਪਹੁੰਚ ਦੀ ਚਿੰਤਾ ਵਿਅਕਤ ਕਰਦਾ ਹੈ, ਸਮੇਤ ਸਟੇਟਸ ਅਪਡੇਟ ਜਦੋਂ ਪ੍ਰਵਾਨਿਤ ਹੁੰਦਾ ਹੈ","Allows people to access a useful AWW, including the state update when requested"
Growth monitoring report for all health indicators,ਸਾਰੇ ਸਿਹਤ ਸੰਕੇਤਕਾਂ ਲਈ ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਰਿਪੋਰਟ,Development Monitoring Report for All Healthy Signs
Application downloaded status by AWW,AWW ਦੁਆਰਾ ਐਪਲੀਕੇਸ਼ਨ ਡਾਊਨਲੋਡ ਕੀਤੀ,Application has been downloaded by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,ਲਾਭਪਾਤਰੀ ਗਿਣਤੀ ਰਿਪੋਰਟ : ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਅਕਿਰਿਆਸ਼ੀਲ ਹੋਣਾ ਅਤੇ ਕਈ ਰਿਕਾਰਡਾਂ ਦਾ ਇੱਕ ਸ਼੍ਰੇਣੀ ਤੋਂ ਦੂਸਰੀ ਵਿੱਚ ਬਦਲਣਾ,Useful Count Reports: Achieving a number of records and changing a number of records from one choice to another
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ ਵਿਸ਼ਵ ਸਿਹਤ ਸੰਗਠਨ (ਡਬਲਿਊ ਐਚ ਓ) ਦੁਆਰਾ ਪਰਿਭਾਸ਼ਿਤ ਮਾਪਦੰਡਾਂ ਦੇ ਅਧਾਰ ਤੇ ਬੱਚੇ ਦੇ ਵਿਕਾਸ ਨੂੰ ਮਾਪਣ ਲਈ ਤਿਆਰ ਕੀਤਾ ਗਿਆ ਹੈ।.,The World Health Organization (WHO) has developed a search calculator to kill children's development on the basis of affected parents and children's development.
How to use Poshan Calculator?,ਪੋਸ਼ਨ ਕੈਲਕੁਲੇਟਰ ਦੀ ਵਰਤੋਂ ਕਿਵੇਂ ਕਰੀਏ?,How to use a mail calculator?
Select Gender,ਲਿੰਗ ਚੁਣੋ,Select Link
Enter Date of Birth,ਜਨਮ ਮਿਤੀ ਦਰਜ ਕਰੋ,_Other Organiser
