en,ta,translated_helsinki
ABHA (Health ID),ABHA (சுகாதார ஐடி),ABHA (Catholic ID)
Language,மொழி,Language
About,பற்றி,About
Resources,வளங்கள்,Developments
Vaccination Schedule,தடுப்பூசி அட்டவணை,Cannot initialise Evolution's mail component.
Dashboard,டாஷ்போர்டு,Dashford
Helpdesk,உதவி மேசை,Help table
Beneficiary Redressal,பயனாளிகளின் தீர்வு,User-Delegated
State Helpdesk,மாநில உதவி மையம்,The State Aid Center
FAQ,அடிக்கடி கேட்கப்படும் கேள்விகள்,Frequently Asked Questions
Poshan Calculator,போஷன் கால்குலேட்டர்,Possian Calculator
Login,உள்நுழைவு,Login
Anganwadi Workers,அங்கன்வாடி பணியாளர்கள்,Could not close temporary folder: %s
Download Mobile App from Play Store,Play Store இலிருந்து மொபைல் பயன்பாட்டைப் பதிவிறக்கவும்,Download mobile applications from the Play Store
Scan the QR Code to Download the App,பயன்பாட்டைப் பதிவிறக்க QR கோடை ஸ்கேன் செய்யவும்,QR mid-scan to download applications
What’s New on Poshan Tracker,போஷன் டிராக்கரில் புதிதாக என்ன இருக்கிறது,What's New in the Posson Tractor?
Poshan Tracker adds new application features,ரோஷன் டிராக்கர் புதிய பயன்பாடு அம்சங்களைச் சேர்க்கிறது,Adds new application components
Poshan Tracker adds new Reports feature,ரோஷன் டிராக்கர் புதிய அறிக்கைகள் அம்சத்தைச் சேர்க்கிறது,Adds a new component to the report
Poshan Tracker adds new Resources on Website,ரோஷன் இணையதள அம்சத்தில் புதிய வளங்களைச் சேர்க்கிறது,Adds new developments to the Roson Web site
Resources for growth monitoring and general awareness,வளர்ச்சியைக் கண்காணித்தல் மற்றும் பொதுவான புரிதலுக்கான வளங்கள்,Developments to monitor growth and public understanding
Growth monitoring charts,வளர்ச்சி கண்காணிப்பு வரைபடங்கள்,Development Monitor drawings
New beneficiary addition with skip OTP option,ஓ டி பியைத் தவிர்க்கும் விருப்பத் தேர்வுடனான புதிய பயனாளர் சேர்ப்பு,Add a new user selected to avoid ODP
Mobile number need to be validated within a week,கைபேசி எண் ஒரு வாரத்துக்குள் சரிபார்க்கப்பட வேண்டும்,The number of the puzzle being considered in a week
Anganwadi Worker profile page,அங்கண்வாடி ஊழியர் சுயவிவரப் பக்கம்,A Self - Sacrificing Service Page
Stunting and Underweight Growth Parameters,தடைபட்ட மற்றும் எடைக்குறைவு வளர்ச்சி அளவுருக்கள்,Blocked and Horizontal Expanding
Beneficiaries status change notifications,பயனாளர்களின் நிலை மாற்ற அறிவிப்புகள்,User Information Change
Migrated from one category to another,ஒரு பிரிவிலிருந்து இன்னொன்றுக்கு மாறி இருக்கிறார்,From one section to another
Beneficiary record becoming inactive,பயனானாளர் பதிவு செயலற்றதாக ஆகிக் கொண்டிருக்கிறது,User is not logged in
Beneficiary migration from one AWC to another AWC,பயனாளர் ஒரு AMC-இலிருந்து இன்னொரு AMC-க்கு மாறுதல்,User switching from one AMC to another AMC
Beneficiary deletion by AWW,AWC-ஆல் பயனாளர் நீக்கப்படுதல்,Removing AWC user
Default language selection,இயல்பான மொழித் தேர்வு,Default Language Selection
"Beneficiary concerns accessibility to AWW, along with status update once resolved","AWW-ஐ அணுகுவது பற்றி பயனாளரின் கவலைகள், நிலை புதுப்பித்தலுடன் சேர்த்து ஒருமுறை தீர்க்கப்பட்டது",User's concerns about accessing AWW were resolved on a case-by-case basis
Growth monitoring report for all health indicators,எல்லா ஆரோக்கியக் குறியீடுகளுக்கும் வளர்ச்சி கண்காணிப்பு அறிக்கை,Development monitoring report for all health signs
Application downloaded status by AWW,AWW-ஆல் செயலி பதிவிறக்கம் செய்யப்பட்ட நிலை,AWW activity log download status
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,பயனாளர் எண்ணிக்கை அறிக்கை : செயலற்றவையாக ஆகிக் கொண்டிருக்கும் பதிவுகளின் எண்ணிக்கை மற்றும் ஒரு வகையிலிருந்து இன்னொன்றுக்கு மாறும் பதிவுகளின் எண்ணிக்கை,User Number Report: The number of accounts that are about to be disabled and the number of accounts to be changed from one type to another
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,உலக சுகாதார அமைப்பு (WHO) வரையறுத்துள்ள தரநிலைகளின் அடிப்படையில் குழந்தையின் வளர்ச்சியை அளவிடும் வகையில் போஷன் கால்குலேட்டர் வடிவமைக்கப்பட்டுள்ளது.,The World Health Organization (WHO) is designed to measure the child’s development on the basis of data provided by the World Health Organization (WHO).
How to use Poshan Calculator?,போஷன் கால்குலேட்டரை எவ்வாறு பயன்படுத்துவது?,How to use the Poston calculator?
Select Gender,பாலினத்தைத் தேர்ந்தெடுக்கவும்,Select Sex
Enter Date of Birth,பிறந்த தேதியை உள்ளிடவும்,Insert Date/ Time
Enter Height in centimeter,உயரத்தை சென்டிமீட்டரில் உள்ளிடவும்,Insert height into centimetres
Enter Weight in kilogram,எடையை கிலோகிராமில் உள்ளிடவும்,Insert a layer into the chart
Click on Show Results,ஷோ ரிசல்ட்ஸ் என்பதைக் கிளிக் செய்யவும்,Click to deal a new hand
Gender ,பாலினம் ,[ Box / Picture on page 7]
*,*,* (See footnote.)
Boy,சிறுவன்,Little boy.
Girl,சிறுமி,Small
Date of Birth ,பிறந்த தேதி ,_Other Organiser
Height (CM) ,உயரம் (செ.மீ.) ,Height (cm)
*Height should be between 38 to 150,*உயரம் 38-க்கும் 150-க்கும் இடையே இருக்க வேண்டும்,* The height should be between 38 and 150
CM,செ.மீ.,"S., United States"
Weight (KG) ,எடை (கி.கி.) ,( c) How did Jesus prepare the apostles for his final meal with his apostles?
*Weight should be between 0.90 to 58,*எடை 0.90-க்கும் 58-க்கும் இடையே இருக்க வேண்டும்,*The amount must be between 0.90 and 58
KG,கி.கி.,"G., United States"
Show Results,முடிவுகளைக் காட்டவும்,Show Finishs
ABHA (Health ID) and its Benefits,ABHA (ஹெல்த் ஐடி) மற்றும் அதன் நன்மைகள்,ABHA (Held AIDS) and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (முன்பு ஹெல்த் ஐடி என அறியப்பட்டது) என்பது ஆயுஷ்மான் பாரத் ஹெல்த் அக்கவுண்ட் என்பதன் சுருக்கமாகும்.,ABHA (formerly known as Held AIDS) is a young man named Bard Held Akkwon.
