en,te,translated_helsinki
ABHA (Health ID),ABHA (హెల్త్ ఐడి),ABHA (Helth ID)
Language,భాష,Language
About,గురించి,About
Resources,వనరులు,Sources
Vaccination Schedule,వ్యాక్సినేషన్ షెడ్యూల్,Extension Scheduled
Dashboard,డాష్బోర్డ్,Dashboard
Helpdesk,హెల్ప్ డెస్క్,Help Desktop
Beneficiary Redressal,లబ్ధిదారుని పరిహారము,Synchronising folder
State Helpdesk,స్టేట్ హెల్ప్ డెస్క్,State Help Desktop
FAQ,తరచూ అడిగే ప్రశ్నలు,Questions From Readers
Poshan Calculator,పోషణ్ కాలిక్యులేటర్,Cannot initialise Evolution's mail component.
Login,లాగిన్,Login
Anganwadi Workers,అంగన్ వాడీ కార్యకర్తలు,Angon Woody Operators
Download Mobile App from Play Store,ప్లే స్టోర్ నుంచి మొబైల్ యాప్ డౌన్ లోడ్ చేసుకోండి,Download mobile app from game history
Scan the QR Code to Download the App,యాప్ డౌన్ లోడ్ చేసుకోవడం కొరకు QR కోడ్ స్కాన్ చేయండి,QR code scan for upload to Japan
What’s New on Poshan Tracker,పోషణ్ ట్రాకర్ లో కొత్తగా ఏమిటి,What's new in the mailbox tracker
Poshan Tracker adds new application features,పోషన్ ట్రాకర్ కొత్త అప్లికేషన్ ఫీచర్‌లను జోడిస్తుంది,Adds a new track track to the application
Poshan Tracker adds new Reports feature,పోషన్ ట్రాకర్ కొత్త రిపోర్ట్స్ ఫీచర్‌ని జోడిస్తుంది,Cannot initialise Evolution's mail component.
Poshan Tracker adds new Resources on Website,పోషన్ ట్రాకర్ వెబ్‌సైట్ ఫీచర్‌లో కొత్త వనరులను జోడిస్తుంది,Merges new sources into the Poster web browser
Resources for growth monitoring and general awareness,వృద్ధి పర్యవేక్షణ మరియు సాధారణ అవగాహన కోసం వనరులు,Sources for Advanced Monitoring and General Understanding
Growth monitoring charts,వృద్ధి పర్యవేక్షణ పటాలు,Advanced Modes of Watching the World
New beneficiary addition with skip OTP option,స్కిప్ OTP ఎంపికతో కొత్త లబ్ధిదారుని జోడింపు,Paste the new source file with the skip OTP selection
Mobile number need to be validated within a week,మొబైల్ నంబర్‌ను వారంలోపు ధృవీకరించాలి,Could not close temporary folder: %s
Anganwadi Worker profile page,అంగన్‌వాడీ కార్యకర్త ప్రొఫైల్ పేజీ,Angwadi profile manager page
Stunting and Underweight Growth Parameters,ఎదుగుదల లేకపోవడం మరియు తక్కువ బరువు ఎదుగుదల పారామితులు,Dithering and low weight increase parameters
Beneficiaries status change notifications,లబ్ధిదారుల స్థితి మార్పు నోటిఫికేషన్‌లు,Could not close temporary folder: %s
Migrated from one category to another,ఒక వర్గం నుండి మరొక వర్గానికి మారి వచ్చారు,From one class to another
Beneficiary record becoming inactive,లబ్ధిదారుని రికార్డు నిష్క్రియంగా మారుతోంది,The master's account is being turned off
Beneficiary migration from one AWC to another AWC,ఒక AWC నుండి మరొక AWCకి లబ్ధిదారుని మార్పు,Convert AWC from one AWC to another AWC
Beneficiary deletion by AWW,AWW ద్వారా లబ్ధిదారుని తొలగింపు,Remove sender via AWW
Default language selection,డిఫాల్ట్ భాష ఎంపిక,Could not close temporary folder: %s
"Beneficiary concerns accessibility to AWW, along with status update once resolved","లబ్దిదారుని ఆందోళనలు AWWకి ప్రాప్యత, ఒకసారి పరిష్కరించబడిన స్థితి నవీకరణతో పాటు",AWW’s anxieties include access to and status updates that have been resolved at the same time
Growth monitoring report for all health indicators,అన్ని ఆరోగ్య సూచికల కోసం వృద్ధి పర్యవేక్షణ నివేదిక,Progress report for all health signs
Application downloaded status by AWW,AWW ద్వారా అప్లికేషన్ డౌన్‌లోడ్ చేయబడిన స్థితి,The status of the application being downloaded by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,లబ్ధిదారుని గణన నివేదిక : నిష్క్రియంగా మారుతున్న రికార్డ్‌ల సంఖ్య మరియు ఒక కేటగిరీ నుండి మరో కేటగిరీకి మారుతున్న రికార్డ్‌ల సంఖ్య,Capitalize report: The number of cards that are turned off and the number of cards that are transferred from one category to another category
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ప్రపంచ ఆరోగ్య సంస్థ (WHO) ద్వారా నిర్వచించబడ్డ ప్రమాణాల ఆధారంగా బిడ్డ ఎదుగుదలను లెక్కించడం కొరకు పోషణ్ కాలిక్యులేటర్ తాయారు చేసారు.,The World Health Organization (WHO) has set up a postgraduate calculus to calculate child growth according to standards.
How to use Poshan Calculator?,పోషణ కాలిక్యులేటర్ ను ఎలా ఉపయోగించాలి?,How to use the feed calculator?
Select Gender,లింగాన్ని ఎంచుకోండి,Could not close temporary folder: %s
Enter Date of Birth,పుట్టిన తేదీని నమోదు చేయండి,_Other Organiser
Enter Height in centimeter,ఎత్తును సెంటీమీటర్ లో ఎంటర్ చేయండి,Insert at the top of the centimeter
Enter Weight in kilogram,బరువును కిలోగ్రామ్ లో నమోదు చేయండి,Enter the weight in kilograms
Click on Show Results,షో రిజల్ట్స్ మీద క్లిక్ చేయండి,Click on Show Rules
Gender,లింగం,Link
Boy,అబ్బాయి,Boy.
Girl,అమ్మాయి,Girl
Date of Birth,పుట్టిన తేది,_Other Organiser
Height (CM),ఎత్తు (సెంమీ),High (Semi)
*Height should be between 38 to 150,*ఎత్తు 38 నుండి 150 మధ్య ఉండాలి,* The height should be between 38 and 150
CM,సెంమీ,Sammy
Weight (KG),బరువు (కిగ్రా),Weight (kigrams)
*Weight should be between 0.90 to 58,*బరువు 0.90 నుండి 58 మధ్య ఉండాలి,*Birth must be between 0.90 and 58
KG,కిగ్రా,KINDNESS
Show Results,ఫలితాలను చూపు,Show results
ABHA (Health ID) and its Benefits,ABHA (హెల్త్ ఐడి) మరియు దాని యొక్క ప్రయోజనాలు,ABHA (Helth ID) and its benefits
ABHA (earlier known as Health ID) is an acronym for Ayushman Bharat Health Account.,ABHA (ఇంతకు ముందు హెల్త్ ఐడి అని పిలువబడేది) అనేది ఆయుష్మాన్ భారత్ హెల్త్ అకౌంట్ యొక్క సంక్షిప్త పదం.,ABHA (formerly called Helth AIDS) is the short word of the Auishman fortress Helth Account.
