en,bn,translated
ABHA (Health ID),ABHA (স্বাস্থ্য আইডি),ABHA (Health ID)
Language,ভাষা,Language (s)
About,বিষয়,subject matter
Resources,সংস্থান,resources and resources.
Vaccination Schedule,টিকা দেওয়ার সময়সূচী,Vaccination schedule
Dashboard,ড্যাশবোর্ড,Dashboard
Helpdesk,হেল্পডেস্ক,Help Desk
Beneficiary Redressal,সুবিধাভোগী প্রতিকার,Beneficiary remedy
State Helpdesk,রাজ্য হেল্পডেস্ক,State Helpdesk
FAQ,সচরাচর জিজ্ঞাস্য প্রশ্ন,Frequently Asked Questions
Poshan Calculator,পোশান ক্যালকুলেটর,Poshan Calculator
Login,লগইন,Log In
Anganwadi Workers,অঙ্গনওয়াড়ি কর্মীরা,Anganwari workers
Download Mobile App from Play Store,প্লে স্টোর থেকে মোবাইল অ্যাপ ডাউনলোড করুন,Download the app from the Play Store
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে QR কোড স্ক্যান করুন,Scan the QR code to download the app
What’s New on Poshan Tracker,পোশান ট্র্যাকারে নতুন কি আছে,What's new in the Poshan Tracker
Poshan Tracker adds new application features,পোশান ট্র্যাকার নতুন অ্যাপ্লিকেশন বৈশিষ্ট্য যোগ করে,Poshan Tracker Adds New App Features
Poshan Tracker adds new Reports feature,পোশান ট্র্যাকার একটি নতুন রিপোর্ট বৈশিষ্ট্য যোগ করেছে,Poshan Tracker Adds a New Report Feature
Poshan Tracker adds new Resources on Website,পোশান ট্র্যাকার ওয়েবসাইট বৈশিষ্ট্যে নতুন সংস্থান যোগ করে,Adding New Resources to Poshan Tracker Website Features
Resources for growth monitoring and general awareness,বৃদ্ধি পর্যবেক্ষণ এবং সাধারণ সচেতনতা জন্য সম্পদ,Resources for Growth Monitoring and General Awareness
Growth monitoring charts,বৃদ্ধি পর্যবেক্ষণ চার্ট,Growth Monitoring Chart
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন,New Consumers Added With OTP Option
Mobile number need to be validated within a week,মোবাইল নম্বরটি এক সপ্তাহের মধ্যে যাচাই করতে হবে,Mobile number to be verified within a week
Anganwadi Worker profile page,অঙ্গনওয়াড়ি কর্মীর প্রোফাইল পেজ,Profile Page of Anganwadi Workers
Stunting and Underweight Growth Parameters,স্টান্টিং এবং কম ওজন বৃদ্ধির স্থিতিমাপ,Stunting and low weight gain parameters
Beneficiaries status change notifications,সুবিধাভোগীদের অবস্থা পরিবর্তন বিষয়ক নোটিফিকেশন,Notifications for change in status of beneficiaries
Migrated from one category to another,এক শ্রেণী থেকে অন্য শ্রেণীতে স্থানান্তরিত হয়েছে,transferred from one class to another
Beneficiary record becoming inactive,সুবিধাভোগী রেকর্ড নিষ্ক্রিয় হয়ে যাচ্ছে,Beneficiary records become inactive
Beneficiary migration from one AWC to another AWC,এক এডাব্লুসি (AWC) থেকে অন্য এডাব্লুসি (AWC)-তে সুবিধাভোগী স্থানান্তর,Transfer of beneficiaries from one AWC to another AWC
Beneficiary deletion by AWW,এডাব্লুডাব্লু (AWW) দ্বারা সুবিধাভোগী ডিলিট করা,Deletion of beneficiaries by AWW
Default language selection,ডিফল্ট ভাষা নির্বাচন,Select the default language
"Beneficiary concerns accessibility to AWW, along with status update once resolved","সুবিধাভোগী এডব্লিউডব্লিউ (AWW)-তে অ্যাক্সেসযোগ্যতার বিষয়ে উদ্বিগ্ন, স্ট্যাটাস আপডেট সহ একবার সমাধান করা হয়ে গেছে","Concern over Accessibility in Beneficiary AWW, Single Solution with Status Update"
Growth monitoring report for all health indicators,সমস্ত স্বাস্থ্য সূচকের জন্য বৃদ্ধি পর্যবেক্ষণ প্রতিবেদন,Growth Monitoring Report for all Health Indicators
Application downloaded status by AWW,এডাব্লুডাব্লু (AWW) দ্বারা অ্যাপ্লিকেশন ডাউনলোড করা স্ট্যাটাস,Status of application downloaded by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,সুবিধাভোগীর সংখ্যা গণনার রিপোর্ট : নিষ্ক্রিয় হওয়া রেকর্ডের সংখ্যা এবং এক বিভাগ থেকে অন্য বিভাগে স্থানান্তরিত রেকর্ডের সংখ্যা,Number of records inoperative and number of records transferred from one department to another
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থা (WHO) দ্বারা সংজ্ঞায়িত মানগুলির উপর ভিত্তি করে শিশুদের বৃদ্ধি পরিমাপ করার জন্য ডিজাইন করা হয়েছে।.,The Poshan calculator is designed to measure the growth of children based on standards defined by the World Health Organization (WHO).
How to use Poshan Calculator?,পোষান ক্যালকুলেটর কিভাবে ব্যবহার করবেন?,How to use calculator?
Select Gender,লিংগ নির্বাচন করুন,Select Gender
Enter Date of Birth,জন্মের তারিখ লিখুন,Enter Date of Birth
