en,gu,translated
ABHA (Health ID),ABHA (હેલ્થ ID),ABHA (Health ID)
Language,ભાષા,Language (s)
About,વિશે,About the
Resources,સંસાધનો,Source of Resources
Vaccination Schedule,રસીકરણ શેડ્યૂલ,Vaccination schedule
Dashboard,ડેશબોર્ડ,Dashboard
Helpdesk,હેલ્પડેસ્ક,Help desk
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ,Grievance Redressal
State Helpdesk,રાજ્ય હેલ્પડેસ્ક,State Helpdesk
FAQ,વારંવાર પૂછાતા પ્રશ્નો,Frequently Asked Questions
Poshan Calculator,લાભાર્થી અસંતોષ નિવારણ,Grievance Redressal
Login,પ્રવેશ,Log in
Anganwadi Workers,આંગણવાડી કાર્યકરો,Anganwadi workers
Download Mobile App from Play Store,પ્લે સ્ટોર પરથી મોબાઈલ એપ ડાઉનલોડ કરો,Download the app from the Play Store
Scan the QR Code to Download the App,એપ ડાઉનલોડ કરવા માટે QR કોડ સ્કેન કરો,Scan the QR code to download the app
What’s New on Poshan Tracker,પોષણ ટ્રેકર પર નવું શું છે,What is new on nutrition tracker
Poshan Tracker adds new application features,પોષણ ટ્રેકર નવા એપ્લિકેશનની વિશેષતા ઉમેરી,POSHAN TRACKER Adds New App Features
Poshan Tracker adds new Reports feature,પોષણ ટ્રેકરે નવા અહેવાલોની વિશેષતા ઉમેરી,Nutrition Tracker Adds Features to New Reports
Poshan Tracker adds new Resources on Website,વેબસાઈટની વિશેષતા અંગે પોષણ ટ્રેકર નવા સંશાધનો ઉમેરે છે,Poshan Tracker adds new resources to highlight the website
Resources for growth monitoring and general awareness,વૃદ્ધિનું નિરીક્ષણ અને સામાન્ય જાગૃત્તિ માટે સંશાધનો,Resources for monitoring growth and general awareness
Growth monitoring charts,વૃદ્ધિના નિરીક્ષણને લગતા કોષ્ટકો,Table relating to Growth Monitoring
New beneficiary addition with skip OTP option,OTP વિકલ્પ ઉમેરવા સાથે નવા લાભાર્થી ઉમેરવા,To add new beneficiary with OTP option
Mobile number need to be validated within a week,એક સપ્તાહમાં માન્યતા આપવા મોબાઈલ નંબરની જરૂર છે,A mobile number is required to be authenticated within a week
Anganwadi Worker profile page,આંગણવાડી કાર્યકર્તાનું પ્રોફાઈલ પેજ,Profile Page of Anganwadi Worker
Stunting and Underweight Growth Parameters,વૃદ્ધિ અટકી જવી અને ઓછા વજન સાથે વૃદ્ધિને લગતા માપદંડો,Growth Stoppage and Low Weight Growth Norms
Beneficiaries status change notifications,લાભાર્થીઓને લગતા દરજ્જામાં ફેરફાર અંગે નોટિફિકેશન્સ,Notifications on revision of beneficiary status
Migrated from one category to another,એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થયેલ,Migrated from one category to another
Beneficiary record becoming inactive,લાભાર્થીને લગતો રેકોર્ડ નિષ્ક્રીય બની રહ્યો છે,Beneficiary records are becoming inoperative
Beneficiary migration from one AWC to another AWC,લાભાર્થી એક AWCથી અન્ય AWCમાં સ્થળાંતરણ,Transfer of one beneficiary from one AWC to another AWC
Beneficiary deletion by AWW,AWW દ્વારા લાભાર્થી મિટાવવા,Deletion of beneficiaries by AWW
Default language selection,ડિફોલ્ટ ભાષાની પસંદગી,Select the default language
"Beneficiary concerns accessibility to AWW, along with status update once resolved","આંગણવાડી કાર્યકર્તા (AWW) સુધી લાભાર્થીની પહોંચ સંબંધિત, એક વખત ઉકેલ મેળવી લેવામાં આવે એટલે સ્ટેટસ અપડેટેડ","Status update related to beneficiary access to Anganwadi Worker (AWW), once resolved"
Growth monitoring report for all health indicators,તમામ સ્વાસ્થ્ય નિર્દેશાંકો માટે વૃદ્ધિને લગતા અહેવાલનું નિરીક્ષણ,Monitoring of the Report on Growth for All Health Indices
Application downloaded status by AWW,AWW દ્વારા અરજી ડાઉનલોડ કરવામાં આવી તેને લગતી સ્થિતિ,Status of downloading of application by AWW
Beneficiary count report : Number of records becoming inactive and number of records migrating from one category to another,લાભાર્થી ગણતરી અહેવાલ : સંખ્યાબંધ રેકોર્ડ્સ નિષ્ક્રીય બની રહ્યો છે અને સંખ્યાબંધ રેકોર્ડ એક કેટેગરીમાંથી અન્ય કેટેગરીમાં સ્થળાંતરીત થઈ રહેલ છે,Beneficiary Enumeration Report: Number of records getting inactive and number of records getting transferred from one category to another category
Poshan Calculator,પોષણ કેલ્ક્યુલેટર,Nutritional Calculator
