en,hi,translated
ABHA (Health ID),ABHA (स्वास्थ्य पहचान पत्र),ABHA (Health ID Card)
Language,भाषा,Language (s)
About,के बारे में,About% s% s
Resources,स्रोत,Source (s)
Vaccination Schedule,टीकाकरण सूची,Immunization List
Dashboard,डैशबोर्ड,Dashboard
Helpdesk,हेल्पडेस्क,Help Desk
Beneficiary Redressal,लाभार्थी निवारण/उपाय,Beneficiary Prevention / Remedies
State Helpdesk,राज्य सहायता केंद्र,State Support Centres
FAQ,अक्सर पूछे जाने वाले प्रश्न,Frequently Asked Questions
Poshan Calculator,पोषण कैल्कुलेटर/ मापक,Nutrition Calculator / Mapping
Login,लॉगिन,% s Login% s
Anganwadi Workers,आँगनवाड़ी कार्यकर्ता,Anganwari Workers
Download Mobile App from Play Store,प्ले स्टोर से मोबाइल एप्प डाउनलोड करें,Download the app from the Play Store
Scan the QR Code to Download the App,एप्प को डाउनलोड करने के लिए QR कोड को स्कैन करें,Scan the QR code to download the app
What’s New on Poshan Tracker,पोषण ट्रैकर में नया क्या है,What is new in nutrition tracker
Poshan Tracker adds new application features,पोषण ट्रैकर ने नई एप्लिकेशन फीचर जोड़ा है,POSHAN tracker adds new application feature
Poshan Tracker adds new Reports feature,पोषण ट्रैकर ने नई रिकॉर्ड फीचर जोड़ा है,POSHAN tracker adds new record feature
Poshan Tracker adds new Resources on Website,पोषण ट्रैकर ने वेबसाइट सुविधा पर नई संसाधन जोड़ा है,POSHAN tracker has added new resources on the website facility
Resources for growth monitoring and general awareness,विकास निगरानी और सामान्य जागरूकता के लिए संसाधन,Resources for Development Monitoring and General Awareness
Growth monitoring charts,विकास पर्यवेक्षण चार्ट,Development Supervision Chart
New beneficiary addition with skip OTP option,स्किप ओटीपी विकल्प के साथ नई  लाभार्थी संयोजन,New beneficiary combination with skip OTP option
Mobile number need to be validated within a week,मोबाइल नंबर को एक सप्ताह के अंदर सत्यापित करने की आवश्यकता है,The mobile number needs to be verified within a week
Anganwadi Worker profile page,आंगनवाड़ी कार्यकर्ता प्रोफाइल पेज,Anganwadi Workers Profile Page
Stunting and Underweight Growth Parameters,बौनापन और सामान्य से कम वजन के विकास मानक,Dwarfism and underweight development parameters
Beneficiaries status change notifications,लाभार्थियों की स्थिति परिवर्तन सूचनाएं,Status Change Notifications of Beneficiaries
Migrated from one category to another,एक श्रेणी से दूसरी श्रेणी में स्थानांतरण,Transfer from one category to another
Beneficiary record becoming inactive,निष्क्रिय हो रहा लाभार्थी का रिकॉर्ड,Record of Inactive Beneficiary
Beneficiary migration from one AWC to another AWC,एक AWC से दूसरे AWC में लाभार्थी का स्थानांतरण,Transfer of beneficiary from one AWC to another AWC
Beneficiary deletion by AWW,AWW द्वारा लाभार्थी का विलोपन,Deletion of beneficiary by AWW
Default language selection,डिफ़ॉल्ट भाषा चयन,Default Language Selection
