en,mr,translated
ABHA (Health ID),आरोग्य आयडी,Health ID
Language,भाषा,Language (s)
About,विषयी,About the
Resources,संसाधने,Source of Resources
Vaccination Schedule,लसीकरण वेळापत्रक,Vaccination schedule
Dashboard,डॅशबोर्ड,Dashboard
Helpdesk,हेल्पडेस्क,Helpdesk
Beneficiary Redressal,लाभार्थी निवारण,Beneficiary Litigation
State Helpdesk,राज्य मदत कक्ष,State Relief Cell
FAQ,एफएक्यू,FAQ ()
Poshan Calculator,पोषण कॅल्क्युलेटर,Nutritional Calculator
Login,दाखलन,Logging in
Anganwadi Workers,अंगणवाडी सेविका,Anganwadi Workers
Download Mobile App from Play Store,प्ले स्टोअर वरून मोबाईल ॲप डाउनलोड करा,Download the app from the Play Store
Scan the QR Code to Download the App,ॲप डाउनलोड करण्यासाठी क्यूआर कोड स्कॅन करा,Scan the QR code to download the app
What’s New on Poshan Tracker,पोषण ट्रॅकर वर नवीन काय आहे,What is new on nutrition tracker
Poshan Tracker adds new application features,पोशन ट्रॅकर नवीन ऍप्लिकेशन वैशिष्ट्ये जोडत आहे,Adding new application features to the POSHAN tracker
Poshan Tracker adds new Reports feature,पोशन ट्रॅकरने नवीन अहवाल वैशिष्ट्य जोडले आहे,New report feature added by POSHAN Tracker
Poshan Tracker adds new Resources on Website,पॉशन ट्रॅकर वेबसाइट वैशिष्ट्यावर नवीन संसाधने जोडते,Adds new resources to the position tracker website feature
Resources for growth monitoring and general awareness,ग्रोथ मॉनिटरिंग आणि सामान्य जागरूकता साठी संसाधने,Resources for Growth Monitoring and General Awareness
Growth monitoring charts,ग्रोथ मॉनिटरिंग  चार्ट,Growth Monitoring Chart
New beneficiary addition with skip OTP option,"ओटीपी वगळा, पर्यायासह नवीन लाभार्थी जोडणे","Inclusion of new beneficiaries with options, excluding OTP"
Mobile number need to be validated within a week,एका आठवड्यात मोबाईल क्रमांक सत्यापित करणे आवश्यक आहे,Verification of mobile number is required within a week
Anganwadi Worker profile page,अंगणवाडी सेविका वर्णन पान,Anganwadi Worker Description Page
Stunting and Underweight Growth Parameters,खुंटणे आणि कमी वजन वाढीचे मापदंड,Criteria for Stunting and Low Weight
Beneficiaries status change notifications,लाभार्थ्यांची स्थिती बदलण्याच्या सूचना,Alteration of beneficiaries status
